drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450068,RIDTXHouston,16,55184,10011.31,9097.62
DRG039,PID450184,RIDTXHouston,80,30027.95,7828.12,5646.92
DRG039,PID450193,RIDTXHouston,59,33762.69,6781.59,5565.08
DRG039,PID450211,RIDTXHouston,13,41609.76,5486.76,4792.61
DRG039,PID450222,RIDTXHouston,39,42697.51,6582.89,5101.28
DRG039,PID450358,RIDTXHouston,31,61366.38,7172.54,5897.83
DRG039,PID450484,RIDTXHouston,11,65642,5610,4901.27
DRG039,PID450610,RIDTXHouston,45,27120.73,6831.64,4782.64
DRG039,PID450617,RIDTXHouston,25,42658.68,6019.44,4910.4
DRG039,PID450638,RIDTXHouston,22,27838.95,6610.95,5693.5
DRG039,PID450684,RIDTXHouston,23,27147.91,8972.08,4827.13
DRG039,PID450775,RIDTXHouston,12,42545.16,7289.16,4555.66
DRG039,PID450820,RIDTXHouston,17,36971.82,6145,4993.76
DRG039,PID450832,RIDTXHouston,14,26987.78,6314.57,5270.28
DRG039,PID450862,RIDTXHouston,19,25440.63,7512.68,4500.26
DRG039,PID670024,RIDTXHouston,21,53629.38,5660,4589.52
DRG057,PID450018,RIDTXHouston,16,20023,14123.06,13205.31
DRG057,PID450068,RIDTXHouston,31,23926.25,9215.96,8001.41
DRG057,PID450097,RIDTXHouston,11,28789.45,5711.27,4793.81
DRG057,PID450184,RIDTXHouston,34,19368.38,6259.29,5364.11
DRG057,PID450193,RIDTXHouston,30,29966.13,7678.86,5011.23
DRG057,PID450211,RIDTXHouston,21,23954.66,4943.85,3973.09
DRG057,PID450289,RIDTXHouston,16,28770.25,9726.62,8883.62
DRG057,PID450358,RIDTXHouston,60,35325.53,7392.53,5965.33
DRG057,PID450424,RIDTXHouston,13,35739.69,6137.61,5274.23
DRG057,PID450508,RIDTXHouston,13,12980,5537,4589
DRG057,PID450610,RIDTXHouston,13,22214.69,5377.38,4516.46
DRG057,PID450617,RIDTXHouston,32,38050.62,5689.53,4897.59
DRG057,PID450638,RIDTXHouston,14,30958.5,5862.35,4618.21
DRG057,PID450844,RIDTXHouston,17,41031.76,5589,4930.64
DRG064,PID450018,RIDTXHouston,15,46325.6,27561.8,26815.66
DRG064,PID450068,RIDTXHouston,164,51211.91,18961.19,17525.09
DRG064,PID450097,RIDTXHouston,15,66347.13,12446,11842.26
DRG064,PID450184,RIDTXHouston,132,37304.67,12266.81,10948.15
DRG064,PID450193,RIDTXHouston,97,71799.6,15811.85,12938.7
DRG064,PID450211,RIDTXHouston,26,64286.84,9799.65,8811.8
DRG064,PID450222,RIDTXHouston,30,103409.76,12371.03,11585.03
DRG064,PID450289,RIDTXHouston,12,46434.66,19101,18231.08
DRG064,PID450358,RIDTXHouston,109,89714.66,14963.77,13868.11
DRG064,PID450424,RIDTXHouston,24,74326.7,12890.54,11226.58
DRG064,PID450508,RIDTXHouston,13,27655.92,11580.3,9109.38
DRG064,PID450610,RIDTXHouston,56,30283.87,10760.64,8840.35
DRG064,PID450617,RIDTXHouston,50,81868.28,11535.08,10832.06
DRG064,PID450638,RIDTXHouston,35,77057.65,12024.45,10841.82
DRG064,PID450644,RIDTXHouston,25,55625.88,12543.16,11822.52
DRG064,PID450670,RIDTXHouston,11,42696.63,10747.72,10027.36
DRG064,PID450684,RIDTXHouston,23,50028.13,11329.52,10216.47
DRG064,PID450709,RIDTXHouston,13,41204.23,9867.61,8914.69
DRG064,PID450716,RIDTXHouston,13,87145.76,14427.15,10789.53
DRG064,PID450775,RIDTXHouston,51,71212.8,11432.43,10599.01
DRG064,PID450820,RIDTXHouston,41,52537.9,10502.34,9707.9
DRG064,PID450844,RIDTXHouston,26,56867.38,10434.84,9621.15
DRG064,PID450847,RIDTXHouston,16,37971.43,10987.25,10142.25
DRG064,PID450862,RIDTXHouston,19,47284.84,12129.1,9016.84
DRG064,PID670024,RIDTXHouston,20,75609.75,10031.95,9187.75
DRG065,PID450018,RIDTXHouston,25,37305,21790.4,20668.32
DRG065,PID450035,RIDTXHouston,31,46870.29,10329.32,9605.19
DRG065,PID450068,RIDTXHouston,148,35003.45,12077.6,10270.6
DRG065,PID450072,RIDTXHouston,21,20356.47,6483.42,5628.57
DRG065,PID450097,RIDTXHouston,35,45902.65,7625.94,6128.6
DRG065,PID450184,RIDTXHouston,213,27332.76,7623.25,6545.6
DRG065,PID450193,RIDTXHouston,145,40274.91,9580.11,6388.97
DRG065,PID450211,RIDTXHouston,44,41476.72,6327.56,5322.34
DRG065,PID450222,RIDTXHouston,56,59604.67,7671.8,6079.67
DRG065,PID450289,RIDTXHouston,24,30777.87,11935.87,11090.87
DRG065,PID450330,RIDTXHouston,15,31857.46,7366.6,6389.8
DRG065,PID450347,RIDTXHouston,18,26254.61,6866.33,5437.72
DRG065,PID450358,RIDTXHouston,109,45933.99,8358.38,7042.51
DRG065,PID450395,RIDTXHouston,13,36068.46,5785.23,5178.15
DRG065,PID450424,RIDTXHouston,49,44921.75,7636.06,6741.61
DRG065,PID450465,RIDTXHouston,12,17869.66,7044.08,6009.08
DRG065,PID450484,RIDTXHouston,19,45266.1,6426.89,5417.42
DRG065,PID450508,RIDTXHouston,18,24887.27,6618.38,5646.55
DRG065,PID450530,RIDTXHouston,19,49192.05,6690.84,5926.42
DRG065,PID450610,RIDTXHouston,107,28536.66,7083.28,5573.17
DRG065,PID450617,RIDTXHouston,61,45320.19,7072.14,5716.83
DRG065,PID450638,RIDTXHouston,44,52635.86,7890.02,6078.84
DRG065,PID450644,RIDTXHouston,34,46539.76,8095.47,7101.76
DRG065,PID450656,RIDTXHouston,23,38774.39,6003.6,4661.73
DRG065,PID450670,RIDTXHouston,35,32477.31,6615.08,5572.94
DRG065,PID450684,RIDTXHouston,40,26769.47,7445.37,5475.2
DRG065,PID450709,RIDTXHouston,15,26761.4,6244.93,5074.8
DRG065,PID450716,RIDTXHouston,14,44998.78,7420.14,6378.14
DRG065,PID450775,RIDTXHouston,41,57549.41,7306.58,6051.17
DRG065,PID450820,RIDTXHouston,47,38042.14,6621.91,5644.78
DRG065,PID450832,RIDTXHouston,22,28989.68,7249.36,5730.54
DRG065,PID450844,RIDTXHouston,47,44110.17,7245.1,5896.14
DRG065,PID450847,RIDTXHouston,26,25930.73,6680.88,5816.26
DRG065,PID450862,RIDTXHouston,24,39235.7,10870.7,5076.66
DRG065,PID670024,RIDTXHouston,41,56773.63,7867.56,5269.7
