drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450037,RIDTXLongview,70,17172.6,5962.77,5030.31
DRG039,PID450702,RIDTXLongview,13,43276.84,6009.07,3844.53
DRG057,PID450037,RIDTXLongview,13,54036.84,5696.69,4577.07
DRG064,PID450037,RIDTXLongview,92,43559.7,10470.15,9532.75
DRG064,PID450702,RIDTXLongview,13,79250,11119.15,9994.61
DRG065,PID450037,RIDTXLongview,65,32805.53,6495.93,5543.5
DRG065,PID450702,RIDTXLongview,14,42813.57,6632,5670.85
DRG066,PID450037,RIDTXLongview,47,27292.4,4773.63,3819.08
DRG066,PID450702,RIDTXLongview,11,34024.9,4660,3636.72
DRG069,PID450037,RIDTXLongview,62,27922.33,4284.64,3424.09
DRG069,PID450702,RIDTXLongview,13,53733.23,7077.15,5543.69
DRG074,PID450037,RIDTXLongview,17,27130.64,5022.29,4125.23
DRG101,PID450037,RIDTXLongview,26,24898.65,4401.07,3534
DRG176,PID450037,RIDTXLongview,11,27512,6223.81,5718
DRG177,PID450037,RIDTXLongview,62,52908.66,11403.7,10751.06
DRG177,PID450702,RIDTXLongview,16,42037.12,10448.06,9603.06
DRG178,PID450037,RIDTXLongview,33,31877.6,7954.81,7307.9
DRG189,PID450037,RIDTXLongview,123,32209.19,7482.31,6867.08
DRG189,PID450702,RIDTXLongview,18,42819.77,8088.33,5787.77
DRG190,PID450037,RIDTXLongview,156,30751.76,6833.53,6062.01
DRG190,PID450702,RIDTXLongview,46,31499.3,6608,5502.82
DRG191,PID450037,RIDTXLongview,87,25087.39,5616.5,4840.78
DRG191,PID450702,RIDTXLongview,36,31238.66,5417.47,4405.25
DRG192,PID450037,RIDTXLongview,57,23071.57,4192.43,3276.26
DRG192,PID450702,RIDTXLongview,33,23377.09,4092.12,3177.27
DRG193,PID450037,RIDTXLongview,152,37914.69,8316.53,7613.27
DRG193,PID450702,RIDTXLongview,38,44254.97,7835.63,6624.44
DRG194,PID450037,RIDTXLongview,87,26175.05,5859.49,4980.22
DRG194,PID450702,RIDTXLongview,27,29023.77,5658.81,4692.48
DRG195,PID450037,RIDTXLongview,35,19219.34,4070.08,3130.45
DRG195,PID450702,RIDTXLongview,18,23519.33,4025.22,3026.11
DRG202,PID450037,RIDTXLongview,26,23773.88,5000.73,3813.34
DRG203,PID450037,RIDTXLongview,15,17772.73,3545.4,2644.06
DRG207,PID450037,RIDTXLongview,26,113381.34,25355.8,24759.61
DRG208,PID450037,RIDTXLongview,75,65941.44,13345.09,12681.48
DRG208,PID450702,RIDTXLongview,17,79830.64,13273.88,12547.05
DRG238,PID450037,RIDTXLongview,30,86786.9,18069.33,17173.33
DRG238,PID450702,RIDTXLongview,17,137427.47,18876.76,18014.88
DRG243,PID450037,RIDTXLongview,25,67352.88,14636.2,13874.12
DRG244,PID450037,RIDTXLongview,21,57399.66,11884.61,11026.71
DRG246,PID450037,RIDTXLongview,25,81546.56,18671.12,17815.92
DRG247,PID450037,RIDTXLongview,57,69191.28,11384.42,10369.54
DRG247,PID450702,RIDTXLongview,25,110746.92,14631.2,9435
DRG249,PID450037,RIDTXLongview,29,66711.51,10355.89,9424.58
DRG251,PID450037,RIDTXLongview,15,55393.46,10522.6,9843.4
DRG252,PID450037,RIDTXLongview,31,78886.8,17472,16808.67
DRG252,PID450702,RIDTXLongview,15,90941.46,15814.73,14317.2
DRG253,PID450037,RIDTXLongview,17,56453.23,14015.82,13290.88
DRG254,PID450037,RIDTXLongview,14,52383.78,9807.78,8765.85
DRG254,PID450702,RIDTXLongview,29,74603,9773,8018.82
DRG280,PID450037,RIDTXLongview,106,43364.23,10499.25,9916.12
DRG280,PID450702,RIDTXLongview,11,51830,10260.63,9540.27
DRG281,PID450037,RIDTXLongview,41,29102.26,6888.51,5989.87
DRG282,PID450037,RIDTXLongview,25,28396.52,4719.6,3780.24
DRG286,PID450037,RIDTXLongview,20,54195.9,11742.8,10955.2
DRG287,PID450037,RIDTXLongview,71,38099.63,6356.61,5496.46
DRG287,PID450702,RIDTXLongview,28,61242.07,6181.85,5260
DRG291,PID450037,RIDTXLongview,205,38928.16,8598.14,7878.35
DRG291,PID450702,RIDTXLongview,26,39865.8,8243.61,7681.3
DRG292,PID450037,RIDTXLongview,151,24585.41,5928.43,5292.01
DRG292,PID450702,RIDTXLongview,33,27348.66,5588.09,5011.72
DRG293,PID450037,RIDTXLongview,56,19903.03,4014.64,3292.07
DRG293,PID450702,RIDTXLongview,11,19753.45,4189.09,2929
DRG300,PID450037,RIDTXLongview,32,24087.93,5620.4,4839.31
DRG301,PID450037,RIDTXLongview,16,11697.37,3814.75,3113.25
DRG303,PID450037,RIDTXLongview,15,17522.46,3413.6,2585.6
DRG305,PID450037,RIDTXLongview,15,18472.53,3608.93,2785.2
DRG308,PID450037,RIDTXLongview,74,25165.44,7224.08,6382.29
DRG308,PID450702,RIDTXLongview,26,53532.92,8092.88,7205.26
DRG309,PID450037,RIDTXLongview,56,20536.94,4905.5,4021.78
DRG309,PID450702,RIDTXLongview,20,23972.55,4765.6,3979.6
DRG310,PID450037,RIDTXLongview,62,15618.46,3345.75,2420.79
DRG310,PID450702,RIDTXLongview,31,20109.58,3263.25,2271.61
DRG312,PID450037,RIDTXLongview,60,19935.35,4202.78,3217.05
DRG312,PID450702,RIDTXLongview,21,25053.14,4075.14,3010.76
DRG313,PID450037,RIDTXLongview,76,18151.65,3230.15,2357.26
DRG313,PID450702,RIDTXLongview,13,20819.07,3099.23,2136.38
DRG314,PID450037,RIDTXLongview,83,46809.91,10479.91,9604.12
DRG315,PID450037,RIDTXLongview,12,24874,5442.33,4598.66
DRG329,PID450037,RIDTXLongview,41,91200.46,29517.75,28667.31
DRG330,PID450037,RIDTXLongview,41,44329.7,14686.56,13700.41
DRG330,PID450702,RIDTXLongview,13,73342.38,14436.53,13652.84
DRG372,PID450037,RIDTXLongview,14,25025.92,7378.35,7054.92
DRG377,PID450037,RIDTXLongview,66,38558.1,10065.48,9395.68
DRG378,PID450037,RIDTXLongview,110,22462.17,5955.1,5071.63
DRG378,PID450702,RIDTXLongview,21,33395.04,5836.38,5029.33
DRG379,PID450037,RIDTXLongview,23,16664.73,4195.13,3409.04
DRG389,PID450037,RIDTXLongview,42,18692.5,5313.4,4461.59
DRG390,PID450037,RIDTXLongview,22,15069.63,3732.4,2917.86
DRG391,PID450037,RIDTXLongview,42,24198.64,6685.38,5830.52
DRG392,PID450037,RIDTXLongview,125,19266.52,4180.42,3277.62
DRG392,PID450702,RIDTXLongview,32,27010.71,4341.84,2985.25
DRG394,PID450037,RIDTXLongview,25,19865.36,5809.24,5001.88
DRG418,PID450037,RIDTXLongview,23,38641.69,9963.95,8888.13
DRG419,PID450037,RIDTXLongview,14,30079.21,6859.57,5734.42
DRG460,PID450037,RIDTXLongview,72,87173.52,22410.98,21459.04
DRG460,PID450702,RIDTXLongview,37,170527.59,25238.75,20349.05
DRG469,PID450037,RIDTXLongview,24,58771.54,18099.83,17256.16
DRG470,PID450037,RIDTXLongview,229,47295.66,12245.38,10899.99
DRG470,PID450702,RIDTXLongview,155,92881.92,12308.69,10720.87
DRG473,PID450037,RIDTXLongview,23,43199.47,12183.3,11055.47
DRG480,PID450037,RIDTXLongview,28,53973.1,16736.03,15853.46
DRG481,PID450037,RIDTXLongview,64,42522.68,10671.85,9775.79
DRG481,PID450702,RIDTXLongview,13,74300.07,10584.61,8741.92
DRG482,PID450037,RIDTXLongview,29,36202.31,8860.34,7856.48
DRG491,PID450037,RIDTXLongview,23,25352.47,5820.82,4888.47
DRG491,PID450702,RIDTXLongview,27,42744.07,5630.37,4594.07
DRG536,PID450037,RIDTXLongview,15,13626.53,4206.26,3300.66
DRG552,PID450037,RIDTXLongview,32,25438.21,4748.18,3834.43
DRG602,PID450037,RIDTXLongview,36,36960.63,8509.25,7949.47
DRG603,PID450037,RIDTXLongview,80,19462.23,4850.46,4006.66
DRG603,PID450702,RIDTXLongview,18,21394.88,4692.72,3479.33
DRG638,PID450037,RIDTXLongview,22,29165.5,4863.63,4021.9
DRG640,PID450037,RIDTXLongview,66,24992.54,6605.84,5865.19
DRG640,PID450702,RIDTXLongview,11,27650.18,6476.18,5867.45
DRG641,PID450037,RIDTXLongview,57,15463.03,3985.42,3231.87
DRG641,PID450702,RIDTXLongview,39,20713.71,3888.12,3055.38
DRG682,PID450037,RIDTXLongview,156,34164.21,9360.24,8706.44
DRG682,PID450702,RIDTXLongview,26,44353.61,9070.11,8245.34
DRG683,PID450037,RIDTXLongview,140,24330.32,5897.83,5256
DRG683,PID450702,RIDTXLongview,41,26179.14,5784.56,4934.12
DRG684,PID450037,RIDTXLongview,25,17326,3833.4,2848.76
DRG689,PID450037,RIDTXLongview,81,23204.9,6718.13,5895.62
DRG689,PID450702,RIDTXLongview,15,33050.06,6741.8,6071.13
DRG690,PID450037,RIDTXLongview,102,17873.81,4557.71,3682.82
DRG690,PID450702,RIDTXLongview,23,26573.91,4363.47,3532.34
DRG698,PID450037,RIDTXLongview,36,29442.75,8977.69,8502.61
DRG699,PID450037,RIDTXLongview,14,20733.42,5811,4847.57
DRG811,PID450037,RIDTXLongview,30,30237.33,7352.33,6401.7
DRG812,PID450037,RIDTXLongview,65,22489.61,4643.86,3898.03
DRG812,PID450702,RIDTXLongview,11,30053.09,4521.63,3912.9
DRG853,PID450037,RIDTXLongview,57,111173.07,29607.45,28751.42
DRG870,PID450037,RIDTXLongview,29,131587.89,30502.1,29389.24
DRG871,PID450037,RIDTXLongview,512,44399.14,10819.33,10075.15
DRG871,PID450702,RIDTXLongview,60,55951.68,11775.76,9950.11
DRG872,PID450037,RIDTXLongview,123,25873.91,6653,5985.58
DRG872,PID450702,RIDTXLongview,28,25096.17,6480.17,5680.75
DRG917,PID450037,RIDTXLongview,24,28510.45,8371.91,7672.41
DRG918,PID450037,RIDTXLongview,11,15296.72,3649.81,2629.45
DRG948,PID450037,RIDTXLongview,15,19000.8,4036.13,3208.13
