drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450869,RIDTXMcAllen,46,26082.26,8402.08,7546.34
DRG057,PID450119,RIDTXMcAllen,17,43196.64,7439,6778.76
DRG057,PID450869,RIDTXMcAllen,32,27833.56,7310,6368.71
DRG064,PID450119,RIDTXMcAllen,68,95353.95,15178.25,14245.69
DRG064,PID450176,RIDTXMcAllen,25,51644.24,14923.12,14227.28
DRG064,PID450711,RIDTXMcAllen,17,78714.23,13859.47,13069.82
DRG064,PID450869,RIDTXMcAllen,29,45779.96,16441.27,13886.86
DRG065,PID450119,RIDTXMcAllen,84,59561.97,9426.89,8385.76
DRG065,PID450176,RIDTXMcAllen,46,23124.54,8953.21,8021.08
DRG065,PID450711,RIDTXMcAllen,33,46610.33,8698.72,7848.9
DRG065,PID450869,RIDTXMcAllen,84,25156.73,9423.97,8637.64
DRG066,PID450119,RIDTXMcAllen,47,44563.08,6541.65,5636.63
DRG066,PID450176,RIDTXMcAllen,19,18285.89,6408.73,5400.94
DRG066,PID450711,RIDTXMcAllen,17,34091.58,6214.41,5282.17
DRG066,PID450869,RIDTXMcAllen,35,17391.88,6797.42,5594.68
DRG069,PID450119,RIDTXMcAllen,87,37814.21,6016.45,4944.01
DRG069,PID450176,RIDTXMcAllen,35,16528.54,5721.54,4726.22
DRG069,PID450654,RIDTXMcAllen,11,8456.54,4532,3817.45
DRG069,PID450711,RIDTXMcAllen,40,32201.35,5538.2,4691.6
DRG069,PID450869,RIDTXMcAllen,50,18107.42,6028.2,5130.28
DRG074,PID450119,RIDTXMcAllen,15,49396.4,7049.8,5499.93
DRG074,PID450176,RIDTXMcAllen,12,16318,6730.33,6452.66
DRG074,PID450711,RIDTXMcAllen,15,35020.46,6492.33,5664.33
DRG074,PID450869,RIDTXMcAllen,14,19605.14,7102,6619.14
DRG101,PID450119,RIDTXMcAllen,37,34071.91,6098.13,5251
DRG101,PID450711,RIDTXMcAllen,26,34382.11,5703.61,4924.84
DRG101,PID450869,RIDTXMcAllen,18,18346.22,6184.44,5440.44
DRG149,PID450119,RIDTXMcAllen,16,36177.93,5105.37,4116.87
DRG149,PID450711,RIDTXMcAllen,12,28247.33,5114.5,3683.91
DRG176,PID450119,RIDTXMcAllen,17,60989.41,8557.52,7613
DRG177,PID450119,RIDTXMcAllen,31,82637.74,15819.93,15020.7
DRG177,PID450176,RIDTXMcAllen,34,62943.2,15911.67,14971.26
DRG177,PID450711,RIDTXMcAllen,55,94309.32,15558.61,14021.96
DRG177,PID450869,RIDTXMcAllen,18,68556.05,17114.72,16396.83
DRG178,PID450119,RIDTXMcAllen,15,56765.93,11580,10378.93
DRG178,PID450176,RIDTXMcAllen,26,27700.46,11148.3,10114.26
DRG178,PID450711,RIDTXMcAllen,38,68273.94,11460.34,10699.15
DRG178,PID450869,RIDTXMcAllen,17,35001.82,11201,10609.23
DRG189,PID450119,RIDTXMcAllen,50,63941.16,10400,9735.96
DRG189,PID450176,RIDTXMcAllen,27,38877.96,10022.18,9358.48
DRG189,PID450711,RIDTXMcAllen,35,52347.17,10035.77,8538.11
DRG189,PID450869,RIDTXMcAllen,22,45642.18,10739.45,9568.31
DRG190,PID450119,RIDTXMcAllen,69,61876.98,9582.27,8671.82
DRG190,PID450176,RIDTXMcAllen,94,32305.87,9276.51,8280.17
DRG190,PID450711,RIDTXMcAllen,74,54328.81,9041.9,7827.74
DRG190,PID450869,RIDTXMcAllen,42,32854.07,9787.95,8920.38
DRG191,PID450119,RIDTXMcAllen,86,52691.04,7757.62,7048.44
DRG191,PID450176,RIDTXMcAllen,66,22262.56,7583.51,6718.13
DRG191,PID450711,RIDTXMcAllen,82,43379.9,7390.9,6415.75
