drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450661,RIDTXOdessa,13,41376.61,8073.07,6862.84
DRG039,PID450132,RIDTXOdessa,46,25127.69,7471.32,6517.69
DRG039,PID450133,RIDTXOdessa,29,16710.96,6228.75,4857.51
DRG057,PID450132,RIDTXOdessa,14,23712.28,6778.64,5935.35
DRG057,PID450133,RIDTXOdessa,11,16647.63,5793.09,4447.27
DRG064,PID450132,RIDTXOdessa,42,46752.45,13430,11634.69
DRG064,PID450133,RIDTXOdessa,32,34940.34,11718.18,10842.78
DRG065,PID450132,RIDTXOdessa,68,29617.64,8110.26,6923.33
DRG065,PID450133,RIDTXOdessa,48,23783.08,6792.45,5931.1
DRG066,PID450132,RIDTXOdessa,70,24566.02,5770.87,4635.27
DRG066,PID450133,RIDTXOdessa,34,19732.58,4935.88,4006.47
DRG066,PID450661,RIDTXOdessa,14,35532.07,6637.71,4850.64
DRG069,PID450132,RIDTXOdessa,93,22177.48,5177.68,4012.52
DRG069,PID450133,RIDTXOdessa,22,21113.13,4487.63,3444.45
DRG074,PID450132,RIDTXOdessa,19,19256.26,7821.21,4462.84
DRG074,PID450133,RIDTXOdessa,12,21526,5231.83,4954.16
DRG101,PID450132,RIDTXOdessa,31,19911.96,5211.29,4482
DRG101,PID450133,RIDTXOdessa,19,20478,4550.73,3572.1
DRG149,PID450132,RIDTXOdessa,15,17028.06,4375.6,3398.8
DRG176,PID450132,RIDTXOdessa,16,24196.81,7121.75,6345.5
DRG176,PID450133,RIDTXOdessa,13,19236.76,6509.84,5359.84
DRG177,PID450132,RIDTXOdessa,15,44303.06,13837.53,13015.93
DRG177,PID450133,RIDTXOdessa,28,39102.53,12381.28,11620.07
DRG178,PID450132,RIDTXOdessa,18,44231.83,10508.44,9975.61
DRG178,PID450133,RIDTXOdessa,28,34724.75,9685.89,8755.96
DRG189,PID450132,RIDTXOdessa,30,31545.36,9894.16,8474.96
DRG189,PID450133,RIDTXOdessa,59,31135.67,8081.44,7186.5
DRG190,PID450132,RIDTXOdessa,75,27984.25,8598.09,7183.37
DRG190,PID450133,RIDTXOdessa,53,20184.47,7113.67,6050.92
DRG190,PID450178,RIDTXOdessa,11,15079.63,7951.18,7342.45
DRG190,PID450661,RIDTXOdessa,31,35004.16,9156.8,8166.9
DRG191,PID450132,RIDTXOdessa,82,22375.81,7244.78,5682.42
DRG191,PID450133,RIDTXOdessa,56,22196.32,6038.5,4842.67
DRG191,PID450178,RIDTXOdessa,17,15025.82,6754.35,6094.11
DRG191,PID450661,RIDTXOdessa,21,32233,7463.57,6093.76
DRG192,PID450132,RIDTXOdessa,111,18126.76,5154.98,4025.88
DRG192,PID450133,RIDTXOdessa,41,19977.29,4469.8,3251.73
DRG192,PID450178,RIDTXOdessa,23,12052.3,5008.08,4473.65
DRG192,PID450661,RIDTXOdessa,29,35331.86,6097.89,4380.2
DRG193,PID450132,RIDTXOdessa,53,42209.71,11199.83,10007.33
DRG193,PID450133,RIDTXOdessa,63,33266.79,9089.96,8215.11
DRG193,PID450661,RIDTXOdessa,25,52498.96,11347.12,10257.88
DRG194,PID450132,RIDTXOdessa,70,23097.9,6877.87,5869.7
DRG194,PID450133,RIDTXOdessa,55,23025.41,6130.6,5022.76
DRG194,PID450661,RIDTXOdessa,26,32343.11,8020.92,6977.96
DRG195,PID450132,RIDTXOdessa,65,20534.43,5117.66,3952.7
DRG195,PID450133,RIDTXOdessa,27,16499.29,5675.66,2853.85
DRG195,PID450178,RIDTXOdessa,13,15424.3,5128.38,4436.69
DRG195,PID450661,RIDTXOdessa,12,28654.75,7783.41,4277.5
DRG202,PID450132,RIDTXOdessa,16,19678.12,5775.5,4865.75
DRG202,PID450133,RIDTXOdessa,17,20465.17,4947.17,3945.29
DRG202,PID450178,RIDTXOdessa,12,12604.33,5818,5068.66
DRG203,PID450132,RIDTXOdessa,21,15949.61,4961.76,2872.57
DRG207,PID450132,RIDTXOdessa,35,105854.71,36782.8,31894.02
DRG208,PID450132,RIDTXOdessa,48,48669.87,15259.37,14471.43
DRG208,PID450133,RIDTXOdessa,24,36109.66,14362.04,12457.7
DRG208,PID450661,RIDTXOdessa,12,89199.08,17845.16,16269
DRG238,PID450132,RIDTXOdessa,28,63445.92,22350.71,19577.46
DRG238,PID450133,RIDTXOdessa,18,62260.16,19237.88,18362.77
DRG243,PID450132,RIDTXOdessa,18,56271.33,18052.22,17310
DRG243,PID450133,RIDTXOdessa,11,41006.9,17029.63,16006.36
DRG244,PID450132,RIDTXOdessa,22,46554.36,13843.72,12773.36
DRG244,PID450133,RIDTXOdessa,13,26491.69,13039.84,10402.46
DRG247,PID450132,RIDTXOdessa,65,57233.38,15038.4,11787.27
DRG247,PID450133,RIDTXOdessa,50,51709.52,13740.68,9449.8
DRG247,PID450661,RIDTXOdessa,23,71292.34,15550.73,14034
DRG249,PID450132,RIDTXOdessa,20,60294.95,14438.15,10589.2
DRG249,PID450133,RIDTXOdessa,12,40712,12231.58,8860.83
DRG252,PID450132,RIDTXOdessa,29,72773.55,22347.65,20099.51
DRG252,PID450133,RIDTXOdessa,18,54447.33,18758.72,16231.16
DRG253,PID450132,RIDTXOdessa,37,53168.37,17877.54,15897.72
DRG253,PID450133,RIDTXOdessa,18,36293.72,14504.55,13021.66
DRG254,PID450132,RIDTXOdessa,36,38004.58,12694.69,9897.69
DRG254,PID450133,RIDTXOdessa,13,28927.07,9846.69,8543.07
DRG280,PID450132,RIDTXOdessa,55,51994,14256.8,12513.07
DRG280,PID450133,RIDTXOdessa,17,33759.64,11576.82,10659.64
DRG280,PID450661,RIDTXOdessa,25,56860.56,13986.16,12352.68
DRG281,PID450132,RIDTXOdessa,36,32799.94,8124.5,7313.16
DRG281,PID450133,RIDTXOdessa,20,21257.6,7162,6207.8
DRG282,PID450132,RIDTXOdessa,24,30959.5,6365.58,4372.25
DRG282,PID450133,RIDTXOdessa,12,19746.58,4906,3968
DRG286,PID450132,RIDTXOdessa,12,43505.33,13634.25,12785.25
DRG287,PID450132,RIDTXOdessa,99,33774.39,8759.26,6084.07
DRG287,PID450133,RIDTXOdessa,63,22321.57,6931.9,5129.44
DRG287,PID450661,RIDTXOdessa,14,32804.64,9905.42,6972
DRG291,PID450132,RIDTXOdessa,78,38087.92,10681.75,9741.51
DRG291,PID450133,RIDTXOdessa,73,26631.46,8896.95,8055.05
DRG291,PID450178,RIDTXOdessa,14,16346.78,10371.42,9971.71
DRG291,PID450661,RIDTXOdessa,23,51220.69,11755.39,11070.52
DRG292,PID450132,RIDTXOdessa,133,22791.29,7228.52,6325.24
DRG292,PID450133,RIDTXOdessa,84,19449.97,6193.75,5418.98
DRG292,PID450661,RIDTXOdessa,36,33770.77,8026.02,7426.05
DRG293,PID450132,RIDTXOdessa,61,17018.37,4890.55,3803.95
DRG293,PID450133,RIDTXOdessa,33,13968.09,4174.51,3258.78
DRG293,PID450178,RIDTXOdessa,19,7674.78,4952.15,4229.05
DRG293,PID450661,RIDTXOdessa,29,27080.34,5418.79,4524.72
DRG300,PID450132,RIDTXOdessa,20,21019.3,6587.2,5776.9
DRG300,PID450133,RIDTXOdessa,18,13370.16,5854.61,5164.61
DRG301,PID450132,RIDTXOdessa,30,13880.16,4348.4,3482.66
DRG301,PID450133,RIDTXOdessa,16,10958.12,4048.06,3151.62
DRG303,PID450132,RIDTXOdessa,24,12995.58,3990.95,3056.95
DRG305,PID450132,RIDTXOdessa,21,13635.61,4212.61,3303.85
DRG305,PID450133,RIDTXOdessa,11,14441.45,3997.36,2356.9
DRG308,PID450132,RIDTXOdessa,24,27082.2,8444.25,7774.79
DRG308,PID450133,RIDTXOdessa,21,29475.57,7771.19,7027.19
DRG308,PID450661,RIDTXOdessa,11,47150.36,9711.09,9196.54
DRG309,PID450132,RIDTXOdessa,67,22329.25,6109.64,5083.58
DRG309,PID450133,RIDTXOdessa,37,19914.64,5106.78,4392.13
DRG310,PID450132,RIDTXOdessa,92,15434.11,4036.2,2994.59
DRG310,PID450133,RIDTXOdessa,40,11661.92,3579.35,2370.05
DRG310,PID450661,RIDTXOdessa,19,20578,4514.84,3503.68
DRG312,PID450132,RIDTXOdessa,100,17690.89,5580.54,3918.22
DRG312,PID450133,RIDTXOdessa,11,16993.54,4333.72,3622.09
DRG313,PID450132,RIDTXOdessa,138,14333.02,3859.41,2897.12
DRG313,PID450133,RIDTXOdessa,29,12980.72,3427.48,2136.86
DRG314,PID450133,RIDTXOdessa,14,22153.07,10972.64,10332.64
DRG329,PID450132,RIDTXOdessa,20,105302.1,38514.8,37901.75
DRG329,PID450133,RIDTXOdessa,21,76656.57,32575.8,31668.47
DRG330,PID450132,RIDTXOdessa,24,35244.04,18090.41,15130.83
DRG330,PID450133,RIDTXOdessa,47,44938.23,15883.44,14900.72
DRG372,PID450132,RIDTXOdessa,17,25990.82,8957.94,8233
DRG372,PID450133,RIDTXOdessa,13,16626.15,7645.61,6953.92
DRG377,PID450132,RIDTXOdessa,19,40119.52,13361.78,12706.42
DRG377,PID450133,RIDTXOdessa,23,37818.47,12104.78,10995.95
DRG378,PID450132,RIDTXOdessa,59,22044.76,7721.42,6112.38
DRG378,PID450133,RIDTXOdessa,56,20134.39,6553.89,5119.55
DRG378,PID450661,RIDTXOdessa,15,29717.13,8079,7108.6
