drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450571,RIDTXSanAngelo,64,19231.12,5742.81,4864.43
DRG064,PID450571,RIDTXSanAngelo,52,32244.48,10606.86,9584.57
DRG065,PID450340,RIDTXSanAngelo,14,36784,6839,5877.85
DRG065,PID450571,RIDTXSanAngelo,59,24154.22,6355.49,5404.3
DRG066,PID450340,RIDTXSanAngelo,11,27130,4890.72,3970.36
DRG066,PID450571,RIDTXSanAngelo,22,21563.09,4570.63,3704.63
DRG069,PID450571,RIDTXSanAngelo,68,19398.69,4450.92,3003.1
DRG101,PID450571,RIDTXSanAngelo,25,18862.2,5033.08,2966.08
DRG149,PID450571,RIDTXSanAngelo,17,15628.29,3604.64,2550.52
DRG176,PID450340,RIDTXSanAngelo,11,26874.63,6319.9,5399.54
DRG177,PID450340,RIDTXSanAngelo,22,64913.13,11767.4,9869.4
DRG177,PID450571,RIDTXSanAngelo,48,28124.72,11023.77,10414.6
DRG178,PID450340,RIDTXSanAngelo,17,38602.47,8568.23,7710.11
DRG178,PID450571,RIDTXSanAngelo,21,17929.42,7975.14,7169.61
DRG189,PID450340,RIDTXSanAngelo,14,58447.92,7673.28,6950.14
DRG189,PID450571,RIDTXSanAngelo,43,23844.95,7225.02,6464.55
DRG190,PID450340,RIDTXSanAngelo,76,44408.27,7101.86,6335.64
DRG190,PID450571,RIDTXSanAngelo,44,20037.02,6667.09,5698.18
DRG191,PID450340,RIDTXSanAngelo,40,31635.15,5730.3,4970.2
DRG191,PID450571,RIDTXSanAngelo,43,17377.3,5473.06,4595.74
DRG192,PID450340,RIDTXSanAngelo,34,23642.44,4262.88,3406.64
DRG192,PID450571,RIDTXSanAngelo,33,11793.75,4076.48,3126.66
DRG193,PID450340,RIDTXSanAngelo,45,60045.06,9071.04,8212.77
DRG193,PID450571,RIDTXSanAngelo,82,23082.69,8129.39,7130.34
DRG194,PID450340,RIDTXSanAngelo,77,38903.15,6056.12,5159.81
DRG194,PID450571,RIDTXSanAngelo,62,15030.11,5689.16,4800.7
DRG195,PID450340,RIDTXSanAngelo,23,24926.17,4650.26,3184.17
DRG195,PID450571,RIDTXSanAngelo,22,12203.72,4569.95,2811.36
DRG208,PID450571,RIDTXSanAngelo,24,39485.37,12750.2,12048.04
DRG238,PID450340,RIDTXSanAngelo,21,111334.76,18547.04,17636.76
DRG238,PID450571,RIDTXSanAngelo,16,59894.31,17355.75,16508.75
DRG243,PID450571,RIDTXSanAngelo,19,65742.57,14755.52,13628.57
DRG244,PID450571,RIDTXSanAngelo,20,61424.65,11523.2,10622.4
DRG246,PID450340,RIDTXSanAngelo,23,168889.86,21219.95,19445.69
DRG246,PID450571,RIDTXSanAngelo,50,82558.7,18345.54,17470.26
DRG247,PID450340,RIDTXSanAngelo,34,102230.41,13526.97,10535.61
DRG247,PID450571,RIDTXSanAngelo,86,54534.53,11421.45,9995.61
DRG249,PID450340,RIDTXSanAngelo,11,90187.36,10563.54,9846.09
DRG249,PID450571,RIDTXSanAngelo,11,43007.27,9989,8965.72
DRG253,PID450340,RIDTXSanAngelo,13,92883.3,14579.46,13974.84
DRG253,PID450571,RIDTXSanAngelo,26,34720.8,13677.34,12283.5
DRG254,PID450571,RIDTXSanAngelo,26,25296.19,9283.38,7882.34
