drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450007,RIDTXSanAntonio,13,12991.76,5992,5044
DRG039,PID450029,RIDTXSanAntonio,11,81126.9,7475.9,6661.36
DRG039,PID450058,RIDTXSanAntonio,66,39253.45,6421.9,5233.71
DRG039,PID450237,RIDTXSanAntonio,67,23601.22,7943.35,6729.25
DRG039,PID450388,RIDTXSanAntonio,81,26752.92,6488.04,5322.62
DRG039,PID450604,RIDTXSanAntonio,14,11835.57,5986,5024.85
DRG057,PID450058,RIDTXSanAntonio,42,32778.73,5748.54,4947.59
DRG057,PID450237,RIDTXSanAntonio,14,27530.78,7439.78,6633.5
DRG057,PID450388,RIDTXSanAntonio,72,26625.94,5850.08,5047.05
DRG057,PID670055,RIDTXSanAntonio,11,33647,5696.27,5084.63
DRG064,PID450029,RIDTXSanAntonio,47,83804.78,14627.31,12394.12
DRG064,PID450058,RIDTXSanAntonio,126,51568.81,11379.3,10542.46
DRG064,PID450213,RIDTXSanAntonio,11,52908.81,20891.72,18698.81
DRG064,PID450237,RIDTXSanAntonio,28,38250.46,14998.78,14156.64
DRG064,PID450388,RIDTXSanAntonio,141,61584.04,12580.21,11407.31
DRG064,PID450643,RIDTXSanAntonio,16,49956.68,12618.56,11852.31
DRG064,PID450697,RIDTXSanAntonio,13,54758.69,16621.38,12868.15
DRG065,PID450007,RIDTXSanAntonio,16,17327.56,7397.75,5232.37
DRG065,PID450029,RIDTXSanAntonio,69,52814.11,8480.14,7476.89
DRG065,PID450058,RIDTXSanAntonio,213,37608.75,7234.83,6093.6
DRG065,PID450092,RIDTXSanAntonio,11,34063.81,5722.36,5210.72
DRG065,PID450104,RIDTXSanAntonio,13,19956.69,6844.61,5978.76
DRG065,PID450154,RIDTXSanAntonio,15,17888.8,6720.2,5747.66
DRG065,PID450165,RIDTXSanAntonio,13,27500.76,7075.92,6299.61
DRG065,PID450213,RIDTXSanAntonio,20,23425,12431.05,11645.05
DRG065,PID450237,RIDTXSanAntonio,36,29945.61,9551,8557.22
DRG065,PID450388,RIDTXSanAntonio,265,40305.62,7451.24,6434.17
DRG065,PID450604,RIDTXSanAntonio,13,13681.3,7432.15,5133.38
DRG065,PID450643,RIDTXSanAntonio,36,30381.13,8048.19,6791.72
DRG065,PID450697,RIDTXSanAntonio,19,37542.36,9446.05,8557.42
DRG065,PID670055,RIDTXSanAntonio,21,37663.28,6697,5737.38
DRG066,PID450007,RIDTXSanAntonio,25,12504.64,4733.8,3702.6
DRG066,PID450029,RIDTXSanAntonio,45,46528.93,6781.35,4803.84
DRG066,PID450058,RIDTXSanAntonio,79,28765.93,5250.22,3975.49
DRG066,PID450165,RIDTXSanAntonio,11,20687.81,4805.27,3882
DRG066,PID450237,RIDTXSanAntonio,34,21084.35,6748.94,5823.29
DRG066,PID450388,RIDTXSanAntonio,160,31853.53,5399.85,4317.7
DRG066,PID670055,RIDTXSanAntonio,16,29584.06,5054.75,3519.31
DRG069,PID450007,RIDTXSanAntonio,22,15533.86,4278.27,3512.27
DRG069,PID450029,RIDTXSanAntonio,30,44784.7,5366.46,4409.06
DRG069,PID450058,RIDTXSanAntonio,188,27411.69,4611.2,3555.52
DRG069,PID450092,RIDTXSanAntonio,17,20950.41,4046,3052.82
DRG069,PID450165,RIDTXSanAntonio,12,24714.66,4611,3487
DRG069,PID450237,RIDTXSanAntonio,25,24365.48,6054.84,5061.24
DRG069,PID450388,RIDTXSanAntonio,160,28374.35,4759.85,3589.33
DRG069,PID450643,RIDTXSanAntonio,22,25438.4,5162,4297.45
DRG069,PID670055,RIDTXSanAntonio,18,27374.88,4050.55,3173.66
DRG074,PID450029,RIDTXSanAntonio,11,26772.63,6285.54,5218.36
DRG074,PID450058,RIDTXSanAntonio,46,26700.02,5497.19,4486.23
DRG074,PID450213,RIDTXSanAntonio,13,13785.76,9198.92,8596.76
DRG074,PID450237,RIDTXSanAntonio,14,19891.92,7421.21,6108.85
DRG074,PID450388,RIDTXSanAntonio,78,27387.73,5862.06,4895.78
DRG074,PID670055,RIDTXSanAntonio,11,23327.63,4858,3545.45
DRG101,PID450029,RIDTXSanAntonio,28,32339.07,5589.46,4748.46
DRG101,PID450058,RIDTXSanAntonio,102,29068.84,4914.45,3884.02
DRG101,PID450213,RIDTXSanAntonio,55,22440.58,8810.3,7396.16
DRG101,PID450237,RIDTXSanAntonio,27,20217.55,6319.4,5485.62
DRG101,PID450388,RIDTXSanAntonio,114,26480.02,5182.07,3851.71
DRG101,PID450643,RIDTXSanAntonio,11,19892.72,5379,4564.45
DRG101,PID450697,RIDTXSanAntonio,40,27392.27,6207.57,5330.4
DRG101,PID670055,RIDTXSanAntonio,14,17540.64,4401.85,3197.78
DRG149,PID450029,RIDTXSanAntonio,16,35503.93,4686.5,3770.75
DRG149,PID450058,RIDTXSanAntonio,25,24435.12,4029.4,2994.36
DRG149,PID450388,RIDTXSanAntonio,42,23909.28,4240.23,3008.04
DRG176,PID450007,RIDTXSanAntonio,17,16638.23,6125.94,5265.94
DRG176,PID450058,RIDTXSanAntonio,30,32997.73,6769.46,4878.66
DRG176,PID450104,RIDTXSanAntonio,13,19992.23,6342.23,5024.3
DRG176,PID450237,RIDTXSanAntonio,28,26922.96,8968.75,7624.1
DRG176,PID450388,RIDTXSanAntonio,49,39364.22,7044.32,5643.4
DRG176,PID670055,RIDTXSanAntonio,12,30377,6380.83,4747.33
DRG177,PID450007,RIDTXSanAntonio,18,41276.16,13398.27,12713.66
DRG177,PID450029,RIDTXSanAntonio,35,67510.6,14662.48,13855.65
DRG177,PID450058,RIDTXSanAntonio,93,56764.96,12748.18,11329.32
DRG177,PID450092,RIDTXSanAntonio,17,60628.29,10507,9680.29
DRG177,PID450104,RIDTXSanAntonio,19,31174.94,12364.73,9326.1
DRG177,PID450165,RIDTXSanAntonio,12,41217.16,12747.5,12003.5
DRG177,PID450237,RIDTXSanAntonio,47,48424.82,17196,16368.46
DRG177,PID450388,RIDTXSanAntonio,130,60065.58,13042.78,12140.95
DRG177,PID450604,RIDTXSanAntonio,12,26731.25,11536.91,10787.58
DRG177,PID450643,RIDTXSanAntonio,27,49137.14,14223.96,13193.74
DRG178,PID450007,RIDTXSanAntonio,35,27348.14,8691.05,8016.45
DRG178,PID450029,RIDTXSanAntonio,25,58789.4,10760.24,10131.44
DRG178,PID450058,RIDTXSanAntonio,84,38497.23,8879.72,8146.36
DRG178,PID450092,RIDTXSanAntonio,21,42940.95,8318.8,7570.23
DRG178,PID450104,RIDTXSanAntonio,18,24809.83,8318.11,7230.05
DRG178,PID450108,RIDTXSanAntonio,12,16162.33,8635.5,7797.16
DRG178,PID450165,RIDTXSanAntonio,18,35106.55,8644.72,8019.38
DRG178,PID450235,RIDTXSanAntonio,12,14598.33,9743.58,9185.58
DRG178,PID450237,RIDTXSanAntonio,48,35256,12263.7,11635.64
DRG178,PID450388,RIDTXSanAntonio,72,40425.23,9317.15,7955.51
DRG178,PID450604,RIDTXSanAntonio,15,17943.73,8478.33,7505.8
DRG178,PID450643,RIDTXSanAntonio,17,35852.52,10510,9598.17
DRG178,PID670055,RIDTXSanAntonio,18,47013.55,8256.22,7678.05
DRG189,PID450029,RIDTXSanAntonio,25,40892.96,9398.76,8656.76
DRG189,PID450058,RIDTXSanAntonio,109,40010.75,8138.07,7530.04
DRG189,PID450092,RIDTXSanAntonio,19,37576.26,7256.31,6544.73
DRG189,PID450104,RIDTXSanAntonio,38,22798.36,8916.39,6613.02
DRG189,PID450130,RIDTXSanAntonio,14,59142.14,9610,8970
DRG189,PID450177,RIDTXSanAntonio,19,26363.42,11067.57,8438.31
DRG189,PID450237,RIDTXSanAntonio,71,32771.74,10700.45,9967.73
DRG189,PID450388,RIDTXSanAntonio,144,41180.31,8510.53,7706.48
DRG189,PID450643,RIDTXSanAntonio,22,42564.63,9043,7735.27
DRG189,PID450697,RIDTXSanAntonio,16,35438.18,10515.06,9676.06
DRG190,PID450007,RIDTXSanAntonio,56,24440.6,7938.89,5918.53
DRG190,PID450029,RIDTXSanAntonio,66,45148.09,8601.57,7739.06
DRG190,PID450058,RIDTXSanAntonio,197,30891.7,7455.28,6382.83
DRG190,PID450092,RIDTXSanAntonio,25,44600.16,6414.8,5654
DRG190,PID450104,RIDTXSanAntonio,36,19604.61,6758.91,5942.25
DRG190,PID450154,RIDTXSanAntonio,16,14757.56,7093.75,6533.75
DRG190,PID450165,RIDTXSanAntonio,13,32368.76,7135.3,6276.84
DRG190,PID450237,RIDTXSanAntonio,116,28652.68,9881.62,8885.43
DRG190,PID450388,RIDTXSanAntonio,242,39355.62,7749.12,6516.51
DRG190,PID450604,RIDTXSanAntonio,11,17582.72,6810.18,5892.72
DRG190,PID450643,RIDTXSanAntonio,39,31161.33,8347.02,7521.56
DRG190,PID450697,RIDTXSanAntonio,22,33803.36,9782.54,9116.54
DRG190,PID670055,RIDTXSanAntonio,31,44543.16,8382.03,7323.64
DRG191,PID450007,RIDTXSanAntonio,35,16922.05,5628.17,4764.05
DRG191,PID450029,RIDTXSanAntonio,44,33752.09,7042.43,6080.31
DRG191,PID450058,RIDTXSanAntonio,223,28985.4,6141.62,5219.7
DRG191,PID450092,RIDTXSanAntonio,41,28309.7,5359.34,4472.56
DRG191,PID450104,RIDTXSanAntonio,14,17260.78,5465,4744.14
DRG191,PID450130,RIDTXSanAntonio,15,38626.73,7304,6689.93
DRG191,PID450154,RIDTXSanAntonio,20,15444.8,5716.25,4815.45
DRG191,PID450165,RIDTXSanAntonio,13,30428.92,6513.61,4951.38
DRG191,PID450177,RIDTXSanAntonio,19,19304.05,7328,6576.36
DRG191,PID450213,RIDTXSanAntonio,11,18222.63,10063.63,9143.27
DRG191,PID450237,RIDTXSanAntonio,90,24561.37,8069.63,7080.63
DRG191,PID450388,RIDTXSanAntonio,199,33053.48,6299.33,5216.86
DRG191,PID450643,RIDTXSanAntonio,29,21848.86,6912.03,5848.2
DRG191,PID450697,RIDTXSanAntonio,24,40392.83,8425.58,7540.08
DRG191,PID670055,RIDTXSanAntonio,39,32776.61,6271.41,5074.17
DRG192,PID450007,RIDTXSanAntonio,50,18376.76,4340.56,3442.64
DRG192,PID450029,RIDTXSanAntonio,70,28995.51,5299.12,4397.1
DRG192,PID450058,RIDTXSanAntonio,141,22151.73,4589.82,3641.33
DRG192,PID450092,RIDTXSanAntonio,42,24586.14,3958.19,3105.61
DRG192,PID450104,RIDTXSanAntonio,25,15420.2,4291.04,2974.56
DRG192,PID450108,RIDTXSanAntonio,13,12012.07,5102,3176.38
DRG192,PID450130,RIDTXSanAntonio,13,25115.92,5269.15,4318.69
DRG192,PID450154,RIDTXSanAntonio,14,14167.57,4321.42,3358
DRG192,PID450165,RIDTXSanAntonio,23,23194.34,4470.95,3638.43
DRG192,PID450177,RIDTXSanAntonio,18,15261.61,5519.44,4195.05
DRG192,PID450235,RIDTXSanAntonio,14,10412.07,4827.35,3947.07
DRG192,PID450237,RIDTXSanAntonio,84,18782.28,6178.91,5033.03
DRG192,PID450388,RIDTXSanAntonio,114,24376.86,4611.7,3754.26
DRG192,PID450643,RIDTXSanAntonio,29,17114.34,5110.93,4024.48
DRG192,PID670055,RIDTXSanAntonio,23,21247.82,4481.91,3299.13
DRG193,PID450007,RIDTXSanAntonio,32,26174.21,8439.65,7884.5
DRG193,PID450029,RIDTXSanAntonio,107,51870.59,10754.64,10096.43
DRG193,PID450058,RIDTXSanAntonio,185,38943.66,9242.79,8329.63
DRG193,PID450092,RIDTXSanAntonio,35,46272.2,8002.57,7390.8
DRG193,PID450104,RIDTXSanAntonio,38,24288.34,8415.6,7584.86
DRG193,PID450154,RIDTXSanAntonio,12,16396.75,8646.91,7716.91
DRG193,PID450177,RIDTXSanAntonio,18,26374.83,11277.61,10903.83
DRG193,PID450237,RIDTXSanAntonio,135,39853.36,12976.99,12126.94
DRG193,PID450388,RIDTXSanAntonio,294,49106.51,9579.29,8479.64
DRG193,PID450604,RIDTXSanAntonio,15,25596.6,8563.53,7664.33
DRG193,PID450643,RIDTXSanAntonio,21,36607.8,10378.71,9630.19
DRG193,PID450697,RIDTXSanAntonio,25,37616.56,12134.36,11189.88
DRG193,PID670055,RIDTXSanAntonio,25,54761.88,10229.76,9739.4
DRG194,PID450007,RIDTXSanAntonio,71,18404.81,6029.73,4946.33
DRG194,PID450029,RIDTXSanAntonio,101,38159.55,7356.26,6572.76
DRG194,PID450058,RIDTXSanAntonio,194,28744.24,6362.02,5430.13
DRG194,PID450092,RIDTXSanAntonio,29,38373.48,5578.06,4846.34
DRG194,PID450104,RIDTXSanAntonio,37,21251.32,6268.16,4933.4
DRG194,PID450108,RIDTXSanAntonio,22,16499.54,6218.72,5505.63
DRG194,PID450130,RIDTXSanAntonio,28,31304.5,7539.21,6694.78
DRG194,PID450154,RIDTXSanAntonio,18,16127.88,5923.88,5176.33
DRG194,PID450165,RIDTXSanAntonio,73,26969.16,6135.91,5192.89
DRG194,PID450177,RIDTXSanAntonio,40,20287.4,7554.52,6602.72
DRG194,PID450213,RIDTXSanAntonio,17,25316.7,12075.64,11213.7
DRG194,PID450235,RIDTXSanAntonio,29,11815.13,6725.86,5911.65
DRG194,PID450237,RIDTXSanAntonio,199,23510.33,8595.21,7569.87
DRG194,PID450293,RIDTXSanAntonio,13,8008.23,6529.76,5716.92
DRG194,PID450388,RIDTXSanAntonio,260,32208.52,6536.4,5368.06
DRG194,PID450604,RIDTXSanAntonio,38,12582.05,5778.92,4767.26
DRG194,PID450620,RIDTXSanAntonio,24,11442.62,6785.37,5964.45
DRG194,PID450643,RIDTXSanAntonio,26,28608.19,7048.92,6313.69
DRG194,PID450697,RIDTXSanAntonio,28,28797.85,8140.5,7223.21
DRG194,PID670055,RIDTXSanAntonio,55,39953.03,7952.58,5604.67
DRG195,PID450007,RIDTXSanAntonio,48,16139.2,4139.97,3390.64
DRG195,PID450029,RIDTXSanAntonio,51,30452.68,5131.9,4140.6
DRG195,PID450058,RIDTXSanAntonio,97,22198.1,4496.89,3590.08
DRG195,PID450092,RIDTXSanAntonio,20,30372.8,3927,2862.8
DRG195,PID450104,RIDTXSanAntonio,26,12724.73,4242.92,3296.42
DRG195,PID450108,RIDTXSanAntonio,28,13558.89,4460.82,3624.82
DRG195,PID450165,RIDTXSanAntonio,41,19812.78,4472.46,3622.02
DRG195,PID450177,RIDTXSanAntonio,21,14001.28,5268.57,4302.85
DRG195,PID450235,RIDTXSanAntonio,20,7906.7,4772.95,3817.15
DRG195,PID450237,RIDTXSanAntonio,108,17240.4,6135.26,4919.94
DRG195,PID450293,RIDTXSanAntonio,17,7336.58,4676.29,3888.52
DRG195,PID450388,RIDTXSanAntonio,108,22807.97,4513.57,3558.9
DRG195,PID450604,RIDTXSanAntonio,21,8741.52,4171,3206.8
