drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450054,RIDTXTemple,43,19983.09,7413.48,5863.2
DRG057,PID450054,RIDTXTemple,24,25576.5,6520.45,5361.25
DRG064,PID450054,RIDTXTemple,127,33835.77,13753.11,11925.49
DRG065,PID450054,RIDTXTemple,153,20922.74,7828.19,6753.22
DRG065,PID450152,RIDTXTemple,18,22514.55,6703.72,5891.5
DRG066,PID450054,RIDTXTemple,49,15234,5665.77,4643.87
DRG069,PID450054,RIDTXTemple,77,19564.24,5444.29,4233.51
DRG069,PID450152,RIDTXTemple,23,19998.65,4321.69,3341.52
DRG074,PID450054,RIDTXTemple,23,16223.17,7169.69,5163.52
DRG101,PID450054,RIDTXTemple,59,19694.76,7403.77,3959.42
DRG149,PID450054,RIDTXTemple,12,16318,4578.5,3643.16
DRG149,PID450152,RIDTXTemple,16,19448.56,3774.75,2790.25
DRG176,PID450054,RIDTXTemple,42,18644.26,8093.54,6623.42
DRG176,PID450152,RIDTXTemple,17,21953.29,6124.23,5401.17
DRG177,PID450054,RIDTXTemple,103,37855.75,17963.21,12388.56
DRG177,PID450152,RIDTXTemple,15,50851.6,11788,11261.86
DRG178,PID450054,RIDTXTemple,52,19927.34,10390.92,8732.44
DRG189,PID450054,RIDTXTemple,227,23453.06,9425.36,8321.99
DRG189,PID450152,RIDTXTemple,71,23940.14,7536.3,6704.28
DRG189,PID450770,RIDTXTemple,15,7199.86,7903.93,7304.46
DRG190,PID450054,RIDTXTemple,130,20262.36,8279.01,7346.37
DRG190,PID450152,RIDTXTemple,51,25104.27,6954.09,6181
DRG190,PID450770,RIDTXTemple,11,9034.45,7922.18,7204.72
DRG191,PID450054,RIDTXTemple,66,15550.16,7034.56,5717.39
DRG191,PID450152,RIDTXTemple,47,22555.14,5665.65,4545.27
DRG191,PID450770,RIDTXTemple,12,7935.75,6534,5690.33
DRG192,PID450054,RIDTXTemple,35,13700.68,5172.54,4214.14
DRG192,PID450152,RIDTXTemple,35,13286.02,4554.8,3239.45
DRG193,PID450054,RIDTXTemple,183,25291.65,10159.19,9233.7
DRG193,PID450152,RIDTXTemple,39,33339.82,8651.46,7735.56
DRG194,PID450054,RIDTXTemple,150,16550.07,7243.72,5952.46
DRG194,PID450152,RIDTXTemple,41,23542,5812.43,5044.04
DRG195,PID450054,RIDTXTemple,48,13390.47,5109.77,4129.93
DRG195,PID450152,RIDTXTemple,13,16109.61,4191.92,3328.53
DRG202,PID450054,RIDTXTemple,27,17073.7,6343.96,5130.59
DRG202,PID450152,RIDTXTemple,13,17516.07,4976,4197.23
DRG203,PID450152,RIDTXTemple,17,15245.23,3597.05,2666.7
DRG207,PID450054,RIDTXTemple,27,74075.77,32192.07,31561.29
DRG208,PID450054,RIDTXTemple,91,49730.65,18085.91,14671.37
DRG208,PID450152,RIDTXTemple,19,46532.36,13354.36,11462.78
DRG238,PID450054,RIDTXTemple,49,65636.04,21794.57,19114.2
DRG243,PID450054,RIDTXTemple,25,45479.72,17427.36,16573.44
DRG244,PID450054,RIDTXTemple,17,34623.7,14595.17,12260.35
DRG246,PID450054,RIDTXTemple,39,81679.25,23440.07,20558.05
DRG247,PID450054,RIDTXTemple,81,64275.11,16829.14,11984.46
DRG249,PID450054,RIDTXTemple,24,46780.75,15448.79,10273.91
DRG251,PID450054,RIDTXTemple,21,67215.8,13003.76,12145.85
DRG252,PID450054,RIDTXTemple,26,64625.76,23481.84,19227.46
DRG253,PID450054,RIDTXTemple,43,48764.55,18433.32,14916.2
DRG254,PID450054,RIDTXTemple,28,38241.57,11144.71,10134
DRG280,PID450054,RIDTXTemple,177,29178.71,12779.03,12085.03
DRG280,PID450152,RIDTXTemple,29,33798.37,9882.55,9417.44
DRG281,PID450054,RIDTXTemple,116,21487.68,8050.94,7211.28
DRG281,PID450152,RIDTXTemple,11,35061.72,6743,6022.63
DRG282,PID450054,RIDTXTemple,37,18568.13,5639.97,4668.72
DRG282,PID450152,RIDTXTemple,12,14902.5,4544.33,4072.66
DRG286,PID450054,RIDTXTemple,21,48715.71,15780.42,13193.47
DRG286,PID450152,RIDTXTemple,12,37463.16,11835,11177.33
DRG287,PID450054,RIDTXTemple,57,38820.47,10794.33,6685.96
DRG287,PID450152,RIDTXTemple,59,31555.05,6526.74,5477.05
DRG291,PID450054,RIDTXTemple,205,29178.84,10720.26,9945.99
DRG291,PID450152,RIDTXTemple,78,30016.85,8736.69,7941.06
DRG292,PID450054,RIDTXTemple,136,17520.61,7679.68,6305.57
DRG292,PID450152,RIDTXTemple,60,19144,5981.36,5251.43
DRG293,PID450054,RIDTXTemple,25,11566.64,4831.24,4184.92
DRG293,PID450152,RIDTXTemple,18,18565.22,4050.38,3425.05
DRG300,PID450054,RIDTXTemple,64,11532.28,6625.82,5460.95
DRG301,PID450054,RIDTXTemple,18,11108.16,4736.83,3805.94
DRG303,PID450054,RIDTXTemple,12,14097.25,4208.91,3362.58
DRG305,PID450054,RIDTXTemple,17,15778.58,4457.47,3599.35
DRG305,PID450152,RIDTXTemple,27,16489.62,3684.74,2537.33
DRG308,PID450054,RIDTXTemple,86,24896.7,9391.84,8369.44
DRG308,PID450152,RIDTXTemple,15,26644.2,7544,6058.93
DRG309,PID450054,RIDTXTemple,123,13517.05,6502.37,4935.12
DRG309,PID450152,RIDTXTemple,38,16998.89,4900.34,3886.21
DRG310,PID450054,RIDTXTemple,56,12412.89,4923.98,3008.35
DRG310,PID450152,RIDTXTemple,31,14400.25,3479.51,2215.41
DRG312,PID450054,RIDTXTemple,167,14508.17,5255.01,4193.32
DRG312,PID450152,RIDTXTemple,38,18716.76,4273.57,3125.02
DRG313,PID450054,RIDTXTemple,55,15962.36,4354.72,3067.05
DRG313,PID450152,RIDTXTemple,122,15571.27,3362.28,2338
DRG313,PID450770,RIDTXTemple,18,6961.72,3691,3071
DRG314,PID450054,RIDTXTemple,48,47769.52,15472.45,13618.47
DRG314,PID450152,RIDTXTemple,16,15560.18,10318.37,9685.62
DRG315,PID450054,RIDTXTemple,21,13663.9,6671,6298.23
DRG329,PID450054,RIDTXTemple,71,94683.29,37113.36,36314.09
DRG329,PID450152,RIDTXTemple,12,114831.75,38494.58,29728.75
DRG330,PID450054,RIDTXTemple,76,39758.52,17790.5,15543.81
DRG330,PID450152,RIDTXTemple,19,47658.05,14988.21,14102.94
DRG372,PID450054,RIDTXTemple,37,15291.86,9004.45,8426.62
DRG377,PID450054,RIDTXTemple,83,40600.43,13618.61,12617.39
DRG377,PID450152,RIDTXTemple,26,29867.23,10316.38,9284.96
DRG378,PID450054,RIDTXTemple,162,18385.79,7434.44,6396.7
DRG378,PID450152,RIDTXTemple,22,21716.77,6026.54,5209.09
DRG389,PID450054,RIDTXTemple,51,14284.86,6620.25,5825.58
DRG390,PID450054,RIDTXTemple,29,9960.44,5080.2,3475
DRG391,PID450054,RIDTXTemple,47,21273.48,8946.87,7306.23
DRG392,PID450054,RIDTXTemple,116,15383.74,5812.56,4305.29
DRG392,PID450152,RIDTXTemple,67,17935.2,4214.98,3277.65
DRG392,PID450770,RIDTXTemple,18,6362.88,4753.61,3883.83
DRG394,PID450054,RIDTXTemple,45,15426.4,7566.46,6057.84
DRG394,PID450152,RIDTXTemple,15,19875,6059.93,4696.8
DRG418,PID450054,RIDTXTemple,22,29696.59,11866.4,10848.95
DRG419,PID450152,RIDTXTemple,17,28985.64,6914.88,5921.7
DRG439,PID450054,RIDTXTemple,41,13483.14,7253.29,6306.63
DRG439,PID450152,RIDTXTemple,11,18287.9,5962.63,4936.45
DRG460,PID450054,RIDTXTemple,58,79262.43,27171.7,25376.41
DRG469,PID450054,RIDTXTemple,69,54668.81,22561.5,21570.95
DRG470,PID450054,RIDTXTemple,630,36373.95,14726.04,12662.57
DRG470,PID450152,RIDTXTemple,74,57052.06,13318,10852.35
DRG473,PID450054,RIDTXTemple,16,61321.43,14687.12,13631.81
DRG480,PID450054,RIDTXTemple,62,54109.8,21310.17,19645.37
DRG481,PID450054,RIDTXTemple,82,37854.67,13145.93,11869.18
DRG481,PID450152,RIDTXTemple,23,51639.95,11155.26,10082.21
DRG482,PID450054,RIDTXTemple,18,28389.44,10792.88,9793.77
DRG536,PID450054,RIDTXTemple,41,14237.68,5186.21,4365.73
