drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450083,RIDTXTyler,125,27373.31,5755.43,4565.88
DRG039,PID450102,RIDTXTyler,70,29223.57,5588.78,4227.88
DRG057,PID450083,RIDTXTyler,33,39220.12,5217.93,4249.78
DRG057,PID450102,RIDTXTyler,18,39323.77,8634.66,3942.72
DRG064,PID450083,RIDTXTyler,85,89615.71,10878.95,9364.08
DRG064,PID450102,RIDTXTyler,131,74140.42,10813.92,9492.01
DRG064,PID450194,RIDTXTyler,11,74636.54,12408.09,11996.45
DRG065,PID450080,RIDTXTyler,11,13822.54,7480.09,6565.54
DRG065,PID450083,RIDTXTyler,121,62167.54,7262.52,5384.28
DRG065,PID450102,RIDTXTyler,141,36736.56,6093.02,5055.84
DRG065,PID450194,RIDTXTyler,14,44500.64,7122.78,6399.64
DRG065,PID450580,RIDTXTyler,13,32645.46,6577.92,5537.92
DRG065,PID450747,RIDTXTyler,18,20333.94,7013.27,5356.38
DRG066,PID450083,RIDTXTyler,60,50807.23,6214.65,3441.26
DRG066,PID450102,RIDTXTyler,53,32495.11,4373.2,3305.18
DRG066,PID450580,RIDTXTyler,17,19876,4681.94,3896.05
DRG069,PID450083,RIDTXTyler,53,41027.77,4102.84,3189.86
DRG069,PID450102,RIDTXTyler,113,27486.91,4247.17,2855.63
DRG069,PID450747,RIDTXTyler,31,13884.09,4367,3455.12
DRG074,PID450083,RIDTXTyler,17,46870.35,4859.35,3985.05
DRG074,PID450102,RIDTXTyler,22,26557.18,4832,3460.5
DRG101,PID450080,RIDTXTyler,11,13211.09,4794.09,4076.63
DRG101,PID450083,RIDTXTyler,29,32004.13,4197.75,3383.55
DRG101,PID450102,RIDTXTyler,49,23612.63,4076.89,3062.02
DRG149,PID450102,RIDTXTyler,26,24731.19,3598.03,2099.46
DRG176,PID450083,RIDTXTyler,52,45740.4,5976.26,5172.42
DRG176,PID450102,RIDTXTyler,47,39764.87,5798.7,4775.44
DRG177,PID450080,RIDTXTyler,21,30362.85,12395.8,11684.61
DRG177,PID450083,RIDTXTyler,48,106470.08,11926.6,11220.39
DRG177,PID450102,RIDTXTyler,64,90383.37,11458.68,10518.59
DRG177,PID450194,RIDTXTyler,21,78546.71,11900.71,11316.9
DRG177,PID450690,RIDTXTyler,22,52607.54,12717.09,10943.18
DRG178,PID450080,RIDTXTyler,19,19525.63,9458.15,8690.36
DRG178,PID450083,RIDTXTyler,32,77582.31,8476.9,7795.59
DRG178,PID450102,RIDTXTyler,32,37318.37,7605.68,6798.06
DRG178,PID450194,RIDTXTyler,28,64813.32,9054.57,8414.57
DRG178,PID450475,RIDTXTyler,11,33472.81,7763,7357.27
DRG178,PID450580,RIDTXTyler,13,37990.61,8433.53,8000.61
DRG178,PID450690,RIDTXTyler,28,31366.28,7760.35,7198.92
DRG189,PID450083,RIDTXTyler,89,62359.01,7442.95,6478.65
DRG189,PID450102,RIDTXTyler,158,66938.86,7983.07,6630.82
DRG189,PID450475,RIDTXTyler,14,33346.07,7380.42,6495.57
DRG189,PID450690,RIDTXTyler,132,44611.34,9987.78,8258.69
DRG190,PID450080,RIDTXTyler,52,16946.9,7525.57,6603.55
DRG190,PID450083,RIDTXTyler,63,60633.07,6804.92,5886.5
DRG190,PID450102,RIDTXTyler,105,49387.37,6672.2,5504.57
DRG190,PID450194,RIDTXTyler,27,43897.92,7156.44,6278.37
DRG190,PID450475,RIDTXTyler,24,21707.2,6162.45,5227.12
DRG190,PID450580,RIDTXTyler,18,30323.61,6480.11,5853
DRG190,PID450690,RIDTXTyler,35,34729.37,7730.25,6269.42
DRG190,PID450747,RIDTXTyler,43,19930.37,6726.6,5474.16
DRG190,PID450884,RIDTXTyler,25,31411.88,7425.84,6524.88
DRG191,PID450080,RIDTXTyler,25,15484.64,6160.96,5353.6
DRG191,PID450083,RIDTXTyler,73,46304.02,5459.89,4608.93
DRG191,PID450102,RIDTXTyler,62,36041.66,5213.95,4378.72
DRG191,PID450194,RIDTXTyler,18,38582.83,5782.55,4911
DRG191,PID450283,RIDTXTyler,11,13074.18,5186.09,4268.63
DRG191,PID450373,RIDTXTyler,14,24155.57,6927.21,6120.92
DRG191,PID450475,RIDTXTyler,27,21874.11,6427.7,4654.51
DRG191,PID450580,RIDTXTyler,36,27826.55,5939.11,4781.08
DRG191,PID450690,RIDTXTyler,22,40094.54,9318.86,5224.77
DRG191,PID450747,RIDTXTyler,39,19029.76,5840.41,4477.25
DRG191,PID450884,RIDTXTyler,17,24581.05,5923.05,5068
DRG192,PID450080,RIDTXTyler,25,12721.88,4690.04,3764
DRG192,PID450083,RIDTXTyler,49,40644.85,4072.2,3202.16
DRG192,PID450102,RIDTXTyler,37,25237.4,3922.1,2883.75
DRG192,PID450194,RIDTXTyler,14,24573.85,3957.42,3315.14
DRG192,PID450283,RIDTXTyler,12,11955.41,3953.5,3214.83
DRG192,PID450373,RIDTXTyler,15,17831.26,4927.4,3957
DRG192,PID450475,RIDTXTyler,15,18749.13,4117.33,3069.33
DRG192,PID450547,RIDTXTyler,13,23908.84,4521.46,3583.3
DRG192,PID450580,RIDTXTyler,68,25238.54,5361.7,3291.35
DRG192,PID450690,RIDTXTyler,26,26489.5,4241.3,3294.53
DRG192,PID450747,RIDTXTyler,35,13832.48,4221.37,3201.57
DRG193,PID450080,RIDTXTyler,26,23306,9431.92,7947.69
DRG193,PID450083,RIDTXTyler,118,75106.92,10609.16,7386.82
DRG193,PID450102,RIDTXTyler,166,58884.06,8016.93,7123.48
DRG193,PID450194,RIDTXTyler,13,64113.07,9019.3,8504.23
DRG193,PID450475,RIDTXTyler,12,34104.91,7706.33,7051.33
DRG193,PID450580,RIDTXTyler,11,37930.27,8105.27,7493.63
DRG193,PID450690,RIDTXTyler,25,49417.48,12011.64,10783.2
DRG193,PID450747,RIDTXTyler,29,26219.41,8349.48,7381.37
DRG194,PID450080,RIDTXTyler,34,15850.52,6386.7,5531.41
DRG194,PID450083,RIDTXTyler,135,48890.4,5998.22,4882.46
DRG194,PID450102,RIDTXTyler,149,40042.4,5938.57,4412.2
DRG194,PID450194,RIDTXTyler,31,44899.45,6124.45,5254.25
DRG194,PID450283,RIDTXTyler,14,16699,5349.85,4469.57
DRG194,PID450373,RIDTXTyler,40,26514.6,6968.9,6154.6
DRG194,PID450475,RIDTXTyler,22,25767.13,6004.63,5325.77
DRG194,PID450580,RIDTXTyler,40,28720.5,5671.85,4943.25
DRG194,PID450690,RIDTXTyler,55,26968.94,5884.67,4989.52
DRG194,PID450747,RIDTXTyler,62,19686.08,5760.95,4883.17
DRG194,PID450884,RIDTXTyler,24,27436.04,5925.04,5140
DRG195,PID450080,RIDTXTyler,37,13798.59,4589,3526.72
DRG195,PID450083,RIDTXTyler,72,41058.66,4106.22,3224.13
DRG195,PID450102,RIDTXTyler,52,24505.19,3810.23,2676.51
DRG195,PID450194,RIDTXTyler,18,30483.61,4355.33,3482
DRG195,PID450580,RIDTXTyler,34,23450.82,4799.02,3127.05
DRG195,PID450690,RIDTXTyler,15,18712.53,3954.8,2906.8
DRG195,PID450747,RIDTXTyler,31,15338.09,4148.19,3323.03
DRG202,PID450083,RIDTXTyler,20,44444.95,4781.4,3992.2
DRG202,PID450102,RIDTXTyler,14,30478.14,4546.28,3582.85
DRG207,PID450083,RIDTXTyler,55,242186.78,29767.69,28758.8
DRG207,PID450102,RIDTXTyler,31,180312.45,26524.41,25514.29
DRG208,PID450080,RIDTXTyler,20,36720.45,13694.2,13354.6
DRG208,PID450083,RIDTXTyler,95,115358.21,13921.41,12428.64
DRG208,PID450102,RIDTXTyler,70,89711.11,12710.8,12000.22
DRG208,PID450747,RIDTXTyler,39,34142.61,12513.74,11001.71
DRG238,PID450083,RIDTXTyler,60,117339.05,16886.15,15950.28
DRG238,PID450102,RIDTXTyler,71,91938.73,16563.01,15410.56
DRG243,PID450083,RIDTXTyler,20,113171.25,14469.2,13629.8
DRG243,PID450102,RIDTXTyler,42,63524.4,14477.19,12487.42
DRG244,PID450083,RIDTXTyler,26,81899.03,11243.11,10008.15
DRG244,PID450102,RIDTXTyler,75,46179.64,10956.56,9686.17
DRG246,PID450083,RIDTXTyler,24,171884.41,18786.79,17892
DRG246,PID450102,RIDTXTyler,19,106958.21,17963.36,16239.57
DRG247,PID450083,RIDTXTyler,76,108059.92,10892.57,9581.51
DRG247,PID450102,RIDTXTyler,77,75147.45,10995.75,8819.79
DRG249,PID450083,RIDTXTyler,62,106322.62,9975.82,8476.5
DRG249,PID450102,RIDTXTyler,58,66802.53,10449.98,7732.17
DRG251,PID450083,RIDTXTyler,17,101289.47,9948.94,9090.82
DRG251,PID450102,RIDTXTyler,174,81342.15,10000.68,8541.66
DRG252,PID450083,RIDTXTyler,55,128355.87,17140.9,16213.67
DRG252,PID450102,RIDTXTyler,29,99271.68,16449.79,14526.41
DRG253,PID450083,RIDTXTyler,62,99462.64,13619.01,12651
DRG253,PID450102,RIDTXTyler,73,59525.1,12998.53,11291.21
DRG254,PID450083,RIDTXTyler,92,66443.14,11078,7599.83
DRG254,PID450102,RIDTXTyler,22,37234.77,8669.77,7699.4
DRG280,PID450083,RIDTXTyler,62,99794.46,10827.93,9866.27
DRG280,PID450102,RIDTXTyler,110,65412.27,10281.19,9310.81
DRG281,PID450083,RIDTXTyler,58,72928.79,6767.58,5622.51
DRG281,PID450102,RIDTXTyler,78,34837.89,6462.42,5270.85
DRG282,PID450083,RIDTXTyler,44,46469.11,6229.93,3372.06
DRG282,PID450102,RIDTXTyler,42,35388.07,5276.09,3313.71
DRG282,PID450580,RIDTXTyler,12,17862.75,4462.75,3621.75
DRG286,PID450083,RIDTXTyler,23,131038.78,13126.21,12300.6
DRG286,PID450102,RIDTXTyler,14,90280.35,12826.64,12022.71
DRG287,PID450083,RIDTXTyler,69,59332.05,6062.44,5379.89
DRG287,PID450102,RIDTXTyler,128,38052.14,6460.77,4736.75
DRG287,PID450690,RIDTXTyler,12,43336.41,13242.5,4428.91
DRG291,PID450080,RIDTXTyler,22,25039.95,9553.13,8890.04
DRG291,PID450083,RIDTXTyler,144,72389.2,9002.08,7780.67
DRG291,PID450102,RIDTXTyler,171,57542.64,8211.54,7299.52
DRG291,PID450194,RIDTXTyler,25,80637.24,9570.88,9120.64
DRG291,PID450475,RIDTXTyler,15,28782.53,8604.93,7854.53
DRG291,PID450580,RIDTXTyler,11,33489.27,7772.45,7466.63
DRG291,PID450690,RIDTXTyler,33,44734.06,16172.63,8946
DRG291,PID450747,RIDTXTyler,16,25957.75,8646.5,7947
DRG291,PID450884,RIDTXTyler,20,35162.2,8938.55,8219.65
DRG292,PID450080,RIDTXTyler,21,13761.19,6621.61,5614.85
DRG292,PID450083,RIDTXTyler,145,51695.44,5913.11,5156.49
DRG292,PID450102,RIDTXTyler,212,32065.56,5493.73,4722
DRG292,PID450194,RIDTXTyler,29,44969.93,6141.24,5521.1
DRG292,PID450475,RIDTXTyler,25,27156.12,5846.48,5298.2
DRG292,PID450580,RIDTXTyler,46,25568.95,6764.34,4975.28
DRG292,PID450690,RIDTXTyler,30,31186.36,6185.33,5476.93
DRG292,PID450747,RIDTXTyler,36,16959.75,5697.08,5007.66
DRG292,PID450884,RIDTXTyler,20,26509.5,6528.55,5657.35
DRG293,PID450080,RIDTXTyler,21,11442.8,4365.85,3457.09
DRG293,PID450083,RIDTXTyler,51,34152.96,3908.78,3023.9
DRG293,PID450102,RIDTXTyler,70,17650.24,3674.84,2854.91
DRG293,PID450194,RIDTXTyler,16,32347.75,4210,3046.31
DRG293,PID450580,RIDTXTyler,38,26345.71,4854.86,3081.36
DRG293,PID450690,RIDTXTyler,16,17697.06,3718.68,2879.68
DRG293,PID450747,RIDTXTyler,19,15916.89,4030,3148.1
DRG300,PID450080,RIDTXTyler,12,12854.5,6479.58,5138.66
DRG300,PID450083,RIDTXTyler,35,42468.4,5404.51,4459.08
DRG300,PID450102,RIDTXTyler,45,27334.53,5170.84,4492.88
DRG300,PID450747,RIDTXTyler,13,12395.53,4890,4001.46
DRG301,PID450083,RIDTXTyler,16,34916.87,3698.75,2902.81
DRG301,PID450102,RIDTXTyler,20,17752.3,3715.4,2439.5
DRG303,PID450102,RIDTXTyler,20,20406.4,3450.15,2363.75
DRG305,PID450080,RIDTXTyler,12,12139.08,4135.41,2613.83
DRG305,PID450083,RIDTXTyler,23,43560.82,3531.82,2651.47
DRG305,PID450102,RIDTXTyler,49,25929.97,3336.38,2279.89
DRG308,PID450083,RIDTXTyler,51,63001.62,7018.25,6323.15
DRG308,PID450102,RIDTXTyler,71,41458.81,6714.87,5866.43
DRG308,PID450690,RIDTXTyler,11,36834.36,7018.18,6300.72
DRG309,PID450080,RIDTXTyler,14,11217.5,5449.42,4322
DRG309,PID450083,RIDTXTyler,76,44177.81,4791.19,3951.47
DRG309,PID450102,RIDTXTyler,87,28922.63,4520.93,3733.11
DRG309,PID450747,RIDTXTyler,19,13902.84,4569.21,3815.89
DRG310,PID450080,RIDTXTyler,12,10690,3839,2478.58
DRG310,PID450083,RIDTXTyler,84,29224.25,3294.15,2426.5
DRG310,PID450102,RIDTXTyler,161,17778.01,3139,2115.73
DRG310,PID450194,RIDTXTyler,12,25635.75,3481.33,2543.33
DRG310,PID450580,RIDTXTyler,21,17977.47,3325.57,2412.23
DRG310,PID450690,RIDTXTyler,12,20592.08,5229.25,2184.16
DRG310,PID450747,RIDTXTyler,13,14385.84,3386.84,2443.23
DRG312,PID450080,RIDTXTyler,11,9632.36,4637.9,3826.27
DRG312,PID450083,RIDTXTyler,110,45246.49,4381.6,3541.53
DRG312,PID450102,RIDTXTyler,168,24417.92,3878.79,2833.47
DRG312,PID450580,RIDTXTyler,12,23742.91,4181,3243
DRG312,PID450747,RIDTXTyler,29,14006.93,4228.65,3092.44
DRG313,PID450080,RIDTXTyler,17,9770.23,3542.52,2623.47
DRG313,PID450083,RIDTXTyler,81,34147.19,3115.77,2150.48
DRG313,PID450102,RIDTXTyler,95,23671.24,3158.25,1899.75
DRG313,PID450580,RIDTXTyler,12,15475,3213.5,2275.5
DRG313,PID450690,RIDTXTyler,18,20092.88,3980.94,2168.55
DRG313,PID450747,RIDTXTyler,54,12341.98,3397,2005.11
DRG314,PID450080,RIDTXTyler,11,23756.45,11245,10733.36
DRG314,PID450083,RIDTXTyler,34,83767.5,11496.55,10188.58
DRG314,PID450102,RIDTXTyler,25,54920,9891.88,9117.2
DRG315,PID450083,RIDTXTyler,15,58900.6,6164.06,5566.73
DRG315,PID450102,RIDTXTyler,16,33453.56,5593.87,4060.75
DRG329,PID450080,RIDTXTyler,15,62943,29412,28810.4
DRG329,PID450083,RIDTXTyler,35,198124.65,29038.8,27737.4
DRG329,PID450102,RIDTXTyler,29,143875.58,28285.48,26528.27
DRG330,PID450083,RIDTXTyler,41,94277.39,14109.24,13028.26
DRG330,PID450102,RIDTXTyler,48,61384.04,13577.29,12483.77
DRG330,PID450690,RIDTXTyler,15,57201,18564.2,17438.73
DRG372,PID450083,RIDTXTyler,16,70822.25,7400.5,6592.62
DRG372,PID450102,RIDTXTyler,31,32462.32,6734.16,6191.58
DRG377,PID450083,RIDTXTyler,32,77305.12,16844.34,8471.06
DRG377,PID450102,RIDTXTyler,76,63279.09,9489.1,8508.39
DRG378,PID450080,RIDTXTyler,21,17491,6642.09,5944.38
DRG378,PID450083,RIDTXTyler,93,49750.9,5831.37,5082.21
DRG378,PID450102,RIDTXTyler,123,30707.65,5514.04,4552.24
DRG378,PID450690,RIDTXTyler,11,42248.72,8934.18,8013.81
DRG378,PID450747,RIDTXTyler,17,17902.82,5827,5170.52
DRG379,PID450083,RIDTXTyler,36,31572.13,4033.02,3095.91
DRG379,PID450102,RIDTXTyler,27,24468.59,3894.11,2843.37
DRG379,PID450580,RIDTXTyler,13,21292.15,4177.38,3314
