drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450023,RIDTXVictoria,20,29503.5,6383.25,4024.9
DRG064,PID450023,RIDTXVictoria,29,45110.06,9997.96,9225
DRG064,PID450147,RIDTXVictoria,16,64280.81,10632.37,10145.12
DRG065,PID450023,RIDTXVictoria,27,32187.88,8707.92,4541.96
DRG065,PID450147,RIDTXVictoria,42,58959.97,6946.71,6063.38
DRG066,PID450023,RIDTXVictoria,30,23430.9,4157.36,3144.96
DRG066,PID450147,RIDTXVictoria,27,40425.07,4912.37,3643.88
DRG069,PID450023,RIDTXVictoria,31,22027.64,4885.83,2706.38
DRG069,PID450147,RIDTXVictoria,26,34052.8,4339.84,3478.92
DRG069,PID450597,RIDTXVictoria,14,10880.14,4677.35,4115.92
DRG101,PID450023,RIDTXVictoria,12,21748.91,3967,3037
DRG101,PID450147,RIDTXVictoria,17,30820,4538.58,3747.05
DRG149,PID450023,RIDTXVictoria,13,17762.84,3326.61,2284.15
DRG149,PID450147,RIDTXVictoria,11,25811.81,3971.63,2598
DRG176,PID450023,RIDTXVictoria,13,25482.92,5553.92,4946.84
DRG176,PID450147,RIDTXVictoria,12,50778.25,6397,5831
DRG177,PID450147,RIDTXVictoria,17,66847.82,12070.29,11707.82
DRG178,PID450023,RIDTXVictoria,12,40649.91,7499.41,6936.08
DRG178,PID450147,RIDTXVictoria,13,53995.84,8495.61,7747.84
DRG189,PID450023,RIDTXVictoria,14,33891.07,6851.07,6206.42
DRG190,PID450023,RIDTXVictoria,33,22221.54,6206.87,5356.09
DRG190,PID450147,RIDTXVictoria,37,47026.54,7049.37,6292.29
DRG190,PID450597,RIDTXVictoria,19,11785.84,7504,6438.05
DRG191,PID450023,RIDTXVictoria,64,24011.62,5125,4113.46
DRG191,PID450147,RIDTXVictoria,34,35334.44,5703.52,5059
DRG191,PID450597,RIDTXVictoria,16,11952.62,6162.93,5394.68
DRG192,PID450023,RIDTXVictoria,47,16077.82,3760.04,2708.46
DRG192,PID450147,RIDTXVictoria,20,33548.35,4344.2,3415.55
DRG192,PID450597,RIDTXVictoria,20,9393.7,4474.95,3672.5
DRG193,PID450023,RIDTXVictoria,41,33305.9,7917.95,6854.09
DRG193,PID450147,RIDTXVictoria,41,54573.51,8724.63,7998.46
DRG194,PID450023,RIDTXVictoria,77,22808.66,5976.05,4263.87
DRG194,PID450147,RIDTXVictoria,65,41500.43,5949.32,5224.27
DRG194,PID450597,RIDTXVictoria,60,13970.41,6326.8,5487.4
DRG195,PID450023,RIDTXVictoria,34,17212.5,4590.58,2694.73
DRG195,PID450147,RIDTXVictoria,41,33775.48,4257.41,3314.58
DRG195,PID450597,RIDTXVictoria,43,11317.93,4579.04,3595.9
DRG202,PID450023,RIDTXVictoria,30,21177.63,4420.56,3556.96
