drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450042,RIDTXWaco,32,17350.93,5614.84,4485.5
DRG057,PID450042,RIDTXWaco,13,17748,4731.38,3776
DRG057,PID450754,RIDTXWaco,12,9826.66,5003.08,4534.08
DRG064,PID450042,RIDTXWaco,40,28793.15,10026.77,8754.12
DRG064,PID450101,RIDTXWaco,20,38345.75,12359.85,10618.3
DRG065,PID450042,RIDTXWaco,90,22306.04,6280.13,5228.52
DRG065,PID450101,RIDTXWaco,53,21684.01,7336.43,6255.6
DRG065,PID450400,RIDTXWaco,13,19336.23,7678.38,6092.23
DRG065,PID450754,RIDTXWaco,17,12389,6338.7,5552.82
DRG066,PID450042,RIDTXWaco,72,17897.65,4502.98,3388.2
DRG066,PID450101,RIDTXWaco,21,16535.57,5578.33,4013.85
DRG069,PID450042,RIDTXWaco,91,15276.12,4028.64,3001.5
DRG069,PID450101,RIDTXWaco,13,19690.92,4929.15,3833.92
DRG069,PID450400,RIDTXWaco,16,17578.81,4633.56,3653.06
DRG069,PID450754,RIDTXWaco,15,9370.4,3973.2,3298.26
DRG101,PID450042,RIDTXWaco,20,15678.95,4069.2,3168.4
DRG101,PID450101,RIDTXWaco,16,21476.37,5051.12,4208.12
DRG149,PID450042,RIDTXWaco,15,12067.26,3506.86,2534.33
DRG176,PID450042,RIDTXWaco,33,22340.57,5622.69,4942.45
DRG176,PID450101,RIDTXWaco,11,16167.72,6628.36,5910.9
DRG177,PID450042,RIDTXWaco,19,64306.05,12897.42,11988.26
DRG177,PID450101,RIDTXWaco,37,31308.83,12639.51,11913.89
DRG177,PID450400,RIDTXWaco,15,48237.86,12773.26,12119.33
DRG177,PID450754,RIDTXWaco,14,20396.57,11250.28,10462.21
DRG178,PID450042,RIDTXWaco,14,32691.85,7955.57,7042.85
DRG178,PID450052,RIDTXWaco,13,20511.76,9034.69,8176.23
DRG178,PID450101,RIDTXWaco,17,27899.82,9075.58,7584.17
DRG178,PID450270,RIDTXWaco,11,5794.72,6776.9,6243.18
DRG178,PID450400,RIDTXWaco,22,37091.18,9227.45,8464.36
DRG178,PID450754,RIDTXWaco,33,13055.96,7853.15,7135.69
DRG189,PID450042,RIDTXWaco,120,27848.81,7056.02,6330.25
DRG189,PID450101,RIDTXWaco,49,29853.87,8523.34,7625.18
DRG190,PID450042,RIDTXWaco,79,23026.05,6251.13,5328.53
DRG190,PID450052,RIDTXWaco,25,12712.92,7180.92,6510.68
DRG190,PID450101,RIDTXWaco,39,24526,7709.28,6763.87
DRG190,PID450192,RIDTXWaco,33,22571.15,6529.54,5160.6
DRG190,PID450270,RIDTXWaco,26,4744.46,5846.69,5284.38
DRG190,PID450400,RIDTXWaco,25,25614.04,8426.56,6430.48
DRG190,PID450754,RIDTXWaco,27,10588.62,6426.25,5720.62
DRG193,PID450192,RIDTXWaco,13,30698,7500.61,7239.38
DRG191,PID450042,RIDTXWaco,64,21929.32,5227.25,4315.71
DRG191,PID450052,RIDTXWaco,16,14394.81,5915.56,5282.81
DRG191,PID450101,RIDTXWaco,36,17911.36,6375.41,5661.97
DRG191,PID450192,RIDTXWaco,27,20074.74,5287.48,4013.48
DRG191,PID450270,RIDTXWaco,14,5049.64,4902.71,4101
DRG191,PID450400,RIDTXWaco,12,24874.75,6890.91,4768.58
DRG191,PID450754,RIDTXWaco,24,7586.2,5329.75,4209.45
DRG192,PID450042,RIDTXWaco,47,17885.31,3924.7,3050.85
DRG192,PID450052,RIDTXWaco,11,8737,4336.36,3518.9
DRG192,PID450101,RIDTXWaco,18,15387.77,4706.88,3772.44
DRG192,PID450192,RIDTXWaco,34,18843.88,3716.58,3154.35
DRG192,PID450270,RIDTXWaco,12,3133.58,3579.58,2738.58
DRG192,PID450400,RIDTXWaco,23,20895.86,4890.56,3433.91
DRG192,PID450754,RIDTXWaco,35,6887.6,3873.02,3010.74
DRG193,PID450042,RIDTXWaco,50,28830.28,7925.66,7206.94
DRG193,PID450101,RIDTXWaco,38,27005.78,9543.44,8281.55
DRG193,PID450658,RIDTXWaco,14,31131.28,7350.07,6705.5
DRG193,PID450754,RIDTXWaco,14,21967.71,7907.57,7189
DRG194,PID450042,RIDTXWaco,88,19742.13,5407.71,4529.21
DRG194,PID450052,RIDTXWaco,34,15070.73,6271.47,5415.23
DRG194,PID450101,RIDTXWaco,82,18013.35,6582.17,5742.04
DRG194,PID450192,RIDTXWaco,41,22544.56,5532.43,4133.97
DRG194,PID450348,RIDTXWaco,52,14856.17,7460.82,6660.28
DRG194,PID450400,RIDTXWaco,69,24871.1,6368.81,5465.47
DRG194,PID450658,RIDTXWaco,16,29160.37,5938.12,5099.12
DRG194,PID450754,RIDTXWaco,44,12444.75,5466.84,4778.75
DRG195,PID450042,RIDTXWaco,38,15758.92,3849.63,3052.89
DRG195,PID450052,RIDTXWaco,12,12063.08,4436.41,3595.41
DRG195,PID450101,RIDTXWaco,20,13315.2,4635.6,3668.25
DRG195,PID450192,RIDTXWaco,17,16552.35,4018.76,2607.76
DRG195,PID450348,RIDTXWaco,52,12802.59,5341.23,4410.07
DRG195,PID450400,RIDTXWaco,31,16752.38,4990.41,3340.87
DRG195,PID450754,RIDTXWaco,27,7218.33,3756.33,2753.66
DRG202,PID450042,RIDTXWaco,22,19694.04,4680.04,3665.36
