drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID450010,RIDTXWichitaFalls,76,32020.86,6967.42,5286.17
DRG064,PID450010,RIDTXWichitaFalls,38,34584.28,11419.07,10503.18
DRG065,PID450010,RIDTXWichitaFalls,99,24048.52,7180.64,6279.94
DRG065,PID450497,RIDTXWichitaFalls,11,18577.36,7230.72,6519.09
DRG066,PID450010,RIDTXWichitaFalls,63,22994.71,5429.98,4139.01
DRG069,PID450010,RIDTXWichitaFalls,56,19497.03,4888.33,3576.14
DRG074,PID450010,RIDTXWichitaFalls,24,27334.16,6875.2,4463.16
DRG101,PID450010,RIDTXWichitaFalls,32,20968.34,5180.68,3691.15
DRG176,PID450010,RIDTXWichitaFalls,18,31278.55,6756.66,6005.55
DRG177,PID450010,RIDTXWichitaFalls,30,43214.46,12794.6,11365.53
DRG178,PID450010,RIDTXWichitaFalls,39,33923.25,9337.1,8712.97
DRG178,PID450497,RIDTXWichitaFalls,17,29397.58,8930.52,8221.76
DRG189,PID450010,RIDTXWichitaFalls,68,30031.19,8431.89,7465.91
DRG190,PID450010,RIDTXWichitaFalls,108,26141.81,7812.42,6506.58
DRG190,PID450241,RIDTXWichitaFalls,16,6304.06,6649.06,6016.31
DRG190,PID450497,RIDTXWichitaFalls,11,12236.54,6927.72,6313.18
DRG190,PID450586,RIDTXWichitaFalls,20,8183.95,7530.95,6576.75
DRG191,PID450010,RIDTXWichitaFalls,97,24169.92,6373.12,5147.89
DRG191,PID450497,RIDTXWichitaFalls,24,16491.87,5990.41,5192.58
DRG192,PID450010,RIDTXWichitaFalls,76,20447.02,4886.01,3630.06
DRG193,PID450010,RIDTXWichitaFalls,84,32747.1,8945.14,8260.96
DRG193,PID450241,RIDTXWichitaFalls,17,6680.76,8596.47,7806.82
DRG194,PID450010,RIDTXWichitaFalls,147,26713.36,6370.09,5496.27
DRG194,PID450497,RIDTXWichitaFalls,51,18696.7,6183.17,5413.84
DRG194,PID450584,RIDTXWichitaFalls,28,11107,6902.21,5837.46
DRG194,PID450586,RIDTXWichitaFalls,19,8971.31,6511,5744.89
DRG194,PID450827,RIDTXWichitaFalls,30,14470.53,5630,4773
DRG195,PID450010,RIDTXWichitaFalls,76,19808.85,4592.32,3543.03
DRG195,PID450497,RIDTXWichitaFalls,13,15268.3,4416.15,3465.69
DRG195,PID450827,RIDTXWichitaFalls,20,13638.3,3990.6,2991.45
DRG202,PID450010,RIDTXWichitaFalls,25,27622.96,6035.4,4485.04
