drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID460004,RIDUTOgden,13,20313.76,6565.23,4805.38
DRG039,PID460005,RIDUTOgden,13,25490.15,6407.3,4793
DRG064,PID460004,RIDUTOgden,33,31910.39,12661.81,9174.66
DRG064,PID460005,RIDUTOgden,15,27037.06,9788.93,8816.4
DRG065,PID460004,RIDUTOgden,63,14328.68,6287.39,5110.49
DRG065,PID460005,RIDUTOgden,32,20761.56,6544.46,5665.09
DRG066,PID460004,RIDUTOgden,29,15418.2,5090.48,3731.03
DRG069,PID460004,RIDUTOgden,25,11008.16,4778.84,2993.76
DRG069,PID460005,RIDUTOgden,13,17136.84,5166,2965.84
DRG149,PID460004,RIDUTOgden,11,8738.36,3870.63,2847.36
DRG176,PID460004,RIDUTOgden,43,16265.13,6818.23,5173.62
DRG176,PID460005,RIDUTOgden,15,19448.2,6094.46,5419.53
DRG176,PID460041,RIDUTOgden,14,14319.07,6028.21,3903.71
DRG177,PID460004,RIDUTOgden,19,27590,12974.63,9714.63
DRG178,PID460004,RIDUTOgden,16,14603.62,7755.06,7049.56
DRG178,PID460041,RIDUTOgden,11,18407.36,8350.63,6821.27
DRG189,PID460004,RIDUTOgden,43,26157.09,7849.46,6994.02
DRG189,PID460005,RIDUTOgden,12,20858,7825.66,6401.91
DRG190,PID460004,RIDUTOgden,28,16786.89,7121.6,6122.32
DRG190,PID460005,RIDUTOgden,30,17831.3,6373.66,5321.9
DRG190,PID460041,RIDUTOgden,16,19583.06,6553.81,5763.87
DRG191,PID460004,RIDUTOgden,19,13835.52,5965.21,4793.63
DRG191,PID460005,RIDUTOgden,14,18150.14,5697.71,4891.42
DRG192,PID460004,RIDUTOgden,13,9974.53,4258.15,3218.15
DRG193,PID460004,RIDUTOgden,46,16763.65,7905.67,6942.63
DRG193,PID460005,RIDUTOgden,25,20286.44,8161.84,7188.56
DRG194,PID460004,RIDUTOgden,61,13219.49,6606.98,4567.18
DRG194,PID460005,RIDUTOgden,42,16554.88,5599.19,4686.61
DRG194,PID460041,RIDUTOgden,36,15745.77,5726,4551.05
DRG195,PID460004,RIDUTOgden,19,10067.73,4200.94,3198.21
DRG195,PID460041,RIDUTOgden,16,10638.75,4030.43,3120.68
DRG208,PID460004,RIDUTOgden,32,46047.43,14155.71,13282.21
DRG238,PID460004,RIDUTOgden,21,80255.14,25128.04,16208.19
DRG238,PID460005,RIDUTOgden,17,92006.52,19019.58,18098.64
DRG243,PID460004,RIDUTOgden,12,52011.66,16760.16,15824.91
DRG244,PID460004,RIDUTOgden,14,31004.64,12322.5,11275.92
DRG246,PID460004,RIDUTOgden,25,63328.4,25311.2,15258.08
DRG247,PID460004,RIDUTOgden,88,48104,12588.12,10611.36
DRG247,PID460041,RIDUTOgden,31,43866.12,11221.03,10205.8
DRG249,PID460004,RIDUTOgden,17,30526.76,10696.64,9903.23
DRG252,PID460004,RIDUTOgden,17,48925.76,18071.11,17273.94
DRG253,PID460004,RIDUTOgden,14,40874.21,14468.5,13662.21
DRG287,PID460004,RIDUTOgden,49,18868.73,6706.08,5421.79
DRG287,PID460041,RIDUTOgden,21,25922.42,6539.85,4964.52
DRG291,PID460004,RIDUTOgden,33,22980.54,8845.45,8061.33
DRG291,PID460005,RIDUTOgden,13,22920,7825.46,7136.23
DRG291,PID460041,RIDUTOgden,14,18520.57,8072.78,7428.21
DRG292,PID460004,RIDUTOgden,43,16244.76,6293.06,5117
DRG292,PID460005,RIDUTOgden,17,18678.41,5761.76,5036.82
DRG292,PID460041,RIDUTOgden,13,15790.07,5867.3,4999
