drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID460001,RIDUTProvo,17,14939.52,7567,3912.41
DRG064,PID460001,RIDUTProvo,30,24478.5,10892.2,10029.66
DRG065,PID460001,RIDUTProvo,60,19995.41,7556.23,5753.11
DRG066,PID460001,RIDUTProvo,28,15402.21,5001.39,4000.96
DRG069,PID460001,RIDUTProvo,17,11932.41,5040.11,3164.76
DRG176,PID460001,RIDUTProvo,33,14562.72,6643.3,5123.75
DRG176,PID460023,RIDUTProvo,13,16742.84,7155,3742.92
DRG177,PID460001,RIDUTProvo,14,35360,12056.57,11733.14
DRG177,PID460023,RIDUTProvo,20,24618.75,10599.7,9812.1
DRG178,PID460001,RIDUTProvo,17,27967.11,8903.7,7535
DRG178,PID460023,RIDUTProvo,11,14000.18,8191.36,7376.81
DRG190,PID460001,RIDUTProvo,13,20519.38,7053,6276.69
DRG193,PID460001,RIDUTProvo,41,27965.14,9429.9,7860.43
DRG193,PID460013,RIDUTProvo,17,22052.11,8929.41,7113.88
DRG193,PID460023,RIDUTProvo,17,25458.35,7763.58,6838.88
DRG194,PID460001,RIDUTProvo,55,18016.6,6444.67,4612.7
DRG194,PID460013,RIDUTProvo,32,17980.21,6435.65,4845.59
DRG194,PID460023,RIDUTProvo,38,13267.47,5591.1,4375.34
DRG194,PID460035,RIDUTProvo,20,11409,8885.9,7527.05
DRG194,PID460052,RIDUTProvo,15,15050.6,5602.33,4202.13
DRG195,PID460001,RIDUTProvo,15,11844.73,4567.6,2971.2
DRG195,PID460013,RIDUTProvo,17,14098.11,4400.47,3346.35
DRG195,PID460023,RIDUTProvo,15,10962.06,3935.33,3107.33
DRG208,PID460001,RIDUTProvo,20,45096.7,15418.2,13142.65
DRG238,PID460001,RIDUTProvo,21,47099.14,19035.71,17966.76
DRG243,PID460001,RIDUTProvo,18,38290.33,16635.77,14515.94
DRG244,PID460001,RIDUTProvo,32,29821.21,12615.03,11152.87
DRG246,PID460001,RIDUTProvo,26,54915.3,22136.84,18049.34
DRG247,PID460001,RIDUTProvo,114,33637.59,12990.88,10074.88
DRG251,PID460001,RIDUTProvo,18,35524.83,13055.05,9756.44
DRG253,PID460001,RIDUTProvo,12,35212.41,21007.25,11306.66
DRG254,PID460001,RIDUTProvo,11,24388.36,10454.54,8205.54
DRG281,PID460001,RIDUTProvo,16,16244.75,7108.68,6126.18
DRG286,PID460001,RIDUTProvo,15,28894.93,12851.86,10657.33
DRG287,PID460001,RIDUTProvo,49,16525.16,7449.12,4920.3
DRG291,PID460001,RIDUTProvo,32,33553.53,9818.12,9048.9
DRG291,PID460023,RIDUTProvo,11,31953,9224.36,8378.36
DRG292,PID460001,RIDUTProvo,64,16381.9,6496.62,5464
DRG292,PID460013,RIDUTProvo,17,19300.05,5973.17,5115.05
DRG292,PID460023,RIDUTProvo,16,15917.93,5534.25,4109.12
DRG292,PID460052,RIDUTProvo,14,20086.85,5458.07,4894.35
DRG293,PID460001,RIDUTProvo,18,12235.16,4910.27,3057.38
DRG300,PID460001,RIDUTProvo,11,14154.54,5881,5160.63
DRG308,PID460001,RIDUTProvo,16,21942.06,8012.25,6593.75
DRG309,PID460001,RIDUTProvo,31,10685.16,5224.87,4345
DRG310,PID460001,RIDUTProvo,35,7425.25,3548.57,2507.48
DRG312,PID460001,RIDUTProvo,12,13154.16,4852.41,3045.5
DRG313,PID460001,RIDUTProvo,26,9775.38,3389.57,2405.88
DRG329,PID460001,RIDUTProvo,15,107777.6,42238,40586.2
DRG330,PID460001,RIDUTProvo,23,43753.91,16533.26,14227.21
DRG377,PID460001,RIDUTProvo,20,32480.9,12093.3,11250.65
DRG378,PID460001,RIDUTProvo,49,18540.42,6673.95,5070.57
DRG378,PID460023,RIDUTProvo,12,16320.08,5639.66,4510.33
DRG389,PID460001,RIDUTProvo,21,13082.8,5739.61,4667.95
DRG391,PID460001,RIDUTProvo,13,23752.61,8009.53,6482.69
DRG392,PID460001,RIDUTProvo,35,16184.14,4550.74,3530.62
DRG392,PID460023,RIDUTProvo,26,13459.96,4008.15,2832.03
DRG418,PID460001,RIDUTProvo,15,22649,10398.13,9570.13
DRG419,PID460001,RIDUTProvo,19,21855.63,7704.15,5765.31
DRG439,PID460023,RIDUTProvo,11,19934.72,5886.18,4463.45
DRG460,PID460001,RIDUTProvo,108,54232.89,25793.56,19322.88
DRG469,PID460001,RIDUTProvo,15,49045.13,18258.13,17356.86
DRG470,PID460001,RIDUTProvo,266,36281.48,14145.19,10444.96
DRG470,PID460013,RIDUTProvo,119,42276.86,13828.24,11569.68
DRG470,PID460023,RIDUTProvo,42,33615.16,12553.64,9688.33
DRG470,PID460052,RIDUTProvo,66,45305.71,13162.57,9675.74
DRG473,PID460001,RIDUTProvo,33,20746.9,13299.87,9320.72
DRG480,PID460001,RIDUTProvo,15,50745.8,17843.4,16799.73
DRG481,PID460001,RIDUTProvo,46,35181.02,11196.21,10245.52
DRG481,PID460023,RIDUTProvo,11,30226.45,10279.09,9255.81
DRG491,PID460001,RIDUTProvo,36,13616.69,6508.41,4323.52
DRG552,PID460001,RIDUTProvo,16,20627.93,7566.06,3834
DRG602,PID460001,RIDUTProvo,11,32034.72,9296,7125.18
DRG603,PID460001,RIDUTProvo,22,17542.63,5397,3882.95
DRG603,PID460013,RIDUTProvo,19,13915.84,5147.84,3458.36
DRG603,PID460023,RIDUTProvo,12,11257.41,4280.83,3628.5
DRG638,PID460001,RIDUTProvo,20,10757.3,5764.25,3306.3
DRG640,PID460001,RIDUTProvo,11,28620.27,7583.9,4848.45
DRG641,PID460001,RIDUTProvo,40,12551.35,4243.95,3241.85
DRG641,PID460013,RIDUTProvo,12,15754.75,4356.33,3510
DRG641,PID460023,RIDUTProvo,19,8726.73,3837.63,2833.21
DRG641,PID460052,RIDUTProvo,12,13370,3767.83,3015.83
DRG682,PID460001,RIDUTProvo,44,38548.22,12001.7,10048.18
DRG682,PID460023,RIDUTProvo,19,27814.42,8869.73,8216
DRG683,PID460001,RIDUTProvo,44,17885.34,6433.38,5276.15
DRG683,PID460013,RIDUTProvo,16,16071.62,6121.18,5278.18
DRG683,PID460023,RIDUTProvo,30,14255.9,5539.6,4467.4
DRG684,PID460001,RIDUTProvo,11,11152.09,5152.54,2452
