drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID130028,RIDUTSaltLakeCity,11,24274.63,7910.27,6889.9
DRG039,PID460010,RIDUTSaltLakeCity,28,21084.42,7157.25,5054.67
DRG039,PID460021,RIDUTSaltLakeCity,19,18190.94,7242.52,4808.36
DRG039,PID460047,RIDUTSaltLakeCity,19,23567.36,6310.26,4755.94
DRG057,PID460009,RIDUTSaltLakeCity,11,12045.81,8086.27,7163
DRG057,PID460010,RIDUTSaltLakeCity,17,28449.64,8510.11,4718.76
DRG064,PID130028,RIDUTSaltLakeCity,14,22917.14,12634.92,11754.64
DRG064,PID460009,RIDUTSaltLakeCity,56,37288.21,18810.1,15348.21
DRG064,PID460010,RIDUTSaltLakeCity,41,31594.09,12098.26,10999.19
DRG064,PID460021,RIDUTSaltLakeCity,36,22907.08,11190.27,10271.91
DRG064,PID460047,RIDUTSaltLakeCity,17,35503.88,13630.23,10056.88
DRG065,PID130028,RIDUTSaltLakeCity,23,14250,8744.52,7019.3
DRG065,PID460009,RIDUTSaltLakeCity,45,23021.13,10092.75,8342.15
DRG065,PID460010,RIDUTSaltLakeCity,64,29695.67,8494.21,6556.95
DRG065,PID460021,RIDUTSaltLakeCity,54,13229,7128.62,5443.11
DRG065,PID460042,RIDUTSaltLakeCity,14,20235.21,6302.57,5415.42
DRG065,PID460047,RIDUTSaltLakeCity,30,25911.76,6486.66,5478.53
DRG066,PID130028,RIDUTSaltLakeCity,16,9502.37,6050.43,4608.87
DRG066,PID460007,RIDUTSaltLakeCity,11,10140.27,5569,4545.72
DRG066,PID460009,RIDUTSaltLakeCity,29,14028.62,6711.93,5936.75
DRG066,PID460010,RIDUTSaltLakeCity,43,17067,5545.76,4227.97
DRG066,PID460021,RIDUTSaltLakeCity,23,12624.91,5343.3,3635.52
DRG066,PID460042,RIDUTSaltLakeCity,13,17718.38,4513.53,3471.07
DRG066,PID460047,RIDUTSaltLakeCity,18,19173.77,5191.72,3448.61
DRG069,PID130028,RIDUTSaltLakeCity,11,11572,5985.81,4402.9
DRG069,PID460010,RIDUTSaltLakeCity,27,17638.44,5253.51,3722.14
DRG069,PID460021,RIDUTSaltLakeCity,25,11322.84,4767.56,3491.2
DRG069,PID460047,RIDUTSaltLakeCity,14,17135.5,4729.64,3071.5
DRG074,PID460009,RIDUTSaltLakeCity,13,32920.07,9394.84,8195.46
DRG101,PID460009,RIDUTSaltLakeCity,42,15540.19,7313.38,5874.52
DRG101,PID460010,RIDUTSaltLakeCity,42,15497.66,6054.47,3714.52
DRG101,PID460021,RIDUTSaltLakeCity,15,9452.66,4940.6,3877.6
DRG176,PID130028,RIDUTSaltLakeCity,14,14246.71,8361.14,6838.21
DRG176,PID460006,RIDUTSaltLakeCity,11,15103.81,7025.63,4562.45
DRG176,PID460007,RIDUTSaltLakeCity,17,10499.05,7132,6270.11
DRG176,PID460009,RIDUTSaltLakeCity,36,14378.58,8934.13,7521.83
DRG176,PID460010,RIDUTSaltLakeCity,55,18130.03,7581.2,5492.21
DRG176,PID460021,RIDUTSaltLakeCity,46,15077.21,6840.26,5831.52
DRG176,PID460042,RIDUTSaltLakeCity,19,25135.31,5864.89,4858.78
DRG176,PID460044,RIDUTSaltLakeCity,14,10043.85,5871.92,4014.85
DRG176,PID460047,RIDUTSaltLakeCity,50,18278.56,6420.36,4870.96
DRG176,PID460051,RIDUTSaltLakeCity,14,18667.28,7040.64,5345.28
DRG177,PID130028,RIDUTSaltLakeCity,15,21437.13,14960,14134.13
DRG177,PID460009,RIDUTSaltLakeCity,32,56348.03,25910.56,13078.81
DRG177,PID460010,RIDUTSaltLakeCity,29,34103.89,13824.68,10980.34
DRG177,PID460021,RIDUTSaltLakeCity,35,28338.02,13145.77,11288.25
DRG177,PID460044,RIDUTSaltLakeCity,15,19082.66,10572.93,9406.13
DRG177,PID460047,RIDUTSaltLakeCity,38,34581.36,11636.21,10985.05
DRG178,PID460009,RIDUTSaltLakeCity,34,27847.26,13902.08,9981.94
DRG178,PID460010,RIDUTSaltLakeCity,24,20051.12,10075.7,7388.37
DRG178,PID460021,RIDUTSaltLakeCity,13,24987.69,9370.53,8504.61
DRG178,PID460042,RIDUTSaltLakeCity,15,28470.6,7680.13,7007.33
DRG178,PID460047,RIDUTSaltLakeCity,25,24878.88,7910.88,7051.84
DRG178,PID460051,RIDUTSaltLakeCity,16,17400.81,7783.31,7047.43
DRG189,PID130028,RIDUTSaltLakeCity,64,19993.54,10255.85,9571.03
DRG189,PID460006,RIDUTSaltLakeCity,20,31789.2,7624.2,6613.4
DRG189,PID460009,RIDUTSaltLakeCity,14,26434.64,11001.14,9729.14
DRG189,PID460010,RIDUTSaltLakeCity,45,32674.24,11155.11,7425.95
DRG189,PID460021,RIDUTSaltLakeCity,21,16958.8,8453.47,7969.85
DRG189,PID460047,RIDUTSaltLakeCity,40,25261.65,7577.4,6818.1
DRG189,PID460051,RIDUTSaltLakeCity,29,23005.68,7845.27,6453.68
DRG190,PID130028,RIDUTSaltLakeCity,20,15506.2,9015.25,8169.45
DRG190,PID290008,RIDUTSaltLakeCity,14,28743.07,9979.42,9334.85
DRG190,PID460009,RIDUTSaltLakeCity,15,24870.8,10438.13,8947.13
DRG190,PID460010,RIDUTSaltLakeCity,31,24922.83,9269.74,7331.25
DRG190,PID460014,RIDUTSaltLakeCity,14,25267.07,10348.85,5935.57
DRG190,PID460021,RIDUTSaltLakeCity,42,14477.69,7400.38,6489.33
DRG190,PID460030,RIDUTSaltLakeCity,15,17429.4,8698.8,7250.46
DRG190,PID460047,RIDUTSaltLakeCity,53,19763.3,7059.98,5595.39
DRG190,PID460051,RIDUTSaltLakeCity,30,23990.5,7731.23,6019.7
DRG191,PID130028,RIDUTSaltLakeCity,11,10749.63,7509.45,6894.9
DRG191,PID290008,RIDUTSaltLakeCity,14,24669.71,8085.64,7279.35
DRG191,PID460009,RIDUTSaltLakeCity,21,15491.28,8125.9,6966
DRG191,PID460010,RIDUTSaltLakeCity,29,13874.82,5988.44,5096.17
DRG191,PID460014,RIDUTSaltLakeCity,13,19155.07,6502.15,5112.38
DRG191,PID460021,RIDUTSaltLakeCity,11,12646.72,6840.27,4626.36
DRG191,PID460047,RIDUTSaltLakeCity,19,16720.57,7135.05,4434.21
DRG191,PID460051,RIDUTSaltLakeCity,12,20549.91,5987.83,4456.25
DRG192,PID290008,RIDUTSaltLakeCity,11,17804.63,7328.36,4172.36
DRG192,PID460010,RIDUTSaltLakeCity,20,11960.75,5025.65,3491.65
DRG192,PID460011,RIDUTSaltLakeCity,12,9560.91,4894.83,3623.91
DRG192,PID460014,RIDUTSaltLakeCity,11,15826.54,5077.27,3785.27
DRG192,PID460030,RIDUTSaltLakeCity,17,12717.94,5429,4441.47
