drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490040,RIDVAArlington,14,17168.14,6869.71,5163.14
DRG039,PID490045,RIDVAArlington,12,26217.58,6475.66,5726.33
DRG039,PID490050,RIDVAArlington,20,23402.95,6572.05,5731.05
DRG039,PID490063,RIDVAArlington,69,18623.3,7690.39,6024.11
DRG039,PID490101,RIDVAArlington,22,12292.5,6444.45,5170.22
DRG039,PID490107,RIDVAArlington,14,36241.85,6284.71,4606.42
DRG057,PID490040,RIDVAArlington,25,15381.92,6066.68,4746.72
DRG057,PID490043,RIDVAArlington,13,11756.23,5418.84,4640.07
DRG057,PID490045,RIDVAArlington,14,23072.64,5675.78,4950.35
DRG057,PID490050,RIDVAArlington,14,15848,5717.28,4834.71
DRG057,PID490063,RIDVAArlington,26,25135.38,8698.34,6833.65
DRG064,PID490023,RIDVAArlington,11,58099.9,16821.72,16513
DRG064,PID490040,RIDVAArlington,41,31346.9,12213.17,10426.6
DRG064,PID490043,RIDVAArlington,14,27766.85,11146,10344.35
DRG064,PID490045,RIDVAArlington,20,18601.1,10557.9,9051.65
DRG064,PID490050,RIDVAArlington,73,19591.97,11172.19,10282.8
DRG064,PID490063,RIDVAArlington,205,36441.14,15018.85,13154.98
DRG064,PID490101,RIDVAArlington,13,27478.38,11112.69,10505.61
DRG064,PID490107,RIDVAArlington,35,47079.17,10760.05,10005.51
DRG064,PID490113,RIDVAArlington,13,22886.15,11735.3,11041.15
DRG064,PID490122,RIDVAArlington,19,41945.26,10686.47,10095.73
DRG065,PID490023,RIDVAArlington,31,24628.77,6773.35,5937.61
DRG065,PID490040,RIDVAArlington,50,22717.84,7794.16,5791
DRG065,PID490043,RIDVAArlington,40,20688.95,6851.42,5980.52
DRG065,PID490045,RIDVAArlington,37,17577.94,7223,6312.08
DRG065,PID490050,RIDVAArlington,74,15058.47,7278.27,6430.7
DRG065,PID490063,RIDVAArlington,179,22219.24,8627.01,7272.3
DRG065,PID490101,RIDVAArlington,21,14984.66,6263.19,4963.42
DRG065,PID490107,RIDVAArlington,37,25804.29,6497.18,5646.59
DRG065,PID490113,RIDVAArlington,33,19739.84,7516.27,6196.72
DRG065,PID490122,RIDVAArlington,41,26160.85,6320.14,5554.12
DRG066,PID490023,RIDVAArlington,20,18412.45,4794.85,3779.25
DRG066,PID490040,RIDVAArlington,34,21656.61,5197.26,4205.97
DRG066,PID490043,RIDVAArlington,32,16220.43,5047.46,3844.59
DRG066,PID490045,RIDVAArlington,14,14402.42,5216.21,3777.57
DRG066,PID490050,RIDVAArlington,41,13946.75,5356.78,4286.24
DRG066,PID490063,RIDVAArlington,104,19818.37,6910.05,4744.5
DRG066,PID490101,RIDVAArlington,24,13427.87,5013.91,3793
DRG066,PID490107,RIDVAArlington,19,22832.73,5267.15,3494.89
DRG066,PID490113,RIDVAArlington,12,12857.58,5121.91,4092.25
DRG066,PID490122,RIDVAArlington,23,18555.6,4934.17,3712.73
DRG069,PID490023,RIDVAArlington,20,16153.9,4266,3315
DRG069,PID490040,RIDVAArlington,41,20356.75,5328.19,3889.34
DRG069,PID490043,RIDVAArlington,41,17018.29,4570.26,3391.12
DRG069,PID490045,RIDVAArlington,26,11583.38,4651.38,3697.23
DRG069,PID490050,RIDVAArlington,50,9898.26,4738.4,3887.04
DRG069,PID490063,RIDVAArlington,101,17709.86,5767.5,4389.96
DRG069,PID490101,RIDVAArlington,23,15253.13,4592.21,3208.26
DRG069,PID490107,RIDVAArlington,26,22240.96,4563.69,3176.57
DRG069,PID490113,RIDVAArlington,35,11744.08,4678.37,3778.25
DRG069,PID490122,RIDVAArlington,26,15493.84,4909.8,2877.96
