drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490004,RIDVACharlottesville,15,14720.4,6580.86,5679.53
DRG039,PID490009,RIDVACharlottesville,48,32196.1,9433.56,7884.72
DRG039,PID490077,RIDVACharlottesville,11,18475.63,5420,4705.45
DRG057,PID490004,RIDVACharlottesville,28,10962.64,5691.85,4892.42
DRG057,PID490009,RIDVACharlottesville,32,23230.31,9487.75,8535.4
DRG057,PID490018,RIDVACharlottesville,22,9251,5698.13,4774.86
DRG057,PID490077,RIDVACharlottesville,15,15121.73,5029.86,4281.66
DRG064,PID490004,RIDVACharlottesville,32,19079.46,11185.4,10385.62
DRG064,PID490009,RIDVACharlottesville,90,38790.32,18257.71,16547.01
DRG064,PID490018,RIDVACharlottesville,35,15763.28,10900.65,10132.65
DRG064,PID490077,RIDVACharlottesville,27,15082.22,9225.7,8474.59
DRG065,PID490004,RIDVACharlottesville,66,14018.8,7117.45,5861.65
DRG065,PID490009,RIDVACharlottesville,87,25303.52,10710.54,9506.12
DRG065,PID490018,RIDVACharlottesville,79,11157.64,6952.3,6017.11
DRG065,PID490019,RIDVACharlottesville,19,19823.78,6356.05,5761.94
DRG065,PID490077,RIDVACharlottesville,68,13452.2,6094.75,4909.02
DRG066,PID490004,RIDVACharlottesville,50,13796.02,5099.96,4067.48
DRG066,PID490009,RIDVACharlottesville,73,19110.2,7828.97,6380.09
DRG066,PID490018,RIDVACharlottesville,27,10449,5037.88,4079.51
DRG066,PID490077,RIDVACharlottesville,59,11466.61,4330.54,3168.47
DRG069,PID490004,RIDVACharlottesville,76,12445.86,4740.34,3693.17
DRG069,PID490009,RIDVACharlottesville,23,16347.65,6786.08,5907.13
DRG069,PID490018,RIDVACharlottesville,36,9090.13,4632.47,3376.8
DRG069,PID490019,RIDVACharlottesville,12,15976.5,4607.75,3639.08
DRG069,PID490077,RIDVACharlottesville,49,10627.28,3977.57,2873.97
DRG074,PID490004,RIDVACharlottesville,13,11583.46,5750.84,4967.15
DRG074,PID490009,RIDVACharlottesville,25,19925.88,8825.36,8055.92
