drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490021,RIDVALynchburg,35,13721.37,6143.31,4879.2
DRG057,PID490021,RIDVALynchburg,79,12017.91,5374.87,4423.51
DRG064,PID490021,RIDVALynchburg,77,24118.49,10567.64,9766.14
DRG065,PID490021,RIDVALynchburg,148,15904.6,6663.62,5629.81
DRG065,PID490088,RIDVALynchburg,13,21261.76,7446.46,5184.15
DRG066,PID490021,RIDVALynchburg,122,13169.84,4852.59,3770.65
DRG069,PID490021,RIDVALynchburg,163,10172.17,4733.35,3140.89
DRG074,PID490021,RIDVALynchburg,63,10258,6259.9,3635.65
DRG101,PID490021,RIDVALynchburg,88,12326.31,4483.06,3616.69
DRG149,PID490021,RIDVALynchburg,57,8502.19,3834.36,2699.96
DRG176,PID490021,RIDVALynchburg,37,10546.21,5971.37,4843.67
DRG177,PID490021,RIDVALynchburg,60,23419.2,11697.85,11211.58
DRG178,PID490021,RIDVALynchburg,76,17349.67,9178.59,7317.11
DRG189,PID490021,RIDVALynchburg,90,17682.87,7769.08,6885.52
DRG189,PID490088,RIDVALynchburg,18,19317.55,6961.77,6332.88
DRG190,PID490021,RIDVALynchburg,138,15433.82,6872.91,6169.41
DRG190,PID490088,RIDVALynchburg,12,23464.33,9717.25,5218.66
DRG191,PID490021,RIDVALynchburg,208,11760.88,5748.75,4828.4
DRG191,PID490088,RIDVALynchburg,26,17952.92,5493.3,4843.92
DRG192,PID490021,RIDVALynchburg,133,9501.71,4417.97,3251.84
DRG192,PID490088,RIDVALynchburg,22,14138.18,4792.72,3034.54
DRG193,PID490021,RIDVALynchburg,104,19388.5,8498.17,7661.98
DRG193,PID490088,RIDVALynchburg,15,25066.86,7868.13,7044.4
DRG194,PID490021,RIDVALynchburg,180,12852.55,6171.93,4784.61
DRG194,PID490088,RIDVALynchburg,41,20582.36,5738.53,4539.85
DRG195,PID490021,RIDVALynchburg,78,8665.83,4354.65,3112.26
DRG195,PID490088,RIDVALynchburg,19,12430.47,3879.1,2755.52
DRG202,PID490021,RIDVALynchburg,62,10534,4962.32,4272.12
DRG203,PID490021,RIDVALynchburg,44,7348.61,3576.68,2604.13
DRG207,PID490021,RIDVALynchburg,22,84426,31948.95,31337.31
DRG208,PID490021,RIDVALynchburg,74,30634.1,13540.17,12250.06
DRG238,PID490021,RIDVALynchburg,50,58380.5,18317.74,17324.78
DRG243,PID490021,RIDVALynchburg,38,40240.94,14714.55,13829.28
DRG244,PID490021,RIDVALynchburg,46,34132.78,11761.32,10928.8
DRG246,PID490021,RIDVALynchburg,24,56462.54,23166.29,15255.12
DRG247,PID490021,RIDVALynchburg,139,48838.8,12885.1,9890.78
DRG249,PID490021,RIDVALynchburg,45,35544.71,12005.44,8719.77
DRG251,PID490021,RIDVALynchburg,32,43995,11466.28,9193.93
DRG252,PID490021,RIDVALynchburg,51,52511.05,19762.8,16787.47
DRG253,PID490021,RIDVALynchburg,45,40281.08,14782.37,13161.97
DRG254,PID490021,RIDVALynchburg,25,20469.72,10443.76,7536.64
DRG280,PID490021,RIDVALynchburg,80,24271.53,11120.8,9675.2
DRG281,PID490021,RIDVALynchburg,70,15323.04,7949.1,5906.1
DRG282,PID490021,RIDVALynchburg,27,12101.55,4710,3836.66
DRG286,PID490021,RIDVALynchburg,34,26611.05,12178.41,10322.41
DRG287,PID490021,RIDVALynchburg,97,19704.75,6876.72,5101.2
DRG291,PID490021,RIDVALynchburg,242,17763.59,8889.12,7775.66
DRG291,PID490088,RIDVALynchburg,22,16201.09,7105.86,6547.13
DRG292,PID490021,RIDVALynchburg,343,10842.43,6014.72,5120.08
DRG292,PID490088,RIDVALynchburg,36,15818.83,6537.41,4619.11
DRG293,PID490021,RIDVALynchburg,88,8215.42,4048.61,3286.88
DRG293,PID490088,RIDVALynchburg,18,11957.94,4164.61,2756.22
DRG300,PID490021,RIDVALynchburg,42,11448.54,5534.07,4645.09
DRG301,PID490021,RIDVALynchburg,28,8296.53,4104.35,2807.14
DRG303,PID490021,RIDVALynchburg,36,7392.22,3569.83,2600.36
DRG305,PID490021,RIDVALynchburg,30,7492.86,3760.33,2674.03
DRG308,PID490021,RIDVALynchburg,112,13357.63,7233.36,6440.33
DRG309,PID490021,RIDVALynchburg,106,9692.66,4970.28,4149.71
DRG310,PID490021,RIDVALynchburg,100,7465.64,3461.36,2327.72
DRG312,PID490021,RIDVALynchburg,188,9038.85,4336.59,3162.29
DRG313,PID490021,RIDVALynchburg,115,7919.8,3360.22,2246.4
DRG313,PID490088,RIDVALynchburg,11,12726.45,3112.72,2195.27
DRG314,PID490021,RIDVALynchburg,78,28145.53,12314.62,9241.69
DRG315,PID490021,RIDVALynchburg,33,11071.81,5438.42,4688.6
DRG329,PID490021,RIDVALynchburg,47,74400.23,35781.8,27659.27
DRG330,PID490021,RIDVALynchburg,65,45258.06,16837.52,13813.64
DRG372,PID490021,RIDVALynchburg,39,15447.56,7657.35,6542.15
DRG377,PID490021,RIDVALynchburg,79,20092.75,10709.6,8813.46
DRG378,PID490021,RIDVALynchburg,242,12776.27,6201.59,5047.16
DRG378,PID490088,RIDVALynchburg,20,15918.95,5402.85,4613.65
DRG379,PID490021,RIDVALynchburg,26,7360.8,4187.03,3364.73
DRG389,PID490021,RIDVALynchburg,58,16470.58,6150.15,4521.86
DRG390,PID490021,RIDVALynchburg,31,11235.06,3957.61,2715.16
DRG391,PID490021,RIDVALynchburg,71,17385.5,7088.88,6016.23
DRG392,PID490021,RIDVALynchburg,406,9890.88,4450.01,3208.87
DRG392,PID490088,RIDVALynchburg,28,13102.6,4808.1,3232.42
DRG394,PID490021,RIDVALynchburg,47,11933.42,5827.74,5047.12
DRG418,PID490021,RIDVALynchburg,49,24888.14,9985.97,9090.87
DRG419,PID490021,RIDVALynchburg,28,22036.21,7512.39,5572.14
DRG439,PID490021,RIDVALynchburg,48,12753.6,6701.22,4762.54
DRG460,PID490021,RIDVALynchburg,35,41823.2,24418.68,19075.71
DRG469,PID490021,RIDVALynchburg,37,46669.67,18869.27,17072.45
DRG470,PID490021,RIDVALynchburg,507,29353.93,13170.09,10407.9
DRG473,PID490021,RIDVALynchburg,19,24137.94,12016.26,10887.63
DRG480,PID490021,RIDVALynchburg,29,41703.58,16938.41,16206.68
DRG481,PID490021,RIDVALynchburg,111,26981.1,10857.6,9249.33
DRG482,PID490021,RIDVALynchburg,25,22584.88,8842.16,7810.96
DRG491,PID490021,RIDVALynchburg,79,11496.11,5736.92,4671.55
DRG536,PID490021,RIDVALynchburg,31,8755.61,4086,3216.83
DRG552,PID490021,RIDVALynchburg,146,11530.55,5046.51,3619.55
DRG563,PID490021,RIDVALynchburg,58,9938.63,4186.55,3180.48
DRG602,PID490021,RIDVALynchburg,32,15743.59,8569.65,7200.06
DRG603,PID490021,RIDVALynchburg,162,10102.9,4991.97,3731.2
DRG603,PID490088,RIDVALynchburg,12,10485.5,4452.41,3422.75
DRG638,PID490021,RIDVALynchburg,133,10123.66,5318.85,3683.93
DRG640,PID490021,RIDVALynchburg,63,15919.66,7317.93,5700.58
DRG641,PID490021,RIDVALynchburg,276,8768.75,4226.35,3080.32
DRG641,PID490088,RIDVALynchburg,31,11207.45,4002.61,2977.54
DRG682,PID490021,RIDVALynchburg,133,22914.42,9802.3,8579.03
DRG683,PID490021,RIDVALynchburg,254,11703.5,5999.37,5095.67
DRG684,PID490021,RIDVALynchburg,58,7724.94,3868.81,3075.77
DRG689,PID490021,RIDVALynchburg,40,13524.9,6990.92,6315.72
DRG690,PID490021,RIDVALynchburg,234,10007.16,4773.15,3692.7
DRG690,PID490088,RIDVALynchburg,35,13892.91,4667.77,3460.82
DRG698,PID490021,RIDVALynchburg,61,18497.67,8867.83,7975.73
DRG699,PID490021,RIDVALynchburg,45,12618.06,5764.57,4832.44
DRG811,PID490021,RIDVALynchburg,20,17183.6,7441.8,6138.6
DRG812,PID490021,RIDVALynchburg,111,11264.85,4849.27,3898.37
DRG812,PID490088,RIDVALynchburg,13,13914.76,5561.69,3946.84
DRG853,PID490021,RIDVALynchburg,47,65347.59,29817.48,29123.12
DRG870,PID490021,RIDVALynchburg,18,80790.88,32995.33,32153.44
DRG871,PID490021,RIDVALynchburg,402,23098.18,11058.98,10030.51
DRG871,PID490088,RIDVALynchburg,36,19863.27,9773.02,9113.58
DRG872,PID490021,RIDVALynchburg,242,13682.58,6658.57,5730.67
DRG872,PID490088,RIDVALynchburg,18,21996.55,6152.22,5280.66
DRG885,PID490021,RIDVALynchburg,31,8717.77,5238.64,4494.19
DRG897,PID490021,RIDVALynchburg,72,11726.76,5010.15,3012.06
DRG917,PID490021,RIDVALynchburg,16,23587.62,9043.5,7318.62
DRG918,PID490021,RIDVALynchburg,70,8681.37,3836.7,2601.54
DRG948,PID490021,RIDVALynchburg,64,9212.9,4043.96,3059.43
DRG948,PID490088,RIDVALynchburg,11,13858.81,3943.45,3231.81
