drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490052,RIDVANewportNews,34,24251.58,6976.82,5989.29
DRG039,PID490066,RIDVANewportNews,18,22555.11,6252.16,4399
DRG039,PID490093,RIDVANewportNews,17,25714.64,6865.58,4099.41
DRG057,PID490052,RIDVANewportNews,35,25886.88,8424,7188.54
DRG057,PID490066,RIDVANewportNews,18,21606.38,5390.94,4578.66
DRG064,PID490041,RIDVANewportNews,11,24292.27,9593.09,7600.18
DRG064,PID490052,RIDVANewportNews,70,22720.48,13032.85,12167.37
DRG064,PID490066,RIDVANewportNews,25,27296.16,9646.36,8924.44
DRG064,PID490093,RIDVANewportNews,31,29858.77,10643.61,9915.38
DRG064,PID490130,RIDVANewportNews,13,20938.07,9393.69,8527.84
DRG065,PID490041,RIDVANewportNews,17,21617.7,6399.88,5541.76
DRG065,PID490052,RIDVANewportNews,92,16714.21,8590.13,7285.38
DRG065,PID490066,RIDVANewportNews,60,21959.05,6417.46,5086.76
DRG065,PID490093,RIDVANewportNews,68,22877.39,6544.08,5158.89
DRG065,PID490130,RIDVANewportNews,38,15864.92,6037.44,5062.81
DRG066,PID490041,RIDVANewportNews,16,16377.87,4496.56,3441.31
DRG066,PID490052,RIDVANewportNews,39,14052.58,6091.87,4824.12
DRG066,PID490066,RIDVANewportNews,26,18368.07,4533.26,3149.46
DRG066,PID490093,RIDVANewportNews,26,15844.96,4454.34,3460.34
DRG066,PID490130,RIDVANewportNews,17,13109.94,4267.52,2961.7
DRG069,PID490041,RIDVANewportNews,43,17046.2,4151.62,3084.09
DRG069,PID490052,RIDVANewportNews,97,12835.31,5511.76,4571.76
DRG069,PID490066,RIDVANewportNews,44,16564.34,4092.2,2968.02
DRG069,PID490093,RIDVANewportNews,48,14454.91,4417.47,3008.27
DRG069,PID490130,RIDVANewportNews,25,11415.12,3870.64,2748.8
DRG074,PID490052,RIDVANewportNews,17,13376.94,6774.94,5779.88
DRG074,PID490066,RIDVANewportNews,17,17966.35,4659,3687.64
DRG074,PID490093,RIDVANewportNews,12,18507.16,4816.75,3789.75
DRG101,PID490041,RIDVANewportNews,11,17175.27,4382.45,2978.72
DRG101,PID490052,RIDVANewportNews,27,12505.77,5984.07,4749.22
DRG101,PID490066,RIDVANewportNews,26,19518.23,4212.61,3014.26
DRG101,PID490093,RIDVANewportNews,29,16939.34,4695.82,3329.96
DRG101,PID490130,RIDVANewportNews,14,12855.21,4067.35,3044
DRG149,PID490052,RIDVANewportNews,19,11339.78,5475.57,3781.26
DRG149,PID490066,RIDVANewportNews,15,17566.93,4023.4,2251.4
DRG176,PID490052,RIDVANewportNews,19,18929.1,8150.94,7320.21
DRG176,PID490066,RIDVANewportNews,27,17730,5247.96,4372.29
DRG176,PID490093,RIDVANewportNews,34,21434.23,5710.64,4784.05
