drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID340109,RIDVANorfolk,22,16353.27,7055.31,6036.4
DRG039,PID490007,RIDVANorfolk,28,26349.78,7826.25,5509.14
DRG039,PID490011,RIDVANorfolk,12,35318.41,6116,5172.66
DRG039,PID490017,RIDVANorfolk,11,24476.09,6228.18,5102
DRG039,PID490044,RIDVANorfolk,19,21204,6582.84,4637.31
DRG039,PID490057,RIDVANorfolk,29,23819.03,5411.75,4186.79
DRG039,PID490120,RIDVANorfolk,11,21281.36,5577.72,4657.36
DRG057,PID490007,RIDVANorfolk,35,16586.71,7285.45,5934.88
DRG057,PID490011,RIDVANorfolk,12,15875.91,5637.41,4796.41
DRG057,PID490017,RIDVANorfolk,19,12726.26,5494.94,4490.52
DRG057,PID490037,RIDVANorfolk,14,14059.42,4962.57,3663.14
DRG057,PID490044,RIDVANorfolk,17,18947.82,5102.41,4113
DRG057,PID490046,RIDVANorfolk,15,15204.86,5620.93,4020.66
DRG057,PID490057,RIDVANorfolk,16,19134.25,4598.18,3548.93
DRG057,PID490120,RIDVANorfolk,17,15974.58,5127.29,4263.52
DRG064,PID340109,RIDVANorfolk,21,26519.57,13107.23,12035.23
DRG064,PID490007,RIDVANorfolk,89,37835.48,13631.25,12667.78
DRG064,PID490011,RIDVANorfolk,30,31198.73,10625.26,9727.13
DRG064,PID490017,RIDVANorfolk,62,22983.43,12265.77,9998.96
DRG064,PID490037,RIDVANorfolk,20,18293.85,9768.75,8285.5
DRG064,PID490044,RIDVANorfolk,25,27963.44,10522.84,8959.36
DRG064,PID490046,RIDVANorfolk,31,24686.19,10165.12,8196.77
DRG064,PID490057,RIDVANorfolk,56,36317.35,10331.83,9013.44
DRG064,PID490119,RIDVANorfolk,27,36003.25,9725.33,8802.85
DRG064,PID490120,RIDVANorfolk,55,29246.9,10678.18,9355.89
DRG065,PID340109,RIDVANorfolk,31,20234,8089.35,7185.74
DRG065,PID490007,RIDVANorfolk,123,27470.95,9240.79,7346.69
DRG065,PID490011,RIDVANorfolk,36,23520.63,7022.58,6054.91
DRG065,PID490017,RIDVANorfolk,69,18459.26,7021.91,5996.42
DRG065,PID490037,RIDVANorfolk,31,15703.16,6204.96,5156.32
DRG065,PID490044,RIDVANorfolk,48,25104.37,6452.97,5583.75
DRG065,PID490046,RIDVANorfolk,66,22202.21,7056.13,5214.93
DRG065,PID490057,RIDVANorfolk,89,26414.08,6293.61,5177.42
DRG065,PID490092,RIDVANorfolk,17,31199.41,7171.17,6311.17
DRG065,PID490119,RIDVANorfolk,37,27967.24,6233.24,5446.43
DRG065,PID490120,RIDVANorfolk,86,19411.51,6439.22,5307.11
DRG066,PID490007,RIDVANorfolk,44,19630.02,5894.56,5004.29
DRG066,PID490011,RIDVANorfolk,15,17052.26,5377,3445.66
DRG066,PID490017,RIDVANorfolk,25,14819.12,5111.32,3891.64
DRG066,PID490044,RIDVANorfolk,41,18520.12,4832.82,3306.65
DRG066,PID490046,RIDVANorfolk,36,17303.47,4998.02,3364.61
DRG066,PID490057,RIDVANorfolk,46,20492.89,4324.63,3310.63
DRG066,PID490092,RIDVANorfolk,12,23492.16,5042.83,4199.16
DRG066,PID490119,RIDVANorfolk,22,18976.9,4877.4,3256.72
DRG066,PID490120,RIDVANorfolk,56,17057,4516.82,3377.07
DRG069,PID340109,RIDVANorfolk,11,15905.81,5205.81,4188.36
DRG069,PID490007,RIDVANorfolk,64,17508.01,5441.65,4026.62
DRG069,PID490011,RIDVANorfolk,26,17285.15,4536.03,3357.88
DRG069,PID490017,RIDVANorfolk,74,12596.4,4499.58,3334.97
DRG069,PID490037,RIDVANorfolk,14,11921.35,5094.07,2348.07
DRG069,PID490044,RIDVANorfolk,32,17916,4176.28,3120.03
DRG069,PID490046,RIDVANorfolk,85,16224.55,4327.92,3018.81
DRG069,PID490057,RIDVANorfolk,114,19370.57,4295.02,2696.09
DRG069,PID490092,RIDVANorfolk,16,19865.62,4906.62,3413.12
DRG069,PID490119,RIDVANorfolk,21,16679.95,3991.33,2967.14
DRG069,PID490120,RIDVANorfolk,87,14707.03,4028.93,2956.39
DRG074,PID490007,RIDVANorfolk,18,18814.61,6354.27,5727.16
DRG074,PID490037,RIDVANorfolk,14,13318,4704.07,3980.92
DRG074,PID490044,RIDVANorfolk,15,17449,4950.53,4277.73
DRG074,PID490046,RIDVANorfolk,20,15465.35,4942.75,3962.1
DRG074,PID490120,RIDVANorfolk,28,14177.96,4709.28,3790
DRG101,PID490007,RIDVANorfolk,39,19258.79,6408.02,4412.02
DRG101,PID490011,RIDVANorfolk,15,14750.86,4816.66,3167.4
DRG101,PID490017,RIDVANorfolk,22,12734.13,4622.72,3855.27
DRG101,PID490037,RIDVANorfolk,22,12434.5,4104.95,3240.4
DRG101,PID490044,RIDVANorfolk,15,15475.86,4366.53,3616.13
DRG101,PID490046,RIDVANorfolk,23,13902.39,4152.34,3565.91
DRG101,PID490057,RIDVANorfolk,24,20165.16,4135.08,3047.33
DRG101,PID490120,RIDVANorfolk,54,14413.96,4176.64,3234.83
DRG149,PID490007,RIDVANorfolk,16,16408.43,5638.18,3380.62
DRG149,PID490046,RIDVANorfolk,16,11832.37,3841.43,2458.37
DRG149,PID490057,RIDVANorfolk,13,18253.46,3364.92,2235.38
DRG149,PID490120,RIDVANorfolk,24,13198.08,3502.58,2471.58
DRG176,PID340109,RIDVANorfolk,19,17985.36,7514.84,6745.36
DRG176,PID490007,RIDVANorfolk,24,21678.5,7722.91,6880.58
DRG176,PID490017,RIDVANorfolk,16,21161.06,6388.06,5036.81
DRG176,PID490044,RIDVANorfolk,18,27255.94,6029.05,5466.61
DRG176,PID490046,RIDVANorfolk,35,18565.11,5610.85,4808.68
DRG176,PID490057,RIDVANorfolk,22,24118.86,5621.95,4765.9
DRG176,PID490119,RIDVANorfolk,21,21321.61,5926.9,4720.66
DRG176,PID490120,RIDVANorfolk,36,16275.97,6009.63,4955.91
DRG177,PID340109,RIDVANorfolk,16,25922,13744.12,12666.5
DRG177,PID490007,RIDVANorfolk,33,33709.09,14641.45,13914.45
DRG177,PID490011,RIDVANorfolk,24,31746.41,12695.95,10899.37
DRG177,PID490017,RIDVANorfolk,57,22760.92,11878.78,10339.66
DRG177,PID490037,RIDVANorfolk,11,27751.72,11021.72,10313
DRG177,PID490044,RIDVANorfolk,19,33309.73,11691.05,10863.68
DRG177,PID490046,RIDVANorfolk,74,30951.56,10966,10262.37
DRG177,PID490057,RIDVANorfolk,83,45535.43,11747,10424.59
DRG177,PID490092,RIDVANorfolk,11,40517.18,11142,10321.63
DRG177,PID490119,RIDVANorfolk,26,35761.15,10683.23,9822.3
DRG177,PID490120,RIDVANorfolk,77,24853.7,11276,10565.12
DRG178,PID490007,RIDVANorfolk,18,36691.05,11076.66,10379.83
DRG178,PID490017,RIDVANorfolk,15,25531.46,8943.46,8268.53
DRG178,PID490037,RIDVANorfolk,12,21975.83,7949.91,7111.58
DRG178,PID490044,RIDVANorfolk,30,18213.9,7720.13,7046.26
DRG178,PID490046,RIDVANorfolk,49,18984.46,8884.1,6793.48
DRG178,PID490057,RIDVANorfolk,38,29452.28,7708.73,6938.42
DRG178,PID490092,RIDVANorfolk,17,39090.58,9007.29,8280.47
DRG178,PID490119,RIDVANorfolk,19,25447.31,8007.78,7183.78
DRG178,PID490120,RIDVANorfolk,48,16809.41,7763.89,7106.89
DRG189,PID490007,RIDVANorfolk,42,30059.23,9789.59,8811.78
DRG189,PID490011,RIDVANorfolk,47,17898.29,7769.89,6986.65
DRG189,PID490017,RIDVANorfolk,74,13689.27,7803.97,6912.56
DRG189,PID490037,RIDVANorfolk,36,16598,6983.25,6367.33
DRG189,PID490044,RIDVANorfolk,35,27784.65,7751.82,6414
DRG189,PID490046,RIDVANorfolk,94,22911.88,7258.5,6386.11
DRG189,PID490057,RIDVANorfolk,105,26481.01,6909.08,5745.42
DRG189,PID490092,RIDVANorfolk,19,44781.52,8196,7663.15
DRG189,PID490119,RIDVANorfolk,23,39351.56,12772.56,6297.73
