drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490022,RIDVARichmond,41,19683.07,6548.43,5276
DRG039,PID490069,RIDVARichmond,16,32336.18,7010.25,3824.87
DRG039,PID490112,RIDVARichmond,31,72547.03,6022.48,4637.29
DRG039,PID490118,RIDVARichmond,46,66232.43,6535.6,4536.6
DRG057,PID490022,RIDVARichmond,25,23093.28,5939.2,5084
DRG057,PID490032,RIDVARichmond,28,33902.53,9590.5,7895.25
DRG057,PID490059,RIDVARichmond,22,15052.86,5129.68,4310.77
DRG057,PID490067,RIDVARichmond,27,37413.85,6029,4644.33
DRG057,PID490069,RIDVARichmond,17,19584,5618.64,4564.52
DRG057,PID490112,RIDVARichmond,32,34377.06,5231.62,4420
DRG057,PID490118,RIDVARichmond,29,30879.68,5460.48,4518.31
DRG057,PID490136,RIDVARichmond,12,17264.66,5697.91,4000.33
DRG064,PID490020,RIDVARichmond,11,102345.36,12770.36,9345.63
DRG064,PID490022,RIDVARichmond,71,39007.33,11295.14,10596.33
DRG064,PID490032,RIDVARichmond,81,60527.9,21432.29,18405.64
DRG064,PID490059,RIDVARichmond,57,27937.77,10025.77,9257.42
DRG064,PID490067,RIDVARichmond,23,101441.56,13034.34,10753.73
DRG064,PID490069,RIDVARichmond,61,37487.6,11064.36,9962.37
DRG064,PID490098,RIDVARichmond,21,27782.04,9847.71,9259.33
DRG064,PID490112,RIDVARichmond,75,81073.36,11513.3,10160.48
DRG064,PID490118,RIDVARichmond,48,58183.79,11351.12,10120.97
DRG064,PID490136,RIDVARichmond,23,27727.26,10620.52,9938.43
DRG065,PID490020,RIDVARichmond,14,51212.78,6721.78,5841.5
DRG065,PID490022,RIDVARichmond,115,29410.03,7987.03,6471.31
DRG065,PID490032,RIDVARichmond,75,39276.78,11354.73,10130.14
DRG065,PID490059,RIDVARichmond,75,20478.45,6470.89,5481.13
DRG065,PID490067,RIDVARichmond,60,51034.76,7232.78,5944.38
DRG065,PID490069,RIDVARichmond,93,25504.02,6955.94,5669.36
DRG065,PID490090,RIDVARichmond,12,22139.33,6313.5,5475.16
DRG065,PID490097,RIDVARichmond,16,29873.31,6455.56,5543.81
DRG065,PID490098,RIDVARichmond,33,21567.66,6245.9,5528.45
DRG065,PID490112,RIDVARichmond,162,49367.06,7370.42,5498.12
DRG065,PID490118,RIDVARichmond,79,40435.69,6988.81,5746.05
DRG065,PID490123,RIDVARichmond,15,11480.06,6600,5478.66
DRG065,PID490136,RIDVARichmond,28,21051.53,6504.89,5621.17
DRG066,PID490020,RIDVARichmond,16,32260.62,4726.18,3814.43
DRG066,PID490022,RIDVARichmond,60,24113.61,5402.31,4294.35
DRG066,PID490032,RIDVARichmond,58,29255.79,9289.03,6577.87
DRG066,PID490059,RIDVARichmond,38,15613.34,4997,3614.76
DRG066,PID490067,RIDVARichmond,41,48441.07,5061.8,3992.31
DRG066,PID490069,RIDVARichmond,30,19674.6,4855.03,3804.9
DRG066,PID490090,RIDVARichmond,17,14223.82,4350.52,3492.41
DRG066,PID490098,RIDVARichmond,16,14982.5,4463.81,3331.06
DRG066,PID490112,RIDVARichmond,67,33509.41,4699.8,3637.68
DRG066,PID490118,RIDVARichmond,47,30024.63,6066.93,3652.74
