drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID490005,RIDVAWinchester,58,12007.86,6366.58,5227.43
DRG057,PID490005,RIDVAWinchester,47,8904.65,5820,4876.55
DRG064,PID490005,RIDVAWinchester,77,24532.76,12129.58,10147.96
DRG064,PID510008,RIDVAWinchester,13,18585.61,11804.69,10854.23
DRG065,PID490005,RIDVAWinchester,133,16344.78,7792.15,6010.66
DRG065,PID510008,RIDVAWinchester,29,12620.34,7275.65,6461.44
DRG066,PID490005,RIDVAWinchester,63,12100.77,5221.17,3905.23
DRG066,PID510008,RIDVAWinchester,15,12573.6,5212.33,4157.93
DRG069,PID490005,RIDVAWinchester,41,11062.43,4699.46,3384.41
DRG069,PID510008,RIDVAWinchester,22,10382.59,4766.5,3496.54
DRG074,PID490005,RIDVAWinchester,23,10573.08,5854.08,4304.91
DRG101,PID490005,RIDVAWinchester,64,10142.29,4992.59,3816.35
DRG149,PID490005,RIDVAWinchester,29,7929,3934.58,2964.24
DRG176,PID490005,RIDVAWinchester,25,13503.84,6400.08,5724.72
DRG176,PID510008,RIDVAWinchester,19,13457.26,6772.94,5945.57
DRG177,PID490005,RIDVAWinchester,55,21556.45,12497.65,11960.29
DRG178,PID490005,RIDVAWinchester,74,15474.52,9294.52,7812.37
DRG178,PID490033,RIDVAWinchester,12,14434.83,11204.75,10644.08
DRG178,PID510008,RIDVAWinchester,17,16522.52,9310.17,8779.35
DRG189,PID490005,RIDVAWinchester,63,15005.38,8114.5,6902.11
DRG189,PID490033,RIDVAWinchester,13,14947.15,10375.23,8019.07
DRG189,PID510008,RIDVAWinchester,62,18313.25,8082.29,7328.3
DRG190,PID490005,RIDVAWinchester,217,13423.96,7596.17,6282.21
DRG190,PID490033,RIDVAWinchester,18,11077.5,8879.44,8252.33
DRG190,PID510008,RIDVAWinchester,56,17256.23,8089.01,7223.32
DRG191,PID490005,RIDVAWinchester,178,10936.5,6301.28,4941.8
DRG191,PID490033,RIDVAWinchester,28,10552.82,7282.92,6237.85
DRG191,PID510008,RIDVAWinchester,61,12712.45,6136.03,5295.39
DRG192,PID490005,RIDVAWinchester,98,8414.22,4550.27,3302.47
DRG192,PID490033,RIDVAWinchester,22,7303.36,5513.09,4597.09
DRG192,PID510008,RIDVAWinchester,38,9379,4576.23,3720.76
DRG193,PID490005,RIDVAWinchester,160,20212.42,10147.55,8127.06
DRG193,PID490033,RIDVAWinchester,30,12998.33,10405.2,9805.73
DRG193,PID510008,RIDVAWinchester,31,18310.61,9279.35,8331.38
DRG194,PID490005,RIDVAWinchester,191,11188.45,6392.18,5096.69
DRG194,PID490033,RIDVAWinchester,39,9586.17,7430.87,6565.02
DRG194,PID510008,RIDVAWinchester,74,11671.08,6457.41,5483.51
DRG195,PID490005,RIDVAWinchester,83,7458.28,4369.77,3329.62
DRG195,PID490033,RIDVAWinchester,20,6109.6,5352.05,4729.45
