drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID330250,RIDVTBurlington,26,15270.5,8410.96,7487
DRG039,PID470003,RIDVTBurlington,57,17934.35,9290.8,7936.03
DRG057,PID330250,RIDVTBurlington,12,24020.25,9492.5,7368.16
DRG057,PID470003,RIDVTBurlington,28,18529.39,9987.6,9146.6
DRG064,PID470001,RIDVTBurlington,15,22980.06,17531,16709.4
DRG064,PID470003,RIDVTBurlington,70,27167.42,17682.87,16408.02
DRG064,PID470005,RIDVTBurlington,19,16436.57,13826.47,13293.63
DRG065,PID330079,RIDVTBurlington,14,15996.21,7629,6667.85
DRG065,PID330084,RIDVTBurlington,12,9104.66,7354,6607.33
DRG065,PID330197,RIDVTBurlington,21,12241.19,7655.42,6742.09
DRG065,PID330250,RIDVTBurlington,22,19866.95,9548.22,8173
DRG065,PID470001,RIDVTBurlington,16,13950.62,10556.43,9575.93
DRG065,PID470003,RIDVTBurlington,76,23188.14,11139.69,9822.75
DRG065,PID470005,RIDVTBurlington,29,15184.13,8982.17,7195.93
DRG066,PID330250,RIDVTBurlington,20,21023.45,7036.5,5534.65
DRG066,PID470003,RIDVTBurlington,59,18759.28,7867.84,6898.01
DRG066,PID470005,RIDVTBurlington,16,13368,7227.56,5258.62
DRG066,PID470024,RIDVTBurlington,11,10810.63,7418,6603.45
DRG069,PID330197,RIDVTBurlington,14,8989.85,4846,3718.57
DRG069,PID330250,RIDVTBurlington,30,13492.93,6051.76,4874.96
DRG069,PID470003,RIDVTBurlington,21,14151.38,6735.57,5660.52
DRG069,PID470005,RIDVTBurlington,29,14225.89,5975.44,5002.86
DRG074,PID330250,RIDVTBurlington,14,12533.71,6843.5,5976.64
DRG074,PID470003,RIDVTBurlington,19,20524.68,8488.89,7529.15
DRG101,PID330223,RIDVTBurlington,13,6329.3,5155,4463.3
DRG101,PID330250,RIDVTBurlington,13,13620.38,6191.61,5238.69
DRG101,PID470003,RIDVTBurlington,31,14469.54,7100.19,6305.09
DRG149,PID330250,RIDVTBurlington,18,12031.33,5277.61,4407.83
DRG176,PID330250,RIDVTBurlington,23,13729.6,8680.69,7848.17
DRG176,PID470003,RIDVTBurlington,43,13474.76,9580.74,8344.16
DRG176,PID470005,RIDVTBurlington,20,18744.15,8642.85,7584.1
DRG177,PID330250,RIDVTBurlington,31,52442.54,21051.16,19044.51
DRG177,PID470001,RIDVTBurlington,14,36120.92,21119.64,20475
DRG177,PID470003,RIDVTBurlington,34,35084.44,19905.97,18552.5
DRG177,PID470005,RIDVTBurlington,30,23104.86,15616.36,15023.13
DRG178,PID330223,RIDVTBurlington,14,16077.28,9549.28,9230.42
DRG178,PID330250,RIDVTBurlington,43,24987.62,12299.37,11688.16
DRG178,PID470001,RIDVTBurlington,24,16878.45,12370.16,11809.5
DRG178,PID470003,RIDVTBurlington,46,24853.28,13557.23,12875.84
DRG178,PID470005,RIDVTBurlington,27,20678.11,12122.4,10552.14
DRG189,PID330197,RIDVTBurlington,31,12587.7,8510.03,7604.77
DRG189,PID330223,RIDVTBurlington,28,16040.71,9926.64,8985.75
DRG189,PID330250,RIDVTBurlington,56,30638.35,10952.16,10151.44
DRG189,PID470001,RIDVTBurlington,16,20453,12567.62,11041.06
DRG189,PID470003,RIDVTBurlington,101,18373.27,11955.92,11300.31
DRG189,PID470005,RIDVTBurlington,21,20740.14,11839.09,9198.9
DRG190,PID330084,RIDVTBurlington,48,8752.39,7283.35,6385.79
DRG190,PID330197,RIDVTBurlington,50,10512.08,7511.54,6496.84
DRG190,PID330223,RIDVTBurlington,23,10693.43,8001.82,7255.43
DRG190,PID330250,RIDVTBurlington,63,26501.39,9912.28,9108.28
DRG190,PID470001,RIDVTBurlington,55,17292.36,10619.76,9822.3
DRG190,PID470003,RIDVTBurlington,67,14704.92,10855.07,9572.41
DRG190,PID470005,RIDVTBurlington,73,19543.98,9786.01,8586.5
DRG190,PID470024,RIDVTBurlington,24,12521.08,10558.54,9623.2
DRG191,PID330079,RIDVTBurlington,12,12817.5,6570,5726.33
DRG191,PID330084,RIDVTBurlington,43,7414.93,6013.88,5406.11
DRG191,PID330197,RIDVTBurlington,24,8075.12,6153.16,5235.37
DRG191,PID330223,RIDVTBurlington,47,10260.85,6455.34,5643.93
DRG191,PID330250,RIDVTBurlington,79,18084.1,8029.46,7100.43
DRG191,PID470001,RIDVTBurlington,43,12579.81,8739.13,7534.62
DRG191,PID470003,RIDVTBurlington,68,11773.8,8573.3,7675.64
DRG191,PID470005,RIDVTBurlington,85,16959.34,8040.67,6724.41
DRG191,PID470024,RIDVTBurlington,19,12257.89,8895.52,8299.73
DRG192,PID330084,RIDVTBurlington,46,5545.13,4560.13,3800.04
