drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID500014,RIDWAEverett,29,34694.24,8366.72,5781.86
DRG057,PID500014,RIDWAEverett,11,23078.45,5739,4921.54
DRG064,PID500014,RIDWAEverett,37,40656.67,13536.4,11162.21
DRG065,PID500003,RIDWAEverett,25,34664.8,7890.64,6756.36
DRG065,PID500007,RIDWAEverett,21,10859.42,7314.14,6201.47
DRG065,PID500014,RIDWAEverett,86,24273.5,7956.34,6231.36
DRG066,PID500003,RIDWAEverett,20,24853.7,5534.55,4169.35
DRG066,PID500007,RIDWAEverett,16,9809.18,5281,4296.5
DRG066,PID500014,RIDWAEverett,70,20811.71,5788.64,4265.18
DRG069,PID500003,RIDWAEverett,25,21441.28,4959.24,3968.2
DRG069,PID500007,RIDWAEverett,20,8495.05,4851.05,3590.25
DRG069,PID500014,RIDWAEverett,14,23940.71,4989.85,3945.57
DRG101,PID500014,RIDWAEverett,11,22444.81,5199.63,4176.36
DRG176,PID500003,RIDWAEverett,11,23253.72,7262.81,6442.45
DRG176,PID500007,RIDWAEverett,13,12036.07,6850.15,6076.3
DRG176,PID500014,RIDWAEverett,33,20913.33,7272.66,6178.27
DRG177,PID500003,RIDWAEverett,23,43408.17,13196.04,12708.04
DRG177,PID500007,RIDWAEverett,17,16531,12350.94,11755.41
DRG177,PID500014,RIDWAEverett,59,37318.13,13612.38,12094.86
DRG178,PID500003,RIDWAEverett,31,33569.29,9180.87,8526.67
DRG178,PID500007,RIDWAEverett,20,15917.95,9331.25,8770.05
DRG178,PID500014,RIDWAEverett,22,27366.72,10216.72,8252.09
DRG189,PID500003,RIDWAEverett,13,36510.46,8689.76,7998.07
DRG189,PID500014,RIDWAEverett,369,27776.3,9210.57,7893.4
DRG190,PID500003,RIDWAEverett,36,32003.19,7939.66,7192.11
DRG190,PID500014,RIDWAEverett,12,12832.66,7761.75,7201.08
DRG191,PID500003,RIDWAEverett,24,23392.62,6603.66,5808.5
DRG191,PID500007,RIDWAEverett,12,11792.83,6379.66,5350
DRG191,PID500014,RIDWAEverett,22,19673.13,6311.04,5700.86
DRG192,PID500003,RIDWAEverett,30,20008.76,5061,3940.56
DRG192,PID500007,RIDWAEverett,11,10184.18,4857.18,3237.36
DRG192,PID500014,RIDWAEverett,13,16215.84,5473.38,3687.84
DRG193,PID500003,RIDWAEverett,32,37976.53,10119.25,9454.12
DRG193,PID500007,RIDWAEverett,12,24118.5,9391.66,8459
DRG193,PID500014,RIDWAEverett,30,30755.76,10841.3,8713.13
DRG194,PID500003,RIDWAEverett,58,24794.03,6747.98,5748.53
DRG194,PID500007,RIDWAEverett,33,10446.63,6599.63,5669.72
DRG194,PID500014,RIDWAEverett,74,18316.85,6820.74,5633.93
DRG194,PID500060,RIDWAEverett,23,15616.95,7818.47,6742.65
DRG194,PID500084,RIDWAEverett,22,13578.68,7391.59,6150.13
DRG195,PID500003,RIDWAEverett,37,21465.1,4945.7,3512.1
DRG195,PID500007,RIDWAEverett,20,9492,4669.45,3658.65
DRG195,PID500014,RIDWAEverett,28,14803.32,5089.53,3504.25
DRG195,PID500060,RIDWAEverett,11,8096.9,5574.81,4338.63
DRG207,PID500014,RIDWAEverett,22,143974.36,41778.18,35408.86
DRG208,PID500014,RIDWAEverett,81,67075.23,18816,14443.88
DRG238,PID500014,RIDWAEverett,33,99064.39,26691.12,19035.9
DRG243,PID500014,RIDWAEverett,18,72508.83,17396.66,16518
DRG244,PID500003,RIDWAEverett,22,37623.59,14220.9,12336.9
DRG244,PID500014,RIDWAEverett,18,53610.55,14152.11,12214.38
DRG246,PID500014,RIDWAEverett,34,96790.32,24006.7,19910.2
DRG247,PID500003,RIDWAEverett,27,55556.74,14376.18,10927.62
DRG247,PID500014,RIDWAEverett,70,71155.58,14517.62,11515.4
DRG249,PID500003,RIDWAEverett,35,46348,12214.77,10791.6
DRG249,PID500014,RIDWAEverett,17,64389.35,12102.41,11048.29
DRG251,PID500003,RIDWAEverett,19,44974.94,12207.15,11196
DRG252,PID500014,RIDWAEverett,21,71550.9,20308.61,19566.14
DRG253,PID500014,RIDWAEverett,27,68991.77,16845.85,14955.4
DRG254,PID500003,RIDWAEverett,13,33928,10960,10183.69
DRG254,PID500014,RIDWAEverett,18,51367.33,13354.38,9414.05
DRG280,PID500003,RIDWAEverett,20,43088.4,12114.25,10979.1
DRG280,PID500014,RIDWAEverett,49,33875.55,12515.18,10759.14
DRG281,PID500003,RIDWAEverett,16,24785.93,7718.5,6613.68
DRG281,PID500014,RIDWAEverett,28,25006.57,7985.39,7106.25
DRG282,PID500003,RIDWAEverett,16,25608.68,5439.68,4386.43
DRG282,PID500014,RIDWAEverett,13,21984.38,6188.23,4050
DRG287,PID500003,RIDWAEverett,39,32444.94,7404.43,6039.05
DRG287,PID500014,RIDWAEverett,36,28023.97,7630.97,6167.58
DRG291,PID500003,RIDWAEverett,37,35595.89,9486.37,9001.18
DRG291,PID500014,RIDWAEverett,132,26877.28,10103.83,8506.91
DRG292,PID500003,RIDWAEverett,44,25424.93,6829.72,6292.36
DRG292,PID500007,RIDWAEverett,17,10671.47,6648.52,5984.52
DRG292,PID500014,RIDWAEverett,85,21023.44,6762.87,6075.62
DRG292,PID500060,RIDWAEverett,18,11950.11,7475.16,6410.5
DRG292,PID500084,RIDWAEverett,15,17186,7677.66,6488.8
DRG293,PID500003,RIDWAEverett,34,22459.58,4649.73,3887.73
DRG293,PID500014,RIDWAEverett,39,16320.02,4772.33,3779.17
DRG293,PID500084,RIDWAEverett,14,13785.28,4952.92,4232.07
DRG300,PID500003,RIDWAEverett,13,19364.3,5899.3,5292.23
DRG300,PID500014,RIDWAEverett,13,17479.84,6422,5379.53
DRG303,PID500007,RIDWAEverett,13,6646.76,3822.38,2959
DRG303,PID500014,RIDWAEverett,11,13486.36,3979,3258.63
DRG308,PID500003,RIDWAEverett,28,37492.25,8891,8089.25
DRG308,PID500014,RIDWAEverett,42,22083.3,9232.92,6872.64
DRG309,PID500003,RIDWAEverett,17,23491.23,5689.41,4827.52
DRG309,PID500007,RIDWAEverett,16,8723.62,5480,4701.75
DRG309,PID500014,RIDWAEverett,50,18350.3,6148.48,4439.92
DRG310,PID500003,RIDWAEverett,32,14406.09,3954.25,2768.96
DRG310,PID500007,RIDWAEverett,21,6112.57,3763,2637.09
DRG310,PID500014,RIDWAEverett,29,12954.75,5040,2524.48
DRG312,PID500003,RIDWAEverett,54,19303.68,4866.33,4033.74
DRG312,PID500007,RIDWAEverett,13,8305.76,4701.76,3661.76
DRG312,PID500014,RIDWAEverett,32,18041.62,5367.81,3861.15
DRG313,PID500003,RIDWAEverett,74,20457.93,3730.97,2861.18
DRG313,PID500007,RIDWAEverett,16,7631.37,3585.31,2600.81
DRG313,PID500014,RIDWAEverett,11,16905.63,3752.9,2935.45
DRG314,PID500003,RIDWAEverett,15,25130.06,12146.86,11769.53
DRG314,PID500014,RIDWAEverett,26,44721.61,11874.65,10808.57
DRG329,PID500014,RIDWAEverett,17,109296.29,36795.88,36004.35
DRG330,PID500003,RIDWAEverett,16,93209.62,17940.81,16962.25
DRG330,PID500014,RIDWAEverett,29,62662.93,16881.48,16028.24
DRG372,PID500014,RIDWAEverett,25,22781,8748.44,7915.88
DRG377,PID500014,RIDWAEverett,30,40440.06,11259.6,10582.5
DRG378,PID500003,RIDWAEverett,54,27317,7467.83,6025.75
DRG378,PID500007,RIDWAEverett,23,14132.82,6625.3,5744.95
DRG378,PID500014,RIDWAEverett,97,20152.26,7080.91,5985.92
DRG379,PID500003,RIDWAEverett,20,17404.45,4791.4,4063.6
DRG389,PID500003,RIDWAEverett,15,14591.6,6339.6,5740.13
DRG389,PID500014,RIDWAEverett,28,17710.57,6377.46,5534.17
DRG390,PID500003,RIDWAEverett,17,14918.23,4248,3456.47
DRG390,PID500014,RIDWAEverett,17,14204.11,4960,2907
DRG391,PID500003,RIDWAEverett,15,25674.33,7836.8,7013.06
DRG391,PID500014,RIDWAEverett,21,32278.95,8583.14,6972.57
DRG392,PID500003,RIDWAEverett,52,20146.76,4865.53,3992.92
DRG392,PID500007,RIDWAEverett,39,10534.64,4726.58,3798.38
DRG392,PID500014,RIDWAEverett,53,18747.56,5391.9,3569.64
DRG394,PID500014,RIDWAEverett,24,18259.16,7907.75,4948.12
DRG418,PID500014,RIDWAEverett,19,42271.73,11723.63,10101
DRG419,PID500014,RIDWAEverett,15,34112.66,9930.13,6247.53
DRG439,PID500014,RIDWAEverett,14,22872.35,8019.14,5589.71
DRG460,PID500003,RIDWAEverett,25,79853.96,26261.24,25230.04
DRG460,PID500014,RIDWAEverett,20,105671.95,28675.3,21565.35
DRG469,PID500014,RIDWAEverett,18,75067.16,23658.05,19578.11
DRG470,PID500003,RIDWAEverett,183,43124.3,14483.14,12391.73
DRG470,PID500007,RIDWAEverett,154,31460.03,13954.59,11906.81
DRG470,PID500014,RIDWAEverett,301,51576.1,15634.83,11909.15
DRG470,PID500060,RIDWAEverett,21,37488.85,16271,15203.57
DRG470,PID500084,RIDWAEverett,29,40473,15420.93,13830.93
DRG480,PID500014,RIDWAEverett,23,73359.56,20169.3,19388.78
DRG481,PID500003,RIDWAEverett,31,47376.12,12553.93,11573.16
DRG481,PID500007,RIDWAEverett,14,27873.92,11862.07,10820.07
DRG481,PID500014,RIDWAEverett,51,51787.21,13001.86,11019.58
DRG482,PID500003,RIDWAEverett,24,38436.2,10332.16,9255.33
DRG491,PID500003,RIDWAEverett,14,29066.85,6725.57,5607.28
DRG491,PID500014,RIDWAEverett,80,30861.35,8818.83,4965.63
DRG536,PID500003,RIDWAEverett,11,17685.27,4851.81,3828.54
DRG536,PID500014,RIDWAEverett,11,19157.18,4907.81,4096.18
DRG552,PID500003,RIDWAEverett,13,22293.38,5566.07,4344.3
DRG552,PID500007,RIDWAEverett,22,12339.68,5384.68,4520.13
DRG552,PID500014,RIDWAEverett,13,17960.38,5481.92,4531.46
DRG602,PID500014,RIDWAEverett,15,22522.06,9496.73,8595.4
DRG603,PID500003,RIDWAEverett,51,21636.74,5655.66,4588.78
DRG603,PID500007,RIDWAEverett,15,8487.53,5417.93,4516.6
DRG603,PID500014,RIDWAEverett,74,18305.32,5931,4658.36
DRG603,PID500060,RIDWAEverett,16,13207.87,6479,5498.5
DRG638,PID500014,RIDWAEverett,30,16799.4,5652.73,4724.83
DRG640,PID500003,RIDWAEverett,12,26155.33,7627.08,6966.75
DRG640,PID500014,RIDWAEverett,42,23096.38,8495.14,6810.5
DRG641,PID500003,RIDWAEverett,28,21300.17,5129.64,3840.89
DRG641,PID500007,RIDWAEverett,20,8505.55,4472.35,3852.95
DRG641,PID500014,RIDWAEverett,44,17058.45,5084.06,3545.54
DRG682,PID500003,RIDWAEverett,16,40196.43,10763,10271.81
DRG682,PID500014,RIDWAEverett,90,29722.45,10795.86,9712.34
DRG683,PID500003,RIDWAEverett,31,26628.7,6892.74,6232.77
DRG683,PID500014,RIDWAEverett,102,21347.35,7199.6,5886.74
DRG683,PID500084,RIDWAEverett,12,13047.41,7344,6500.33
DRG684,PID500003,RIDWAEverett,12,22665.75,4468.41,3630.08
DRG684,PID500014,RIDWAEverett,22,13609.81,5097.09,3269.45
DRG689,PID500003,RIDWAEverett,19,26021.63,9031.47,7130.21
DRG689,PID500014,RIDWAEverett,36,21018.3,8653.33,6069.83
DRG690,PID500003,RIDWAEverett,60,20409.16,5301.9,4253.38
DRG690,PID500007,RIDWAEverett,16,10513.56,5160.5,4248.75
DRG690,PID500014,RIDWAEverett,57,18514.17,5206.78,4319.28
DRG690,PID500060,RIDWAEverett,25,10827.56,5895.92,5219.28
DRG690,PID500084,RIDWAEverett,19,13298.15,5735.84,5029.31
DRG698,PID500014,RIDWAEverett,58,28863.56,10025.56,9389.96
DRG699,PID500014,RIDWAEverett,21,20573.19,9600.42,5523.19
DRG811,PID500014,RIDWAEverett,19,17819.05,8561.52,7967.42
DRG812,PID500003,RIDWAEverett,25,21270.72,5398.12,4770.6
DRG812,PID500007,RIDWAEverett,21,8961.76,5278.9,4252.47
DRG812,PID500014,RIDWAEverett,36,22300.36,5430.77,4648.22
DRG853,PID500014,RIDWAEverett,47,135901.06,41546.76,38300.61
DRG870,PID500014,RIDWAEverett,27,147581.33,41348.14,40806.7
DRG871,PID500003,RIDWAEverett,65,41058.38,13159.55,11468.16
DRG871,PID500007,RIDWAEverett,53,16419.35,11479.98,10591.13
DRG871,PID500014,RIDWAEverett,434,37866.93,13314.46,11520.55
DRG872,PID500003,RIDWAEverett,29,27102.62,7683.48,6766.68
DRG872,PID500007,RIDWAEverett,30,11829.56,7380.26,6784
DRG872,PID500014,RIDWAEverett,161,22324.45,7994.49,6439.41
DRG872,PID500084,RIDWAEverett,12,12325.58,7818.08,7066.08
DRG885,PID500003,RIDWAEverett,109,17499.33,6286.77,5167.11
DRG897,PID500003,RIDWAEverett,15,17235.73,4419.66,3744.73
DRG897,PID500014,RIDWAEverett,105,12768.24,4481.8,3595.34
DRG917,PID500014,RIDWAEverett,37,45134,12665.45,9155.21
DRG918,PID500003,RIDWAEverett,22,25435.36,5084.4,3512
DRG918,PID500014,RIDWAEverett,22,16684.81,4482.81,3163.95
DRG948,PID500003,RIDWAEverett,23,24134.04,4605.34,3871.26
DRG948,PID500014,RIDWAEverett,18,18773.61,4618.16,3811.27
