drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID500024,RIDWAOlympia,22,35711.18,7182.72,5452.63
DRG039,PID500139,RIDWAOlympia,29,37158.68,6510.62,5545.79
DRG064,PID500019,RIDWAOlympia,13,33583.92,12475.92,11704.53
DRG064,PID500024,RIDWAOlympia,45,33602.82,11709.44,10684.46
DRG065,PID500019,RIDWAOlympia,38,23982.34,8120.15,6689.36
DRG065,PID500024,RIDWAOlympia,84,27089.88,7495.41,6417.83
DRG066,PID500019,RIDWAOlympia,11,22684.45,5723.18,4799.9
DRG066,PID500024,RIDWAOlympia,40,24895.22,5493.8,4286.02
DRG069,PID500019,RIDWAOlympia,22,17946.09,5534.31,4027.4
DRG069,PID500024,RIDWAOlympia,32,17388.93,5120.65,3647.68
DRG074,PID500024,RIDWAOlympia,13,27973.69,5716.23,5022.07
DRG101,PID500019,RIDWAOlympia,12,21959.33,5432,4585.66
DRG101,PID500024,RIDWAOlympia,19,19571.89,5453.42,3533.73
DRG176,PID500024,RIDWAOlympia,22,29758.27,7573.54,5840.04
DRG177,PID500019,RIDWAOlympia,38,44680.71,13594.92,12919.02
DRG177,PID500024,RIDWAOlympia,65,53309.66,12960.49,12012.32
DRG178,PID500019,RIDWAOlympia,12,33170.33,10026.5,9091.16
DRG178,PID500024,RIDWAOlympia,22,39535.9,9319.95,8706.86
DRG189,PID500019,RIDWAOlympia,102,30593.09,9372.44,8285.61
DRG189,PID500024,RIDWAOlympia,165,36566.53,9186.08,7423.66
DRG189,PID500139,RIDWAOlympia,13,32883.46,10059,6686.15
DRG190,PID500019,RIDWAOlympia,20,29781.9,8250.45,7461.25
DRG190,PID500024,RIDWAOlympia,61,31009.4,8149.01,6860.85
DRG190,PID500139,RIDWAOlympia,14,16083.64,7318.07,6435.5
DRG191,PID500019,RIDWAOlympia,32,23191.06,7140.56,5910.5
DRG191,PID500024,RIDWAOlympia,26,23521.23,6269.96,5405.34
DRG191,PID500139,RIDWAOlympia,19,19131.68,6218.78,5691
DRG192,PID500019,RIDWAOlympia,19,17042.05,5147,4319.63
DRG192,PID500024,RIDWAOlympia,25,23159.2,5170.04,3806.4
DRG192,PID500139,RIDWAOlympia,13,16470.92,4692.23,3380.3
DRG193,PID500019,RIDWAOlympia,24,29465.58,10314.41,9168.45
DRG193,PID500024,RIDWAOlympia,87,37278.75,9660.44,8388.04
DRG194,PID500019,RIDWAOlympia,29,22007.51,7976.89,6024.82
DRG194,PID500024,RIDWAOlympia,71,24463.14,7310.78,5202.25
DRG194,PID500139,RIDWAOlympia,30,17889.4,6451.63,5589.1
DRG195,PID500024,RIDWAOlympia,25,18899.24,4942.64,3372.6
DRG195,PID500139,RIDWAOlympia,14,13269.71,4368.57,3094.35
DRG202,PID500024,RIDWAOlympia,15,22703.4,5906.66,4341.8
DRG207,PID500024,RIDWAOlympia,21,162714.52,42749,28644
DRG208,PID500019,RIDWAOlympia,13,75918.38,17108.23,16334.53
DRG208,PID500024,RIDWAOlympia,69,81095.86,17204.3,13689.53
DRG238,PID500024,RIDWAOlympia,12,97027.33,21392.33,17534.75
DRG238,PID500139,RIDWAOlympia,15,97811.4,19710.26,18737.73
DRG243,PID500024,RIDWAOlympia,27,67720.85,17499.11,16749.18
DRG244,PID500024,RIDWAOlympia,29,50385.58,15253.41,11528.68
DRG246,PID500024,RIDWAOlympia,35,131635.14,21265.8,20369.34
DRG247,PID500024,RIDWAOlympia,155,91302.54,13675.5,11350.55
DRG247,PID500139,RIDWAOlympia,19,68280,14133.42,9700.73
DRG249,PID500024,RIDWAOlympia,60,79807.78,13002.06,10686.46
DRG251,PID500024,RIDWAOlympia,19,76351,21355.15,8543.52
DRG252,PID500024,RIDWAOlympia,20,93483.2,20867.85,18082.25
DRG253,PID500024,RIDWAOlympia,18,73297.38,15908.44,15096.22
DRG253,PID500139,RIDWAOlympia,12,78324.5,15947.33,15014.66
DRG254,PID500024,RIDWAOlympia,28,62088,10901.78,9367.32
DRG280,PID500019,RIDWAOlympia,13,27607.69,10499.76,9892.69
DRG280,PID500024,RIDWAOlympia,51,42872.15,11514.64,10283.62
DRG281,PID500024,RIDWAOlympia,23,35426.65,7936.26,6548.65
DRG282,PID500024,RIDWAOlympia,21,29437.28,6180.57,4055.28
DRG287,PID500024,RIDWAOlympia,90,32539.48,7496.52,5915.41
DRG291,PID500019,RIDWAOlympia,59,34797.61,10869.33,9472.13
DRG291,PID500024,RIDWAOlympia,151,38719.43,9927.09,8645.37
DRG292,PID500019,RIDWAOlympia,59,26158.79,7689.79,6247.81
DRG292,PID500024,RIDWAOlympia,100,27671.95,7387.11,5811.82
DRG292,PID500139,RIDWAOlympia,27,23790.11,6333.96,5500.18
DRG293,PID500019,RIDWAOlympia,28,19214,4841.89,4037.89
DRG293,PID500024,RIDWAOlympia,19,20787.84,6065.78,3330.68
DRG293,PID500139,RIDWAOlympia,15,23547.46,4375,3549.13
DRG300,PID500024,RIDWAOlympia,13,31685.76,7086.69,5285.23
DRG303,PID500024,RIDWAOlympia,15,21209.06,3881.2,3137.2
DRG305,PID500024,RIDWAOlympia,12,19725.16,4019.25,2897.91
DRG308,PID500019,RIDWAOlympia,12,28502,8797,8045
DRG308,PID500024,RIDWAOlympia,36,41944.63,8338.77,7524.75
DRG309,PID500019,RIDWAOlympia,32,22427.62,5813.81,4932.43
DRG309,PID500024,RIDWAOlympia,47,20226.95,5647.4,4435.38
DRG309,PID500139,RIDWAOlympia,16,22326,5352,4503
DRG310,PID500019,RIDWAOlympia,32,17929.37,4136.84,3128.46
DRG310,PID500024,RIDWAOlympia,46,14483.58,3761.26,2660.13
DRG310,PID500139,RIDWAOlympia,14,11577.07,3812.57,2423.42
DRG312,PID500019,RIDWAOlympia,45,19782.93,5096.26,4220.8
DRG312,PID500024,RIDWAOlympia,65,21256.67,4931.78,3672.76
DRG313,PID500019,RIDWAOlympia,23,22266.82,3920,3039.65
DRG313,PID500024,RIDWAOlympia,44,19460.95,4065.13,2667.95
DRG313,PID500139,RIDWAOlympia,18,12722.77,3586.11,2509.38
DRG314,PID500024,RIDWAOlympia,59,43477.05,13238.42,10450.49
DRG315,PID500024,RIDWAOlympia,12,30880.83,7206.66,4560.16
DRG329,PID500019,RIDWAOlympia,20,136289.45,40708.1,39862.35
DRG329,PID500024,RIDWAOlympia,25,157719.92,36261.52,35498.16
DRG330,PID500019,RIDWAOlympia,25,86133.48,22056.16,19514.44
DRG330,PID500024,RIDWAOlympia,43,63752.04,18304.72,14741.9
DRG330,PID500139,RIDWAOlympia,19,111411.94,22113.52,19961.47
DRG372,PID500024,RIDWAOlympia,16,33441.37,8505.25,7998.31
DRG377,PID500024,RIDWAOlympia,46,58748.1,20232.08,10142.08
DRG378,PID500019,RIDWAOlympia,36,27134.36,7145.05,6397.5
DRG378,PID500024,RIDWAOlympia,89,28239.03,7135.05,5810.79
DRG378,PID500139,RIDWAOlympia,18,24898.5,6410.16,5542.16
DRG379,PID500019,RIDWAOlympia,15,17216.33,5095,4120.33
DRG379,PID500024,RIDWAOlympia,19,16884.73,4614.68,3668.15
DRG389,PID500019,RIDWAOlympia,22,21859.5,6662,5794.54
DRG389,PID500024,RIDWAOlympia,24,21634.75,6602.91,5177.75
DRG390,PID500019,RIDWAOlympia,11,17455.81,4436.72,3613.45
DRG390,PID500024,RIDWAOlympia,24,16679.75,4200.33,3309.5
DRG390,PID500139,RIDWAOlympia,13,16297.3,4066.15,3202.76
DRG391,PID500019,RIDWAOlympia,13,35215.61,9469.07,7129.53
DRG391,PID500024,RIDWAOlympia,49,30424,7637.77,7004.75
DRG392,PID500019,RIDWAOlympia,53,19382.79,5786.58,4022.69
DRG392,PID500024,RIDWAOlympia,101,21008.18,5403.2,3663.55
DRG392,PID500139,RIDWAOlympia,17,16241,5072.52,3590.35
DRG394,PID500024,RIDWAOlympia,24,19894.25,6587.2,5472.58
DRG418,PID500019,RIDWAOlympia,12,54697.58,12035.83,11105.83
DRG418,PID500024,RIDWAOlympia,19,50271.47,12381.05,9172.94
DRG419,PID500024,RIDWAOlympia,27,36005.74,8072.48,6326.7
DRG460,PID500024,RIDWAOlympia,49,153548.16,27438.79,24279.85
DRG460,PID500139,RIDWAOlympia,88,107867.04,25662.5,22186.8
DRG469,PID500024,RIDWAOlympia,26,94102.23,30045.42,18446.53
DRG470,PID500019,RIDWAOlympia,125,68524.44,15812.52,13582.77
DRG470,PID500024,RIDWAOlympia,365,60934.13,14972.47,11370.04
DRG470,PID500139,RIDWAOlympia,130,60191.13,13953.32,11541.21
DRG473,PID500024,RIDWAOlympia,38,67649.36,16908.84,10464.76
DRG473,PID500139,RIDWAOlympia,14,57477.85,14342.71,9532.5
DRG480,PID500019,RIDWAOlympia,11,67266.81,20572,19548.72
DRG480,PID500024,RIDWAOlympia,17,69518.41,17650.58,16663.05
DRG481,PID500019,RIDWAOlympia,25,55481.16,13426.12,11499.8
DRG481,PID500024,RIDWAOlympia,53,63486.07,14555.67,10442.56
DRG491,PID500024,RIDWAOlympia,95,41651.53,7391.88,5095.2
DRG536,PID500024,RIDWAOlympia,23,18796.95,5263.08,3434.78
DRG552,PID500019,RIDWAOlympia,18,21148.72,5950.05,4633.5
DRG552,PID500024,RIDWAOlympia,30,21065.2,5276.03,4382.03
DRG563,PID500024,RIDWAOlympia,11,23379.27,6953.63,3307.72
DRG602,PID500024,RIDWAOlympia,24,39718.87,9564.5,8813.83
DRG603,PID500019,RIDWAOlympia,30,21413,6331.23,4951.33
DRG603,PID500024,RIDWAOlympia,71,23246.3,5608.77,4555.42
DRG603,PID500139,RIDWAOlympia,15,16908.2,5350.93,4378.4
DRG638,PID500024,RIDWAOlympia,18,20949.55,5654.72,4477.66
DRG640,PID500019,RIDWAOlympia,12,24416.66,8127,7474.66
DRG640,PID500024,RIDWAOlympia,46,29977.39,8260.3,6175.21
