drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID500005,RIDWASeattle,18,16989.61,8133.77,6392.94
DRG039,PID500025,RIDWASeattle,22,31339.68,6977.45,6261.45
DRG039,PID500027,RIDWASeattle,19,33870.47,8902.84,6056.15
DRG039,PID500030,RIDWASeattle,24,22794.33,7639.87,5496.95
DRG039,PID500039,RIDWASeattle,68,36202.82,7591.5,5523.97
DRG039,PID500051,RIDWASeattle,35,24376.68,6476,4808.51
DRG039,PID500088,RIDWASeattle,24,64970.25,9287.12,7399.54
DRG039,PID500124,RIDWASeattle,18,16016.44,6577.5,5581.94
DRG039,PID500141,RIDWASeattle,23,46271.82,8308.95,5394.17
DRG057,PID500001,RIDWASeattle,12,22727.41,5777.91,5025.91
DRG057,PID500025,RIDWASeattle,12,25762.91,6162.83,5487.58
DRG057,PID500030,RIDWASeattle,12,18488.91,6050.91,5118.25
DRG057,PID500064,RIDWASeattle,14,17115.92,9183.57,8379.57
DRG057,PID500088,RIDWASeattle,21,19840.38,7158.19,5989.09
DRG064,PID500001,RIDWASeattle,46,39993.1,11848.78,10509.28
DRG064,PID500005,RIDWASeattle,14,20770.21,14022,13063.14
DRG064,PID500008,RIDWASeattle,11,42946.18,21010.81,19984.63
DRG064,PID500011,RIDWASeattle,15,51602.2,13852.53,13108.53
DRG064,PID500015,RIDWASeattle,13,31300.92,12153.23,11159.23
DRG064,PID500025,RIDWASeattle,101,61456.05,12939.76,11813.09
DRG064,PID500026,RIDWASeattle,24,41511.12,12035.37,11376.37
DRG064,PID500030,RIDWASeattle,30,32839,12839.5,11941.33
DRG064,PID500031,RIDWASeattle,18,25197.66,11335.72,10331.27
DRG064,PID500039,RIDWASeattle,20,32367.75,12070.7,11224.9
DRG064,PID500051,RIDWASeattle,33,33949.21,11457.27,10174.27
DRG064,PID500064,RIDWASeattle,96,56460.11,21363.6,20118.82
DRG064,PID500072,RIDWASeattle,14,20462.78,11115.57,10390.14
DRG064,PID500088,RIDWASeattle,31,34575.25,14140.51,12554.93
DRG064,PID500124,RIDWASeattle,31,42072.19,13088.12,12256.48
DRG065,PID500001,RIDWASeattle,58,31093.44,7264.55,6297.51
DRG065,PID500005,RIDWASeattle,30,21636.13,9922.33,9101.76
DRG065,PID500011,RIDWASeattle,32,24715.06,7871.34,6191.15
DRG065,PID500015,RIDWASeattle,31,27225.03,7817.45,6874.22
DRG065,PID500025,RIDWASeattle,139,37913.61,8059.94,6662.7
DRG065,PID500026,RIDWASeattle,35,28875.71,7420.65,6332.68
DRG065,PID500030,RIDWASeattle,62,21956.3,7719.35,6311.61
DRG065,PID500031,RIDWASeattle,35,20059.17,8078.45,6379.71
DRG065,PID500039,RIDWASeattle,68,28071.38,8375.52,6550.41
DRG065,PID500051,RIDWASeattle,80,26222.33,6944.58,5881.52
DRG065,PID500064,RIDWASeattle,66,40721.71,14440.13,11679.43
DRG065,PID500072,RIDWASeattle,46,11023.8,7395.23,6467.76
DRG065,PID500088,RIDWASeattle,65,22850.12,8896.03,7622.4
DRG065,PID500124,RIDWASeattle,57,26531.91,7325.92,6243.01
DRG065,PID500141,RIDWASeattle,32,39751.4,8575.53,6680.03
DRG066,PID500001,RIDWASeattle,31,24822.48,5396.03,3763.96
DRG066,PID500005,RIDWASeattle,18,12944.83,6681.5,5211.55
DRG066,PID500011,RIDWASeattle,15,19150.33,5488.6,4662.73
DRG066,PID500015,RIDWASeattle,18,23730.61,5641.55,4642.44
DRG066,PID500025,RIDWASeattle,101,29987.77,5720.48,4519.44
DRG066,PID500026,RIDWASeattle,27,26488.74,5695.88,4336.74
DRG066,PID500030,RIDWASeattle,53,20739.98,5642.62,4562.58
DRG066,PID500031,RIDWASeattle,27,16252.92,5426,4468.81
DRG066,PID500039,RIDWASeattle,36,21711.47,5324.19,4229.86
DRG066,PID500051,RIDWASeattle,48,20303.58,4903.29,3848.7
DRG066,PID500064,RIDWASeattle,38,27231.1,8344.76,7102.26
DRG066,PID500072,RIDWASeattle,28,8669.03,5592.57,3916.17
DRG066,PID500088,RIDWASeattle,59,16765.1,6248.23,5066.05
DRG066,PID500124,RIDWASeattle,33,22688.33,5440.24,3946.3
DRG066,PID500141,RIDWASeattle,21,30114.9,7026.09,4274.04
DRG069,PID500001,RIDWASeattle,16,31170.37,4590.37,3814.12
DRG069,PID500011,RIDWASeattle,21,16905.76,4896.28,4041.42
DRG069,PID500015,RIDWASeattle,40,18791.45,5104.4,4206.8
DRG069,PID500025,RIDWASeattle,37,24160.08,5001.94,4066.48
DRG069,PID500026,RIDWASeattle,12,23994.41,5013,4077.66
DRG069,PID500030,RIDWASeattle,36,13928.16,5000.5,4190.05
DRG069,PID500031,RIDWASeattle,21,13051.85,5122.66,3669.71
DRG069,PID500039,RIDWASeattle,40,19875.77,5238.42,3818.9
DRG069,PID500051,RIDWASeattle,44,16295.79,4536.61,3282.18
DRG069,PID500064,RIDWASeattle,17,18530.41,7044.47,6058.82
DRG069,PID500072,RIDWASeattle,25,6563.6,4781.76,3641.6
DRG069,PID500088,RIDWASeattle,74,15986.87,5544.05,4524.62
DRG069,PID500124,RIDWASeattle,46,19341.84,4978.8,3439.63
DRG069,PID500141,RIDWASeattle,27,27659.55,5182.81,3913.7
DRG074,PID500005,RIDWASeattle,11,16152.27,7673.18,6955.72
DRG074,PID500027,RIDWASeattle,11,37474.72,6406.81,5617.27
DRG074,PID500039,RIDWASeattle,20,20797.4,5523.05,5046.75
DRG074,PID500051,RIDWASeattle,11,16551.27,5261.81,4238.54
