drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID500012,RIDWAYakima,13,32560.61,7026.46,5589.46
DRG039,PID500036,RIDWAYakima,13,16229.61,7502.61,5757.69
DRG064,PID500012,RIDWAYakima,12,41847.08,11759.25,9586.91
DRG064,PID500036,RIDWAYakima,32,22678.12,11938.78,11060.4
DRG065,PID500012,RIDWAYakima,20,25224.4,7422.25,6319.15
DRG065,PID500036,RIDWAYakima,55,15521.94,7987,6685.4
DRG066,PID500012,RIDWAYakima,23,15123.34,5231.34,4110.43
DRG066,PID500036,RIDWAYakima,37,13356.02,5731,4792.08
DRG069,PID500012,RIDWAYakima,38,12392.6,4837.63,3646.76
DRG069,PID500036,RIDWAYakima,46,12013.73,5258.21,4087.36
DRG101,PID500012,RIDWAYakima,15,16246.4,4839.66,4395.4
DRG101,PID500036,RIDWAYakima,12,10308.83,5321.5,4289.16
DRG176,PID500036,RIDWAYakima,22,19031.81,7826.45,6316.68
DRG177,PID500036,RIDWAYakima,25,24371.4,14255.28,13578.64
DRG178,PID500036,RIDWAYakima,35,19986,9881.34,9237.22
DRG189,PID500012,RIDWAYakima,15,34805.6,8325.2,7730
DRG189,PID500036,RIDWAYakima,55,19258.5,8990.14,8129.69
DRG190,PID500012,RIDWAYakima,35,29165.54,7776.62,6938.42
DRG190,PID500036,RIDWAYakima,60,15128.85,8345.9,7208.26
DRG191,PID500012,RIDWAYakima,53,16949.09,6763.03,4982.43
DRG191,PID500036,RIDWAYakima,59,13286.62,7059.5,5567.05
DRG192,PID500012,RIDWAYakima,48,14661.72,4855.06,3602.62
DRG192,PID500036,RIDWAYakima,69,10051.08,5081.85,4111.91
DRG193,PID500012,RIDWAYakima,28,24085.25,9584.78,8905.5
DRG193,PID500036,RIDWAYakima,63,24787.61,10317.04,9532.03
DRG194,PID500012,RIDWAYakima,40,26385.77,6449.22,5693.12
DRG194,PID500036,RIDWAYakima,113,15415.84,7123.61,6029.41
DRG194,PID500037,RIDWAYakima,14,22782.28,8752,5972
DRG195,PID500012,RIDWAYakima,24,12896.08,4783.25,3667.16
DRG195,PID500036,RIDWAYakima,54,12350.88,4999.2,3843.16
DRG195,PID500037,RIDWAYakima,11,13188.9,5174.27,4056.81
DRG202,PID500012,RIDWAYakima,12,14946.08,5471.5,4447.16
DRG202,PID500036,RIDWAYakima,28,11585.35,5924.78,4586.1
DRG203,PID500036,RIDWAYakima,15,9559.86,4255.06,3131.6
DRG208,PID500012,RIDWAYakima,13,48179.23,15607.61,11758.69
DRG208,PID500036,RIDWAYakima,18,29188.61,16509.72,14234.66
DRG238,PID500012,RIDWAYakima,23,124730.6,23091.69,22113
DRG238,PID500036,RIDWAYakima,15,69513.2,26709.86,20478.46
DRG243,PID500012,RIDWAYakima,18,67962.77,17182,16244
DRG243,PID500036,RIDWAYakima,24,42326.87,18409.58,17520.08
DRG244,PID500012,RIDWAYakima,16,70447.31,14196.18,13217.68
DRG244,PID500036,RIDWAYakima,27,38491.7,14561.48,12639.7
DRG246,PID500012,RIDWAYakima,38,142254.81,25101.39,23361.21
DRG247,PID500012,RIDWAYakima,85,95606.29,18120.34,11482.68
DRG247,PID500036,RIDWAYakima,45,53633.82,17105.35,11985.4
DRG252,PID500012,RIDWAYakima,15,81068.73,24465.8,17614.73
DRG253,PID500012,RIDWAYakima,22,78775.27,16201.63,13872.31
DRG253,PID500036,RIDWAYakima,20,52945.9,17271.65,16482.35
DRG254,PID500012,RIDWAYakima,44,59329.11,11278.09,9213.47
DRG254,PID500036,RIDWAYakima,14,43458.35,11213.14,10168.85
DRG280,PID500012,RIDWAYakima,30,23034.1,11718.76,11158.1
DRG280,PID500036,RIDWAYakima,32,22838.87,12242.87,10935.96
DRG281,PID500012,RIDWAYakima,20,22829.8,7636.65,6844.25
DRG281,PID500036,RIDWAYakima,37,19870.13,8024.18,7142.13
DRG282,PID500036,RIDWAYakima,28,15576.46,5876.75,4578.64
DRG287,PID500012,RIDWAYakima,74,24423.02,7430.24,5704.78
DRG287,PID500036,RIDWAYakima,54,22971.7,7969.16,6695.68
DRG291,PID500012,RIDWAYakima,39,24450.25,9293.07,8276.38
DRG291,PID500036,RIDWAYakima,61,23430.77,10360.9,9215.62
DRG292,PID500012,RIDWAYakima,72,17625,6666.12,5695.3
DRG292,PID500036,RIDWAYakima,107,16271.96,7343.69,6514.55
DRG292,PID500037,RIDWAYakima,14,17329.42,7787,6904.42
DRG293,PID500012,RIDWAYakima,40,12161.35,4425.8,3776.5
DRG293,PID500036,RIDWAYakima,43,10413.2,4768.6,3970.88
DRG300,PID500036,RIDWAYakima,15,19472.6,7357.4,6454
DRG303,PID500012,RIDWAYakima,11,9156.36,3796.18,2984.54
DRG303,PID500036,RIDWAYakima,14,7686.85,4203.78,2971.42
DRG305,PID500036,RIDWAYakima,12,9905.41,4301.58,3366.25
DRG308,PID500012,RIDWAYakima,21,21216.19,7996.52,7192.52
DRG308,PID500036,RIDWAYakima,34,20221.23,8845.82,7584.26
DRG309,PID500012,RIDWAYakima,48,12735.95,5663.12,4501.75
DRG309,PID500036,RIDWAYakima,69,13270.01,5909.04,4961.91
DRG310,PID500012,RIDWAYakima,55,9455.54,3731.49,2684.36
DRG310,PID500036,RIDWAYakima,60,9910.16,4271.51,2854.85
DRG312,PID500012,RIDWAYakima,48,13837.7,4640.37,3657.87
DRG312,PID500036,RIDWAYakima,57,10290.94,5025.14,4085.56
DRG313,PID500012,RIDWAYakima,66,9185.54,3623.04,2615.89
DRG313,PID500036,RIDWAYakima,95,7440.47,3884.56,2786.16
DRG314,PID500012,RIDWAYakima,14,45320,13172.85,12692.28
DRG315,PID500012,RIDWAYakima,11,16021.18,6304.09,5792.45
DRG329,PID500036,RIDWAYakima,15,61417.33,35937.2,35186.8
DRG330,PID500036,RIDWAYakima,23,37646.86,18082.82,17153.26
DRG372,PID500036,RIDWAYakima,16,17211.12,8824.56,8071.5
DRG377,PID500036,RIDWAYakima,24,29544.2,11445.75,10882.41
DRG378,PID500012,RIDWAYakima,27,20294.48,6652.66,6068.07
DRG378,PID500036,RIDWAYakima,87,17698.34,7397.48,6100.06
DRG379,PID500036,RIDWAYakima,24,10590,4946.62,4013.95
DRG389,PID500012,RIDWAYakima,18,21181.83,6062.66,5189.33
DRG389,PID500036,RIDWAYakima,38,12989.07,6513.89,5545.47
DRG390,PID500012,RIDWAYakima,14,16230.07,4103.57,2971.57
DRG390,PID500036,RIDWAYakima,33,10663.45,4671.9,3405.27
DRG391,PID500012,RIDWAYakima,16,37944.06,8525.68,7195.93
DRG391,PID500036,RIDWAYakima,20,18161.55,8088.15,7130.75
DRG392,PID500012,RIDWAYakima,72,15733.16,4739.44,3801.36
DRG392,PID500036,RIDWAYakima,107,12092.06,5029.04,4139.31
DRG392,PID500037,RIDWAYakima,22,14353.86,5351.59,4739.95
DRG394,PID500012,RIDWAYakima,12,21207.25,6529.66,5215.25
DRG394,PID500036,RIDWAYakima,38,20104.13,8407.31,7243.07
DRG439,PID500036,RIDWAYakima,16,16400.75,7036.62,5155.68
DRG460,PID500012,RIDWAYakima,37,127812.27,33277.1,20272.51
DRG460,PID500036,RIDWAYakima,27,70792.03,27015.62,24825.7
DRG469,PID500036,RIDWAYakima,19,44496,21318.05,20312
DRG470,PID500012,RIDWAYakima,65,76546.5,14481.86,12093.55
DRG470,PID500036,RIDWAYakima,300,31819.1,15379.46,12662.42
DRG473,PID500012,RIDWAYakima,22,89930.77,14410.27,13006.09
DRG480,PID500036,RIDWAYakima,18,42574.72,21058.72,20127.83
DRG481,PID500036,RIDWAYakima,47,29262.29,12929.68,11878.78
DRG482,PID500036,RIDWAYakima,23,22538.91,10465.3,9348.6
DRG491,PID500012,RIDWAYakima,31,28102.8,6583.64,5012.58
DRG491,PID500036,RIDWAYakima,19,18886.42,7278.42,5204.52
DRG536,PID500036,RIDWAYakima,23,10945.6,4958.52,4127.39
DRG552,PID500036,RIDWAYakima,26,12791.65,5670.23,4332.69
DRG563,PID500036,RIDWAYakima,12,13236.5,5710.41,3836.33
DRG602,PID500036,RIDWAYakima,16,19377.18,9953.93,8455.5
DRG603,PID500012,RIDWAYakima,31,20350.7,5468.25,4258.38
DRG603,PID500036,RIDWAYakima,70,11318.51,6400.84,4799.62
DRG603,PID500037,RIDWAYakima,13,15467.38,6332,5287.07
DRG638,PID500012,RIDWAYakima,16,14921.93,5457.37,4599.56
DRG638,PID500036,RIDWAYakima,20,14515.5,5880.75,4802.8
DRG640,PID500012,RIDWAYakima,30,18443.3,7201.73,6438.4
DRG640,PID500036,RIDWAYakima,16,14795.25,7890.06,7115.81
DRG641,PID500012,RIDWAYakima,38,12577.92,4590.15,3381.68
DRG641,PID500036,RIDWAYakima,65,11170.67,4831.63,4008.58
DRG682,PID500012,RIDWAYakima,30,35317,11051.36,10565.1
DRG682,PID500036,RIDWAYakima,38,22936.26,11451.92,10741.15
DRG683,PID500012,RIDWAYakima,34,19099.88,6747.64,5937.32
DRG683,PID500036,RIDWAYakima,67,14318.16,7256.44,6383.61
DRG684,PID500036,RIDWAYakima,18,7926.33,4770.72,3310.11
DRG689,PID500012,RIDWAYakima,12,16921.33,7855.33,6692.33
DRG689,PID500036,RIDWAYakima,46,14606.86,8126.08,7278.95
DRG690,PID500012,RIDWAYakima,61,15598.6,5003,4084.01
DRG690,PID500036,RIDWAYakima,107,10764.59,5449.68,4524.93
DRG690,PID500037,RIDWAYakima,15,12761.46,5879.66,4992.8
DRG698,PID500036,RIDWAYakima,13,17017.38,9709.3,8753.92
DRG699,PID500036,RIDWAYakima,13,16434.53,7018.46,6152.61
DRG811,PID500012,RIDWAYakima,14,24366.85,9474,7566.92
DRG812,PID500012,RIDWAYakima,26,14841.23,5700.03,3908.84
DRG812,PID500036,RIDWAYakima,46,10539.95,5554.95,4872.17
DRG871,PID500012,RIDWAYakima,36,40157.11,12408.8,11100.02
DRG871,PID500036,RIDWAYakima,126,29438.76,13692.52,12093.76
DRG871,PID500037,RIDWAYakima,17,34168.52,13788.64,12080.7
DRG872,PID500036,RIDWAYakima,46,16752,7890.08,6938
DRG872,PID500037,RIDWAYakima,12,22023.58,8322,7475.66
DRG897,PID500012,RIDWAYakima,13,24045.92,4201.23,3683.69
DRG897,PID500036,RIDWAYakima,16,11437.56,5877.25,3305.25
DRG917,PID500036,RIDWAYakima,11,10629.18,10621.36,7872.63
DRG918,PID500012,RIDWAYakima,14,13598.57,4346.71,3103.85
DRG918,PID500036,RIDWAYakima,20,8227.55,4366.85,3634.25
DRG948,PID500012,RIDWAYakima,21,14726.14,4554.57,3629.57
DRG948,PID500036,RIDWAYakima,34,17093.23,5558.08,4701.82
