drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID520160,RIDWIAppleton,11,14993.54,5707.09,4889.63
DRG064,PID520009,RIDWIAppleton,14,21257,10395.07,9431.64
DRG065,PID520009,RIDWIAppleton,16,15937.12,6519.68,5609.93
DRG065,PID520160,RIDWIAppleton,24,10399.5,6019.45,5034.29
DRG101,PID520009,RIDWIAppleton,12,9034.91,4688.91,3498.08
DRG176,PID520160,RIDWIAppleton,14,7530.92,6209.42,4157.5
DRG177,PID520009,RIDWIAppleton,32,20454.75,10887.4,10328.4
DRG177,PID520160,RIDWIAppleton,13,20424.61,10102,9494.92
DRG178,PID520009,RIDWIAppleton,30,16751.16,8584.16,7623.1
DRG178,PID520160,RIDWIAppleton,18,9263.55,7261.11,6328.44
DRG189,PID520160,RIDWIAppleton,45,12619.02,7227.02,6243.4
DRG190,PID520009,RIDWIAppleton,12,13574.41,7590.08,5888
DRG190,PID520160,RIDWIAppleton,18,12007.55,6507,5445.72
DRG191,PID520009,RIDWIAppleton,14,10482.57,5800.14,4915.28
DRG191,PID520160,RIDWIAppleton,17,8044.7,5338.29,4674.29
DRG193,PID520009,RIDWIAppleton,12,14183.58,8468.41,7624.75
DRG193,PID520160,RIDWIAppleton,38,12319.21,7643.65,6520.57
DRG194,PID520009,RIDWIAppleton,13,10277.61,7128.15,4334.61
DRG194,PID520160,RIDWIAppleton,79,7900.15,5516.86,4358.58
DRG195,PID520160,RIDWIAppleton,15,5881.66,3985.33,3010.66
DRG208,PID520009,RIDWIAppleton,13,35660.46,13534.46,12758.15
DRG208,PID520160,RIDWIAppleton,14,28749.35,12762.64,12077.64
DRG238,PID520160,RIDWIAppleton,29,45365.75,18509.24,16663.13
DRG243,PID520009,RIDWIAppleton,11,41506.54,20903,13931.36
DRG243,PID520160,RIDWIAppleton,17,26505.94,14657.76,13668.35
DRG244,PID520160,RIDWIAppleton,22,21706.81,11550.5,9982.5
DRG246,PID520160,RIDWIAppleton,15,38353.13,19121.4,18148.86
DRG247,PID520009,RIDWIAppleton,16,42098.18,11792.25,10807.75
DRG247,PID520160,RIDWIAppleton,58,26348.13,11439.75,9945.87
DRG252,PID520160,RIDWIAppleton,16,37796.56,20369.5,19664.12
DRG253,PID520160,RIDWIAppleton,32,28963.34,13879.59,12545.84
DRG254,PID520160,RIDWIAppleton,22,20711.45,9975.86,7012.36
DRG280,PID520009,RIDWIAppleton,12,20494.58,11007.25,10166.25
DRG280,PID520160,RIDWIAppleton,11,13254,9741.9,8612.81
DRG287,PID520160,RIDWIAppleton,28,13567.92,6290.17,5099.32
DRG291,PID520009,RIDWIAppleton,23,17721.04,9175.21,7676.86
DRG291,PID520160,RIDWIAppleton,50,11836.8,8530.02,7153.24
DRG292,PID520009,RIDWIAppleton,27,12231.55,6030.88,5407.92
DRG292,PID520160,RIDWIAppleton,45,9128,5581.37,4754.8
DRG293,PID520009,RIDWIAppleton,11,9286.9,4089.9,3269.54
DRG293,PID520160,RIDWIAppleton,22,6969.13,3767.95,3101.95
DRG308,PID520009,RIDWIAppleton,16,14198.81,7483.56,6148.81
DRG308,PID520160,RIDWIAppleton,17,11931.05,6962.11,6499.76
DRG309,PID520009,RIDWIAppleton,14,11031.42,5322.71,4078.92
DRG309,PID520160,RIDWIAppleton,31,6630.19,4922.48,3668.22
