drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID520049,RIDWIGreenBay,29,17947.82,5710.1,4741.96
DRG039,PID520075,RIDWIGreenBay,31,23181.19,6993.51,4860.22
DRG039,PID520107,RIDWIGreenBay,13,28618.38,5930,4807.84
DRG039,PID520193,RIDWIGreenBay,19,24061.26,6128.15,5297.42
DRG057,PID230055,RIDWIGreenBay,17,10957.88,5417.7,4361.7
DRG057,PID520049,RIDWIGreenBay,11,13707.54,5083.27,4365.81
DRG064,PID230055,RIDWIGreenBay,11,17216,10187.54,9473
DRG064,PID520049,RIDWIGreenBay,18,23201.94,9866.05,8592.22
DRG064,PID520075,RIDWIGreenBay,31,22164.32,10664.67,9156.7
DRG064,PID520193,RIDWIGreenBay,12,43751.25,12178.5,11332.16
DRG065,PID230055,RIDWIGreenBay,16,18536.75,6830,6132.5
DRG065,PID520034,RIDWIGreenBay,17,21883.41,7913.29,6861.05
DRG065,PID520049,RIDWIGreenBay,32,19416.71,5832.59,5093.71
DRG065,PID520075,RIDWIGreenBay,44,17125.88,7071.04,5248.2
DRG065,PID520097,RIDWIGreenBay,16,18321.75,6238.5,5393.5
DRG065,PID520107,RIDWIGreenBay,13,17499.92,6666.92,5977.69
DRG065,PID520113,RIDWIGreenBay,23,13739.69,6364.52,5626.26
DRG065,PID520193,RIDWIGreenBay,36,24587.05,6674.41,5704.08
DRG066,PID230055,RIDWIGreenBay,16,14345.43,4728.37,4093.62
DRG066,PID520034,RIDWIGreenBay,11,13455.81,5728.63,4172.36
DRG066,PID520075,RIDWIGreenBay,17,19398.29,5277.7,3389.35
DRG066,PID520097,RIDWIGreenBay,13,15337.61,4599.15,3561.61
DRG066,PID520113,RIDWIGreenBay,11,15341.63,4806,3776.9
DRG066,PID520193,RIDWIGreenBay,16,18008.87,4846.43,4005.43
DRG069,PID230055,RIDWIGreenBay,16,11614.18,4280,3366.25
DRG069,PID520075,RIDWIGreenBay,11,19449.81,5270.09,2951.09
DRG069,PID520113,RIDWIGreenBay,29,11827.79,4381,3333.68
DRG101,PID520193,RIDWIGreenBay,12,19800.91,4570,3543
DRG176,PID520049,RIDWIGreenBay,26,12946.65,6261.38,4644.07
DRG176,PID520107,RIDWIGreenBay,13,13667.46,5980.46,5199.23
DRG176,PID520113,RIDWIGreenBay,16,16239.25,6562.06,5167.06
DRG177,PID520075,RIDWIGreenBay,19,26503.94,11836.57,11130.05
DRG177,PID520113,RIDWIGreenBay,22,34655.09,11559.5,10689.18
DRG178,PID230055,RIDWIGreenBay,20,19085.25,8586.8,7972.2
DRG178,PID520075,RIDWIGreenBay,13,19216.84,9178.61,7204.84
DRG178,PID520113,RIDWIGreenBay,60,25882.85,8988.03,8050.83
DRG189,PID230055,RIDWIGreenBay,16,28442.93,7498,6861.25
DRG189,PID520049,RIDWIGreenBay,14,15794.21,7182.42,6699.57
DRG189,PID520075,RIDWIGreenBay,23,16875.78,7664,6831.47
DRG189,PID520097,RIDWIGreenBay,44,15388.38,7487.88,6158.97
DRG189,PID520113,RIDWIGreenBay,20,28557.85,7675,7112.2
DRG189,PID520193,RIDWIGreenBay,16,31846.43,8993.18,6486.31
DRG190,PID230055,RIDWIGreenBay,22,21380.5,6691.5,5672.59
DRG190,PID520034,RIDWIGreenBay,17,18420,9286.64,6536.11
DRG190,PID520049,RIDWIGreenBay,19,15949.63,6419.73,5594.05
DRG190,PID520075,RIDWIGreenBay,13,13529.3,7128.76,6437.07
DRG190,PID520097,RIDWIGreenBay,11,13528.18,6419.63,5702.18
DRG190,PID520107,RIDWIGreenBay,16,15744.56,6497.62,5652.62
DRG190,PID520113,RIDWIGreenBay,67,20747.37,7060.82,6253.55
DRG190,PID520193,RIDWIGreenBay,24,23237.79,6859.58,6067.08
DRG191,PID230055,RIDWIGreenBay,21,14345.38,5647.09,4787.66
DRG191,PID520075,RIDWIGreenBay,13,13881,5723.61,5034.38
DRG191,PID520107,RIDWIGreenBay,12,15588.41,7620.83,3512
DRG191,PID520113,RIDWIGreenBay,60,14809.23,5715.81,4967.01
DRG191,PID520193,RIDWIGreenBay,17,16772.41,5776.88,4850.29
DRG192,PID230055,RIDWIGreenBay,17,13906.76,4211.52,3353.41
DRG192,PID520107,RIDWIGreenBay,12,12016.16,4090.41,3060.75
DRG192,PID520113,RIDWIGreenBay,36,12635.38,4283.38,3441.5
DRG193,PID230055,RIDWIGreenBay,21,21886.28,8413.61,7609.61
DRG193,PID520034,RIDWIGreenBay,20,23160.85,10097.9,9197.1
DRG193,PID520049,RIDWIGreenBay,27,15872.85,7689.18,6580.11
DRG193,PID520075,RIDWIGreenBay,28,22468.85,8433.07,6722.71
DRG193,PID520107,RIDWIGreenBay,13,21291.53,8140,7189.53
DRG193,PID520113,RIDWIGreenBay,21,25943.66,8464.66,7662.19
DRG193,PID520193,RIDWIGreenBay,25,30159.76,10329.56,7457.36
DRG194,PID230055,RIDWIGreenBay,41,17500.8,6628.36,4910.95
DRG194,PID520034,RIDWIGreenBay,21,15018.71,7019.71,6161.8
DRG194,PID520049,RIDWIGreenBay,27,11111.25,5559.33,4557.85
DRG194,PID520075,RIDWIGreenBay,21,16297.66,6730.23,4838.04
DRG194,PID520097,RIDWIGreenBay,21,13792,5733.42,4375.38
DRG194,PID520107,RIDWIGreenBay,38,16041.34,5768.07,4999.44
DRG194,PID520113,RIDWIGreenBay,53,16651.71,5887.9,5007.84
DRG194,PID520193,RIDWIGreenBay,18,16507.44,8817.44,4855.55
DRG195,PID230055,RIDWIGreenBay,18,11272.72,4154,3154.88
DRG195,PID520107,RIDWIGreenBay,11,9526.27,4127,3112.45
DRG195,PID520113,RIDWIGreenBay,18,12110.55,4789.94,2994.22
DRG202,PID520113,RIDWIGreenBay,13,12356.46,5891.84,3574.76
DRG208,PID520049,RIDWIGreenBay,14,34534.07,12736.57,12415.42
DRG208,PID520075,RIDWIGreenBay,16,37512.81,13607.37,12432
DRG208,PID520113,RIDWIGreenBay,15,46490.2,14280.2,13680.73
DRG208,PID520193,RIDWIGreenBay,13,50444.23,18498.53,11627.3
DRG238,PID520049,RIDWIGreenBay,15,60472,18747.73,17999.46
DRG238,PID520075,RIDWIGreenBay,17,58858.7,21461.23,15646
DRG243,PID520049,RIDWIGreenBay,20,27684.7,14153.25,13420.65
DRG243,PID520193,RIDWIGreenBay,13,48073,20000.92,12457.23
DRG244,PID520049,RIDWIGreenBay,11,24848.36,11434.81,10311.54
DRG246,PID520049,RIDWIGreenBay,17,49621.29,17815.23,16825.82
DRG246,PID520075,RIDWIGreenBay,15,65872.33,19009.66,17959.53
DRG247,PID520049,RIDWIGreenBay,33,32766.3,11046.42,10158.42
DRG247,PID520075,RIDWIGreenBay,27,50509.4,14379.96,10028.88
DRG247,PID520097,RIDWIGreenBay,16,49152.75,13568.93,9374.06
DRG247,PID520193,RIDWIGreenBay,24,39019.58,14027.29,9872.83
DRG249,PID520049,RIDWIGreenBay,14,34722.14,9944.35,8978.64
DRG249,PID520075,RIDWIGreenBay,12,46235.25,20192.08,7898.91
DRG249,PID520097,RIDWIGreenBay,16,40091.12,11015.93,7864.62
DRG249,PID520193,RIDWIGreenBay,14,39720.92,15590,8558.85
DRG252,PID520075,RIDWIGreenBay,18,59354.33,17797.22,16923.88
DRG253,PID520049,RIDWIGreenBay,25,90344.12,23500.76,19442.88
DRG253,PID520075,RIDWIGreenBay,28,63153.32,14995.67,14111.96
DRG253,PID520193,RIDWIGreenBay,11,65625.45,17235.45,16518.09
DRG254,PID520075,RIDWIGreenBay,14,46609.5,9645,8686.14
DRG280,PID230055,RIDWIGreenBay,14,26054.92,10452.57,9727.14
DRG291,PID520113,RIDWIGreenBay,33,30563.69,10617.36,9996.21
DRG280,PID520034,RIDWIGreenBay,14,18219.07,11085.14,10119.42
DRG280,PID520049,RIDWIGreenBay,27,14124.14,9750.88,8834.44
DRG280,PID520075,RIDWIGreenBay,44,21162.95,10853.11,9934.93
DRG280,PID520097,RIDWIGreenBay,17,20793.52,9935.11,9077
DRG280,PID520113,RIDWIGreenBay,49,30271.63,10371.73,9714.73
DRG280,PID520193,RIDWIGreenBay,14,28435.28,10388.21,9822.21
DRG281,PID230055,RIDWIGreenBay,12,15577.25,6650.33,5809.33
DRG281,PID520034,RIDWIGreenBay,13,15941.23,7932.46,6896.69
DRG281,PID520049,RIDWIGreenBay,28,13043.89,6589.35,5789.92
DRG281,PID520113,RIDWIGreenBay,41,20809.97,6748.14,6007.36
DRG281,PID520193,RIDWIGreenBay,16,23273.18,6884.56,5902.06
DRG282,PID230055,RIDWIGreenBay,11,8148.09,4613.9,3696.45
DRG282,PID520113,RIDWIGreenBay,22,17819.36,4704.09,3941
DRG286,PID520075,RIDWIGreenBay,18,30420.83,11959,11209.66
DRG287,PID520049,RIDWIGreenBay,29,16566.31,6282.24,5039.06
DRG287,PID520075,RIDWIGreenBay,29,19270.44,7114.68,4863.27
DRG287,PID520097,RIDWIGreenBay,22,24243.72,7461.9,4621.45
DRG287,PID520107,RIDWIGreenBay,14,30274.64,6165.21,5361.21
DRG287,PID520113,RIDWIGreenBay,12,27854.75,6519,5678
DRG287,PID520193,RIDWIGreenBay,20,23466.75,6976.5,5470.4
DRG291,PID230055,RIDWIGreenBay,30,19348.9,8250.4,7613.2
DRG291,PID520034,RIDWIGreenBay,13,16750.53,9712.15,9284.15
DRG291,PID520049,RIDWIGreenBay,31,15063.35,7947.09,7219.87
DRG291,PID520075,RIDWIGreenBay,44,15238.75,8598.77,7884.95
DRG291,PID520097,RIDWIGreenBay,34,19874.05,8300.32,7441.26
DRG291,PID520107,RIDWIGreenBay,14,21156.28,8115,7391.85
DRG291,PID520193,RIDWIGreenBay,22,28009.59,8725.9,7905.54
DRG292,PID230055,RIDWIGreenBay,38,14362.18,6851.89,5116.6
DRG292,PID520034,RIDWIGreenBay,24,13864.37,6834.95,6136.79
DRG292,PID520049,RIDWIGreenBay,70,12285.2,6003.87,4859.72
DRG292,PID520075,RIDWIGreenBay,34,12393.23,5884.76,5157
DRG292,PID520097,RIDWIGreenBay,22,13332.77,5633,4646.9
DRG292,PID520107,RIDWIGreenBay,29,14328.13,5890.58,5037.79
DRG292,PID520113,RIDWIGreenBay,86,18285,6216.41,5445.7
DRG292,PID520193,RIDWIGreenBay,29,15038.68,6135.24,5437.03
DRG293,PID230055,RIDWIGreenBay,11,13200.27,4012,3194.54
DRG293,PID520049,RIDWIGreenBay,23,10329.65,3851.65,2923.47
DRG293,PID520075,RIDWIGreenBay,11,8765.54,4091.36,3482.63
DRG293,PID520097,RIDWIGreenBay,18,10957.22,3783.05,2969.05
DRG293,PID520107,RIDWIGreenBay,18,10224.11,3874.88,3066.22
DRG293,PID520113,RIDWIGreenBay,25,12806.96,4106,3118.8
DRG300,PID230055,RIDWIGreenBay,12,11276.16,5511.91,4948.58
DRG303,PID520113,RIDWIGreenBay,35,13196.11,3493,2755.51
DRG305,PID520113,RIDWIGreenBay,11,11652.54,3678,2660.54
DRG308,PID520049,RIDWIGreenBay,12,15248.08,6938.5,6183.83
DRG308,PID520075,RIDWIGreenBay,16,20568.43,7625.43,6366.25
DRG308,PID520107,RIDWIGreenBay,12,18952.08,6899.33,6053
DRG308,PID520113,RIDWIGreenBay,22,20595.13,7009.22,6037.4
DRG309,PID230055,RIDWIGreenBay,13,13198.07,4906.69,3609.38
DRG309,PID520049,RIDWIGreenBay,15,10092.86,5004.8,3578.4
DRG309,PID520075,RIDWIGreenBay,16,15219.56,5011.75,4102
DRG309,PID520097,RIDWIGreenBay,11,13711.9,4563.63,3846.18
DRG309,PID520107,RIDWIGreenBay,18,16907.77,4881.66,4074.77
DRG309,PID520113,RIDWIGreenBay,32,13885.84,5026,4043.5
DRG309,PID520193,RIDWIGreenBay,19,16891.36,5045.78,4160.52
DRG310,PID230055,RIDWIGreenBay,20,11019.65,3334.75,2322.35
DRG310,PID520034,RIDWIGreenBay,12,9575.33,3966.66,3220
DRG310,PID520049,RIDWIGreenBay,17,7497.05,3205.11,2282.29
DRG310,PID520107,RIDWIGreenBay,15,10441.26,4718.33,1971.6
DRG310,PID520113,RIDWIGreenBay,18,12839.05,3582.83,2170.72
DRG310,PID520193,RIDWIGreenBay,15,13062.4,3430.8,2309.46
DRG312,PID230055,RIDWIGreenBay,24,10653.79,4198,3355.66
DRG312,PID520049,RIDWIGreenBay,11,9964.45,4025.36,3105
DRG312,PID520075,RIDWIGreenBay,12,14804.16,4285.16,3235.25
DRG312,PID520097,RIDWIGreenBay,15,12608.8,4896,2393.06
DRG312,PID520113,RIDWIGreenBay,28,14070.64,4298,3455.85
DRG313,PID230055,RIDWIGreenBay,11,7737.81,3219,2613.18
DRG313,PID520113,RIDWIGreenBay,25,11662.44,3295,2395.8
DRG314,PID520075,RIDWIGreenBay,29,27292.55,10702.13,9971.34
DRG314,PID520113,RIDWIGreenBay,12,30873.58,10288.83,9914.16
DRG329,PID520075,RIDWIGreenBay,19,90691,31691.26,28118.68
DRG330,PID520049,RIDWIGreenBay,21,42378.71,14355.8,13497.9
DRG330,PID520075,RIDWIGreenBay,17,55310.58,15404.47,14474.05
DRG330,PID520097,RIDWIGreenBay,11,48982.9,14994.72,12358.18
DRG330,PID520113,RIDWIGreenBay,15,41094.66,15478,14652.13
DRG330,PID520193,RIDWIGreenBay,14,47044.28,15395.07,14512.5
DRG372,PID520113,RIDWIGreenBay,12,16399,7572.33,6817.66
DRG377,PID520049,RIDWIGreenBay,11,26308.9,8960.27,8554.45
DRG377,PID520075,RIDWIGreenBay,16,20786.75,10498.12,9932.12
DRG377,PID520097,RIDWIGreenBay,14,25359.57,11231.85,8254.07
DRG378,PID230055,RIDWIGreenBay,31,15579.32,6722.54,4997.61
DRG378,PID520034,RIDWIGreenBay,19,16852.21,7529.52,5734.31
DRG378,PID520049,RIDWIGreenBay,40,12598.65,5679.15,4637.95
DRG378,PID520075,RIDWIGreenBay,40,17741.42,6641.22,5209.7
DRG378,PID520097,RIDWIGreenBay,37,14276.83,6030.21,4590.7
DRG378,PID520107,RIDWIGreenBay,32,14483.93,5838.9,4931.81
DRG378,PID520113,RIDWIGreenBay,27,16906.48,5977.03,5269.03
DRG378,PID520193,RIDWIGreenBay,26,19468.61,7061.46,4816
