drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID520037,RIDWIMarshfield,16,18961.93,8272.12,5466.25
DRG057,PID520037,RIDWIMarshfield,16,32383.5,8523,7817.43
DRG064,PID520037,RIDWIMarshfield,37,40065.35,15381.64,14009.89
DRG065,PID520002,RIDWIMarshfield,14,15181.57,6314.71,5425.28
DRG065,PID520011,RIDWIMarshfield,15,9197.26,6257.53,5362.6
DRG065,PID520037,RIDWIMarshfield,44,23924.43,8257,7337.36
DRG065,PID520091,RIDWIMarshfield,15,20145.86,8226.4,7322.93
DRG066,PID520037,RIDWIMarshfield,31,11044,6058.8,4548.48
DRG069,PID520037,RIDWIMarshfield,24,10537.04,5164.58,4134.91
DRG074,PID520037,RIDWIMarshfield,11,10914.63,6065,5047.54
DRG101,PID520037,RIDWIMarshfield,33,15207.9,5418.54,4532.48
DRG149,PID520037,RIDWIMarshfield,15,8418.66,4630,3235.13
DRG176,PID520037,RIDWIMarshfield,21,15971.19,7515.66,6669.42
DRG176,PID520091,RIDWIMarshfield,11,18284.36,7588.18,6667.81
DRG177,PID520002,RIDWIMarshfield,44,26297.97,11748.88,11005.7
DRG177,PID520037,RIDWIMarshfield,18,43899.22,15203.22,14749.11
DRG177,PID520091,RIDWIMarshfield,11,17948.27,12626.45,12214.81
DRG178,PID520002,RIDWIMarshfield,37,17026.37,8379.64,7651.43
DRG178,PID520037,RIDWIMarshfield,26,27536.57,12265.5,8558.69
DRG178,PID520091,RIDWIMarshfield,12,24070.08,10115.33,9368.66
DRG189,PID520002,RIDWIMarshfield,26,17445.19,7587.23,6237.38
DRG189,PID520011,RIDWIMarshfield,14,13793.07,7622,6818
DRG189,PID520033,RIDWIMarshfield,15,20346.6,8768.33,8315.53
DRG189,PID520037,RIDWIMarshfield,14,23366.57,9059.78,8657.78
DRG190,PID520002,RIDWIMarshfield,30,16717.1,6732.8,6018
DRG190,PID520017,RIDWIMarshfield,22,15842.95,9453.4,5866.22
DRG190,PID520033,RIDWIMarshfield,15,12918.6,7361.66,6764.33
DRG190,PID520037,RIDWIMarshfield,52,18086.8,9050.59,7180.9
DRG190,PID520091,RIDWIMarshfield,22,22979.04,8384.5,7511.22
DRG191,PID520002,RIDWIMarshfield,30,11220.6,5665.2,4991.33
DRG191,PID520011,RIDWIMarshfield,17,13543.7,5930.05,4468.47
DRG191,PID520017,RIDWIMarshfield,14,15373.28,6183.57,5381.85
