drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG064,PID520045,RIDWINeenah,27,21473.14,10631.37,9425.22
DRG064,PID520048,RIDWINeenah,11,17340.9,9974.81,9157.36
DRG065,PID520045,RIDWINeenah,53,13533.13,6704.81,5555.86
DRG065,PID520048,RIDWINeenah,13,15555.38,6233.53,5457.23
DRG066,PID520045,RIDWINeenah,27,10162.25,4706.88,3704.22
DRG176,PID520045,RIDWINeenah,13,10573.23,7178.92,4852.07
DRG177,PID520048,RIDWINeenah,19,25671.84,12127.73,10646.26
DRG189,PID520045,RIDWINeenah,24,13395.87,7355.2,6700.2
DRG189,PID520198,RIDWINeenah,24,26242.87,7188.5,6392
DRG190,PID520045,RIDWINeenah,14,12464.85,6461.28,5819
DRG190,PID520198,RIDWINeenah,20,18038.25,6754.05,5478.4
DRG191,PID520045,RIDWINeenah,16,11374.31,5371.18,4388.68
DRG191,PID520048,RIDWINeenah,17,9005,5662.94,4801.05
DRG191,PID520198,RIDWINeenah,19,15256.21,6861.94,4047.15
DRG192,PID520045,RIDWINeenah,11,7673.09,4136.54,3116.18
DRG193,PID520045,RIDWINeenah,13,16374.53,7974.46,7195.69
DRG193,PID520048,RIDWINeenah,22,11606.9,7692.86,6821.04
DRG193,PID520198,RIDWINeenah,20,25837.8,9989.7,6606.15
DRG194,PID520045,RIDWINeenah,35,9769.11,5629.97,4987.68
DRG194,PID520048,RIDWINeenah,15,13791.53,5952.86,4337.13
DRG194,PID520198,RIDWINeenah,25,20440.16,5676.64,4729.6
DRG207,PID520045,RIDWINeenah,11,53138.09,28580.9,27763.45
DRG247,PID520045,RIDWINeenah,18,28642,11794.88,9867.5
DRG247,PID520048,RIDWINeenah,18,40663.94,13999.33,9195.11
DRG291,PID520048,RIDWINeenah,26,15132.19,8707.19,7482.8
DRG291,PID520198,RIDWINeenah,20,24907.8,8425.8,7751.4
DRG292,PID520045,RIDWINeenah,40,8935.2,5929.85,5200.45
DRG292,PID520048,RIDWINeenah,25,10510.44,5918.56,5018.08
DRG292,PID520198,RIDWINeenah,32,21423.59,6214.53,5404.9
DRG293,PID520045,RIDWINeenah,12,8405.33,3926.33,3182.33
DRG293,PID520048,RIDWINeenah,20,7834.85,3974.55,2905.55
DRG312,PID520198,RIDWINeenah,15,14957.93,4022.66,3423.2
DRG313,PID520048,RIDWINeenah,18,7146.11,3579.55,2268
DRG314,PID520045,RIDWINeenah,11,13180.09,8682.09,8073.36
DRG330,PID520045,RIDWINeenah,16,27029.18,15171.18,14404.87
DRG377,PID520045,RIDWINeenah,11,15049.72,10596.54,8831.36
DRG378,PID520045,RIDWINeenah,31,11353.51,6292.12,5350.96
DRG378,PID520048,RIDWINeenah,17,9373.64,5790.94,4993.76
DRG378,PID520198,RIDWINeenah,15,14910.73,5765.13,4865.93
DRG389,PID520045,RIDWINeenah,12,12891.08,5745.58,5085.33
DRG392,PID520045,RIDWINeenah,26,9777.57,4116.8,3381.57
DRG392,PID520048,RIDWINeenah,26,7421,4147.3,3410.84
DRG392,PID520198,RIDWINeenah,26,14674.53,4025.61,3118.69
DRG460,PID520045,RIDWINeenah,51,38268,23863.43,20267.03
DRG460,PID520198,RIDWINeenah,11,61421.9,21899.09,20778.72
DRG470,PID520045,RIDWINeenah,97,24069.77,12402.98,10377.24
DRG470,PID520048,RIDWINeenah,220,26614.17,13351.64,10269.46
DRG470,PID520198,RIDWINeenah,71,34284.9,12077.54,10481.76
DRG473,PID520045,RIDWINeenah,15,29476.06,12495.4,10063.93
DRG481,PID520045,RIDWINeenah,17,16712.29,10314.11,9263.76
DRG481,PID520048,RIDWINeenah,25,22369.64,10641.6,9698.4
DRG481,PID520198,RIDWINeenah,11,36262.63,10468.72,9557.09
DRG491,PID520045,RIDWINeenah,30,11039.96,6303.36,4366.8
DRG552,PID520045,RIDWINeenah,20,10364.15,4706.7,3862.5
DRG552,PID520198,RIDWINeenah,11,12263,4604,3483.63
DRG603,PID520045,RIDWINeenah,26,9043.92,4704.23,3854.73
DRG603,PID520048,RIDWINeenah,14,8822.57,5500.64,3613.71
DRG603,PID520198,RIDWINeenah,16,12984.75,4562.12,3583.62
DRG638,PID520045,RIDWINeenah,14,8052.92,4719,3915
DRG638,PID520048,RIDWINeenah,13,8141,4749.61,3886.23
DRG641,PID520045,RIDWINeenah,14,9341.57,3874.07,3074.64
DRG641,PID520048,RIDWINeenah,26,6208.76,3917.57,3095.26
DRG641,PID520198,RIDWINeenah,20,14923.75,3880,2984
DRG682,PID520048,RIDWINeenah,11,19474.09,9365.18,8753.54
DRG682,PID520198,RIDWINeenah,17,46330.35,13609.05,11867.76
DRG683,PID520045,RIDWINeenah,25,10377.88,5668.36,4770.68
DRG683,PID520048,RIDWINeenah,21,11533.61,5811.04,4956.19
DRG683,PID520198,RIDWINeenah,25,16926.88,5633.76,4783.68
DRG690,PID520045,RIDWINeenah,20,7249.25,4312.65,3466.85
DRG690,PID520048,RIDWINeenah,18,7331.5,4283.55,3343.77
DRG690,PID520198,RIDWINeenah,25,14530.64,4318.96,3287.76
DRG871,PID520045,RIDWINeenah,28,21680,11587.78,10638.39
DRG871,PID520048,RIDWINeenah,40,19095.17,10857.45,9347.1
DRG871,PID520198,RIDWINeenah,36,27645.8,10756.27,10099.52
DRG872,PID520045,RIDWINeenah,19,12883.84,6783.68,5526.89
DRG872,PID520048,RIDWINeenah,15,12107.06,6472.13,5265.4
DRG885,PID520045,RIDWINeenah,148,7619.62,5477.24,4120.89
DRG885,PID520048,RIDWINeenah,86,7372.74,5317.05,4422.53
DRG897,PID520045,RIDWINeenah,37,4647.81,3869.29,2906.45
DRG897,PID520048,RIDWINeenah,37,4573.37,3774.51,2992.72
