drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID520030,RIDWIWausau,42,20407.61,6660.14,4794.9
DRG039,PID520202,RIDWIWausau,12,15153.5,5847.33,4912
DRG064,PID520030,RIDWIWausau,31,32735.54,11194.67,10321.41
DRG065,PID520019,RIDWIWausau,14,20993.92,7342.85,6374.85
DRG065,PID520030,RIDWIWausau,35,21945.82,6924.74,5993.2
DRG066,PID520030,RIDWIWausau,18,14044.83,4887.94,4012.83
DRG069,PID520030,RIDWIWausau,18,11940.22,4867.38,3121.94
DRG074,PID520030,RIDWIWausau,13,16394.3,5158.84,4549.3
DRG101,PID520030,RIDWIWausau,12,13003.33,4967.83,3045.66
DRG176,PID520019,RIDWIWausau,17,22266.05,6973.47,5961.7
DRG176,PID520030,RIDWIWausau,29,18081.44,7028.37,4968.27
DRG177,PID520019,RIDWIWausau,30,28372.93,12633.66,11960.86
DRG177,PID520030,RIDWIWausau,15,33063.4,15680.73,9719.33
DRG178,PID520019,RIDWIWausau,27,22264.18,9221.88,7833.51
DRG189,PID520030,RIDWIWausau,20,19275.55,7747.15,7240.95
DRG189,PID520202,RIDWIWausau,31,9954.32,7284.45,6127.77
DRG190,PID520019,RIDWIWausau,29,20724.37,7519.41,6779.96
DRG190,PID520030,RIDWIWausau,91,18533.01,6898.54,5964.71
DRG190,PID520202,RIDWIWausau,11,12245.36,6616.27,5798.81
DRG191,PID520019,RIDWIWausau,15,20139.93,6321.2,5499.6
DRG191,PID520030,RIDWIWausau,43,15675.6,6251.93,4797.06
DRG191,PID520202,RIDWIWausau,12,11452,5588.66,4648
DRG192,PID520030,RIDWIWausau,26,12192.73,4498.15,3233.65
DRG193,PID520019,RIDWIWausau,11,17658,9104.09,8183.72
DRG193,PID520030,RIDWIWausau,41,27601.12,8877.9,8248.36
DRG193,PID520202,RIDWIWausau,17,15209,8005.64,7153.17
DRG194,PID520019,RIDWIWausau,22,14077.81,6582.31,5663.4
DRG194,PID520030,RIDWIWausau,67,15375.76,5964.88,4907.26
DRG194,PID520202,RIDWIWausau,11,10286.63,5346.18,4631.63
DRG195,PID520030,RIDWIWausau,25,12984.56,4250.52,3396.6
DRG202,PID520030,RIDWIWausau,16,14877.12,5073.93,3932.93
DRG203,PID520030,RIDWIWausau,13,11840.92,3641.92,2781
DRG207,PID520030,RIDWIWausau,13,88647.69,31941.69,29955.38
DRG208,PID520030,RIDWIWausau,13,29511.84,13160.69,12055.15
DRG208,PID520202,RIDWIWausau,14,21459,11834.64,9351.42
DRG238,PID520030,RIDWIWausau,39,46707.1,18402.3,16941.66
DRG243,PID520030,RIDWIWausau,31,33179.48,14767.32,13831.19
DRG243,PID520202,RIDWIWausau,11,31152,14561.27,13543.81
DRG244,PID520030,RIDWIWausau,25,27731.96,11977,11077.8
DRG244,PID520202,RIDWIWausau,12,29416.25,15182.16,9751.5
DRG246,PID520030,RIDWIWausau,20,48962.95,19402.2,17177.45
DRG246,PID520202,RIDWIWausau,23,49926.21,18355.73,17233.52
DRG247,PID520030,RIDWIWausau,81,38004.9,12452.17,10191.41
DRG247,PID520202,RIDWIWausau,51,42652.41,14323.82,10159.58
DRG249,PID520030,RIDWIWausau,30,32765.13,10833.6,9150.46
DRG249,PID520202,RIDWIWausau,26,31502.92,11099,8829
DRG251,PID520030,RIDWIWausau,32,46916.31,11207.18,9611.87
DRG252,PID520030,RIDWIWausau,21,59055.28,17803.28,17213.38
DRG253,PID520030,RIDWIWausau,33,45789.51,14742.36,13923.96
DRG254,PID520030,RIDWIWausau,15,40794.26,9590.26,8844.13
DRG291,PID520030,RIDWIWausau,69,26791.63,8432.15,7748.68
DRG280,PID520030,RIDWIWausau,29,23403.27,10372.72,9752.58
DRG280,PID520202,RIDWIWausau,23,23726.39,10590.6,9857.91
DRG281,PID520030,RIDWIWausau,23,18812.82,7885.78,5445
DRG286,PID520030,RIDWIWausau,22,30993.4,13440.63,10100.22
DRG287,PID520030,RIDWIWausau,91,18843.71,6623.09,5453.2
DRG287,PID520202,RIDWIWausau,41,16661.75,6634.73,5174.63
DRG291,PID520019,RIDWIWausau,29,28709.44,9481.41,8787.65
DRG291,PID520202,RIDWIWausau,48,13993.37,8455.22,7314.29
DRG292,PID520019,RIDWIWausau,23,18279.26,6498.91,5718.39
DRG292,PID520030,RIDWIWausau,171,17834.22,6329.25,5111.4
DRG292,PID520202,RIDWIWausau,27,10730.55,5764.37,5056.37
DRG293,PID520019,RIDWIWausau,12,13582,4455,3611.33
DRG293,PID520030,RIDWIWausau,33,11318.72,4197.81,3190.36
DRG293,PID520202,RIDWIWausau,11,6202,4153.81,2749.81
DRG300,PID520030,RIDWIWausau,17,16863.82,5523.11,4668.76
DRG303,PID520030,RIDWIWausau,16,9553.12,3476.68,2779.18
DRG308,PID520019,RIDWIWausau,14,19441.71,7746.57,7023.42
DRG308,PID520030,RIDWIWausau,50,18876.64,7361.24,6606
DRG308,PID520202,RIDWIWausau,19,10119.21,7069.52,6541.73
DRG309,PID520030,RIDWIWausau,44,11603.88,5236.68,3806.77
DRG309,PID520202,RIDWIWausau,22,10687.63,5059.18,3926.4
DRG310,PID520030,RIDWIWausau,38,10516.68,3540.15,2428.26
DRG310,PID520202,RIDWIWausau,16,7068.56,3749.5,2153.75
DRG312,PID520030,RIDWIWausau,31,15808.45,4281.38,3450.8
DRG312,PID520202,RIDWIWausau,16,11798.12,4124,3141.5
DRG313,PID520030,RIDWIWausau,33,11903.93,3872.09,2068.57
DRG313,PID520202,RIDWIWausau,26,7621.19,3272.65,2101.73
DRG314,PID520030,RIDWIWausau,13,26459.23,10001.76,9653.46
DRG329,PID520019,RIDWIWausau,15,104795.06,35666.06,34915.6
DRG329,PID520030,RIDWIWausau,31,92143.54,31970.96,30939.51
DRG330,PID520019,RIDWIWausau,13,42496.38,16170.46,15132.92
DRG330,PID520030,RIDWIWausau,26,49157.84,15462.96,13503.46
DRG372,PID520030,RIDWIWausau,12,16544.91,7633.75,6245.83
DRG377,PID520030,RIDWIWausau,24,26753.5,10637.25,9175.12
DRG377,PID520202,RIDWIWausau,12,22942.5,9570.5,9106.83
DRG378,PID520019,RIDWIWausau,26,21361.19,6512.23,5735.92
DRG378,PID520030,RIDWIWausau,56,17120.96,6171.53,5122.33
DRG378,PID520202,RIDWIWausau,31,13089.58,5814.7,4846.51
DRG379,PID520030,RIDWIWausau,12,10703.66,4169.91,3431.25
DRG389,PID520030,RIDWIWausau,21,15311.38,5521.23,4614
DRG390,PID520030,RIDWIWausau,18,8476.22,4853.77,2275.44
DRG391,PID520030,RIDWIWausau,20,17716.85,7048.95,6486.2
DRG392,PID520019,RIDWIWausau,21,17660.19,4662.14,3859.66
DRG392,PID520030,RIDWIWausau,73,13370.2,4605.61,3297.65
DRG392,PID520202,RIDWIWausau,43,10727.58,4110.69,3355.44
DRG394,PID520030,RIDWIWausau,19,19395.21,5938.15,5233.31
DRG418,PID520030,RIDWIWausau,17,32035.94,10579.41,9005.35
DRG419,PID520030,RIDWIWausau,12,22617.25,7400.91,5337.58
DRG460,PID520030,RIDWIWausau,41,71147.21,24412.34,20190.9
DRG469,PID520030,RIDWIWausau,12,52637.25,19900.66,19057
DRG470,PID520019,RIDWIWausau,117,25952.01,13611.01,12545.27
DRG470,PID520030,RIDWIWausau,224,33097.4,12656.16,10885.42
DRG470,PID520202,RIDWIWausau,114,33143.27,12349.45,10845.2
DRG473,PID520030,RIDWIWausau,11,44008.27,12275.36,11157.9
DRG480,PID520030,RIDWIWausau,11,38981.45,16763.09,15845.63
DRG481,PID520019,RIDWIWausau,27,29922.51,11976.18,10983
DRG481,PID520030,RIDWIWausau,45,33669.26,11600.42,10133.93
DRG481,PID520202,RIDWIWausau,12,28583.41,10380.16,9533.83
DRG491,PID520030,RIDWIWausau,27,21123.48,6101.22,4634.81
DRG536,PID520030,RIDWIWausau,14,11959.5,4151.28,3194.71
DRG552,PID520030,RIDWIWausau,34,14812.94,5051.02,3953.67
DRG563,PID520030,RIDWIWausau,11,14455.09,4300.54,3171.45
DRG602,PID520030,RIDWIWausau,18,24881.11,8846.77,8095.66
DRG603,PID520019,RIDWIWausau,23,15230.39,5393.21,4418.6
DRG603,PID520030,RIDWIWausau,45,11383.93,5119.77,4023.35
DRG603,PID520202,RIDWIWausau,16,10589.5,4689,3775.25
DRG640,PID520030,RIDWIWausau,18,20303.05,7817.05,5511.16
DRG641,PID520019,RIDWIWausau,12,10556.33,4495.83,3557.83
DRG641,PID520030,RIDWIWausau,55,11644.3,4282.07,3331.01
DRG682,PID520030,RIDWIWausau,36,31670.5,9733.33,8738
DRG682,PID520202,RIDWIWausau,29,18517.75,10208.24,8157.37
DRG683,PID520019,RIDWIWausau,12,20036.08,6551.33,5608
DRG683,PID520030,RIDWIWausau,49,14563.63,6022.95,5358.87
DRG683,PID520202,RIDWIWausau,28,13421.07,5668.42,4701.07
DRG689,PID520030,RIDWIWausau,28,20342.96,6995.46,6273.46
DRG690,PID520019,RIDWIWausau,20,13707.55,4886.7,3927.7
DRG690,PID520030,RIDWIWausau,78,12113.35,4629.08,3822.93
DRG690,PID520202,RIDWIWausau,13,10480.76,4342.15,3565.84
DRG699,PID520030,RIDWIWausau,11,19593.36,5813.9,5099.36
DRG811,PID520030,RIDWIWausau,11,37028.18,7651,7239.36
DRG812,PID520019,RIDWIWausau,11,21278.81,5183,4362.63
DRG812,PID520030,RIDWIWausau,37,12879.78,4738.83,3982.62
DRG853,PID520030,RIDWIWausau,19,122125.78,47662.42,33453.26
DRG871,PID520019,RIDWIWausau,39,25637.71,12223.87,11564.48
DRG871,PID520030,RIDWIWausau,114,30248.99,12212.04,10338.17
DRG871,PID520202,RIDWIWausau,94,25040.09,11795.12,10286.72
DRG872,PID520019,RIDWIWausau,20,14564.65,7083.4,6299
DRG872,PID520030,RIDWIWausau,51,17126,6911.66,5750.84
DRG872,PID520202,RIDWIWausau,25,12589.84,6740.08,5261.24
DRG917,PID520030,RIDWIWausau,13,18081.84,7948.15,6995.23
DRG918,PID520030,RIDWIWausau,12,10062,3696.83,2937.08
DRG948,PID520030,RIDWIWausau,50,13291.38,4511.6,3193
