drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID510022,RIDWVCharleston,132,18763.15,6577.05,5198.96
DRG039,PID510029,RIDWVCharleston,20,11610.65,5469.5,4568.7
DRG039,PID510058,RIDWVCharleston,52,11351.03,5465.19,4255.5
DRG039,PID510070,RIDWVCharleston,15,20866.46,5720.13,4818.8
DRG057,PID510022,RIDWVCharleston,35,18726.57,6052.48,5217.05
DRG057,PID510029,RIDWVCharleston,19,8537.42,4793.68,4088.84
DRG057,PID510058,RIDWVCharleston,13,12963.92,4931.69,4155.38
DRG057,PID510070,RIDWVCharleston,16,9720.37,5423.81,3938.81
DRG064,PID510002,RIDWVCharleston,11,16103.9,11108.81,10391.36
DRG064,PID510022,RIDWVCharleston,122,33459.4,12286.14,11469.56
DRG064,PID510048,RIDWVCharleston,14,22272.21,11825.85,11269
DRG064,PID510058,RIDWVCharleston,31,25380.93,9957.77,8871.41
DRG064,PID510070,RIDWVCharleston,16,24956.43,10085.43,9167.68
DRG065,PID510002,RIDWVCharleston,22,8166.13,6828.4,5808.04
DRG065,PID510018,RIDWVCharleston,14,14441.28,6677.28,5565.85
DRG065,PID510022,RIDWVCharleston,191,22031.48,7502.33,6349.76
DRG065,PID510029,RIDWVCharleston,14,14722.35,5801.35,4366.14
DRG065,PID510048,RIDWVCharleston,11,16835.27,8288.09,5918.45
DRG065,PID510058,RIDWVCharleston,73,17706.84,6372.45,5141.8
DRG065,PID510062,RIDWVCharleston,16,13230.81,6613.5,6124.25
DRG065,PID510070,RIDWVCharleston,50,15228.12,6427.52,5499.7
DRG066,PID510022,RIDWVCharleston,47,16896.34,5138.19,3966.48
DRG066,PID510029,RIDWVCharleston,19,12623.63,4399,3454.15
DRG066,PID510058,RIDWVCharleston,47,12042.78,4657.8,3420.34
DRG066,PID510070,RIDWVCharleston,29,13970.72,4604.58,3672.17
DRG069,PID510002,RIDWVCharleston,12,9440.75,4435,3594
DRG069,PID510022,RIDWVCharleston,128,16579.34,4771.85,3635.53
DRG069,PID510029,RIDWVCharleston,30,15802.46,4869.66,3893.93
DRG069,PID510033,RIDWVCharleston,16,8024.87,3600,2694.25
DRG069,PID510038,RIDWVCharleston,22,6003,4101.77,3231.4
DRG069,PID510048,RIDWVCharleston,37,11431.08,4802,3979.4
DRG069,PID510058,RIDWVCharleston,61,11983.45,3859.85,3009.88
DRG069,PID510062,RIDWVCharleston,28,7156.07,4211.57,3408.71
DRG069,PID510070,RIDWVCharleston,91,11119.82,4100.5,3236.76
DRG069,PID510077,RIDWVCharleston,14,18475.85,4461,3493
DRG074,PID510022,RIDWVCharleston,31,15595.77,5423.61,4297.41
DRG074,PID510058,RIDWVCharleston,11,10151.9,4546.9,3726.54
DRG074,PID510062,RIDWVCharleston,13,9229.3,5121.53,3430.15
DRG074,PID510070,RIDWVCharleston,28,12645.25,4828.28,4034.1
DRG101,PID510002,RIDWVCharleston,13,9232.92,4465.46,3509.53
DRG101,PID510022,RIDWVCharleston,86,13744.43,5082.79,3988.75
DRG101,PID510029,RIDWVCharleston,22,14025.81,3985.22,3262.18
DRG101,PID510058,RIDWVCharleston,28,12330.42,4057.75,3434.57
DRG101,PID510062,RIDWVCharleston,16,6692.62,4381.18,3748.43
DRG101,PID510070,RIDWVCharleston,26,10286.84,4226.57,3147.96
DRG149,PID510022,RIDWVCharleston,30,13969.1,4027.06,2981.2
DRG149,PID510029,RIDWVCharleston,12,9517.83,3433.33,2401
DRG149,PID510070,RIDWVCharleston,29,11050.65,3588.13,2775.03
DRG176,PID510002,RIDWVCharleston,12,12331.33,6291.66,5165.16
DRG176,PID510022,RIDWVCharleston,44,24557.9,6861.4,6237.75
DRG176,PID510058,RIDWVCharleston,21,16172.42,5663.42,5073.52
DRG176,PID510070,RIDWVCharleston,21,17321.38,6120.33,4814.95
DRG177,PID510002,RIDWVCharleston,71,18772.18,12093.81,11540.47
DRG177,PID510018,RIDWVCharleston,12,28778.08,11247.08,10660.16
DRG177,PID510022,RIDWVCharleston,31,31047.51,13225,12103.61
DRG177,PID510029,RIDWVCharleston,25,36166.68,11030.44,10319.84
DRG177,PID510048,RIDWVCharleston,26,51682.46,13822.5,13086.03
DRG177,PID510058,RIDWVCharleston,60,31674.2,11309.23,10800.9
DRG177,PID510070,RIDWVCharleston,48,25361.64,11260.45,10600.5
DRG178,PID510002,RIDWVCharleston,11,8503,7902.45,7185
DRG178,PID510018,RIDWVCharleston,19,20537.89,8449.31,7683.21
DRG178,PID510022,RIDWVCharleston,32,22754.84,9322.03,8693.28
DRG178,PID510029,RIDWVCharleston,23,30726.39,8881.13,8390.3
DRG178,PID510048,RIDWVCharleston,26,23541.96,9177.07,8495.03
DRG178,PID510058,RIDWVCharleston,57,20056.17,7903.36,6912.14
