drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID180009,RIDWVHuntington,57,32284.56,6790.47,5410.59
DRG039,PID510007,RIDWVHuntington,29,15844.75,6434.1,4677.34
DRG057,PID180009,RIDWVHuntington,24,13329.5,5461.41,4708.08
DRG057,PID180036,RIDWVHuntington,12,12705.58,5515.83,4771.83
DRG057,PID510007,RIDWVHuntington,23,14495.65,5599.21,4912.95
DRG057,PID510012,RIDWVHuntington,15,11427.4,4794.53,4195.06
DRG064,PID180009,RIDWVHuntington,58,30165.75,10969.58,10173.22
DRG064,PID180036,RIDWVHuntington,17,26031.58,10568.58,9973.05
DRG064,PID510007,RIDWVHuntington,67,27516.52,11674.31,10453.31
DRG064,PID510055,RIDWVHuntington,24,31662.45,16509.25,13012.54
DRG065,PID180009,RIDWVHuntington,74,18721.36,6765.66,5770.75
DRG065,PID180036,RIDWVHuntington,20,18077.1,6530.75,5574.95
DRG065,PID510007,RIDWVHuntington,123,16763,7217.1,6226.61
DRG065,PID510055,RIDWVHuntington,42,23752.73,9014.35,8130.26
DRG066,PID180009,RIDWVHuntington,61,17415.29,4912.77,3919.06
DRG066,PID180036,RIDWVHuntington,23,12669.95,4773.21,3795.82
DRG066,PID510007,RIDWVHuntington,88,12448.36,4974.72,3911.11
DRG066,PID510055,RIDWVHuntington,32,18773.71,6469.12,5343.12
DRG069,PID180009,RIDWVHuntington,75,15694.3,4482.38,3450.28
DRG069,PID180036,RIDWVHuntington,27,12576.25,4323.03,3301.33
DRG069,PID180128,RIDWVHuntington,23,15183.73,4032,3347.13
DRG069,PID510007,RIDWVHuntington,68,9597.13,4622.02,3301.77
DRG069,PID510012,RIDWVHuntington,11,14150.72,3868,2847.63
DRG069,PID510055,RIDWVHuntington,20,13992.2,5724,4711.6
DRG074,PID180009,RIDWVHuntington,19,16899.73,5466.57,4440.78
DRG074,PID180036,RIDWVHuntington,16,17877.56,5073.5,4232.5
DRG074,PID510007,RIDWVHuntington,18,9943.61,5227.66,4600.55
DRG101,PID180009,RIDWVHuntington,36,11562.22,4537,3557.61
DRG101,PID180036,RIDWVHuntington,11,11520.18,4480.9,3563.45
DRG101,PID510007,RIDWVHuntington,38,11492.07,4718.47,3651.31
DRG101,PID510055,RIDWVHuntington,36,15393.38,7637.05,4680.41
DRG149,PID180009,RIDWVHuntington,21,16637.04,3890.04,2930.42
DRG149,PID510007,RIDWVHuntington,16,8201.43,3843.56,2998.56
DRG176,PID180009,RIDWVHuntington,29,19987.03,6406.1,5745.82
DRG176,PID510007,RIDWVHuntington,19,12874.63,6150.68,5553.73
DRG176,PID510055,RIDWVHuntington,12,23062.5,8452.5,7606.16
DRG177,PID180009,RIDWVHuntington,68,34411.22,12358.58,11613.57
DRG177,PID180036,RIDWVHuntington,56,26140.8,11101.17,10327.3
DRG177,PID510007,RIDWVHuntington,34,36550.08,13802.76,12906.64
DRG178,PID180009,RIDWVHuntington,45,21326.53,8603.57,7915.2
DRG178,PID180036,RIDWVHuntington,20,15806.4,8415.8,7350
DRG178,PID510007,RIDWVHuntington,37,19834.62,9017.32,8130.21
DRG178,PID510012,RIDWVHuntington,21,17475.76,7734.52,6579.23
DRG178,PID510055,RIDWVHuntington,12,24548.25,11212.66,10652
DRG189,PID180009,RIDWVHuntington,187,22528.69,7913.08,7113.72
DRG189,PID180036,RIDWVHuntington,101,13513.19,7466.42,6668
