drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID510006,RIDWVMorgantown,32,11209.84,5954,5043.25
DRG039,PID510024,RIDWVMorgantown,56,24368.69,5103.62,4201.98
DRG057,PID510001,RIDWVMorgantown,31,20077.19,7688.54,6877.77
DRG057,PID510006,RIDWVMorgantown,25,9573.16,5534.44,4540.84
DRG057,PID510024,RIDWVMorgantown,23,11766.47,4604.3,3603.52
DRG064,PID510001,RIDWVMorgantown,99,45855.5,17162.62,15772.25
DRG064,PID510006,RIDWVMorgantown,13,18614.46,10857.46,10250.38
DRG065,PID210017,RIDWVMorgantown,22,7835.81,7396.13,6215.22
DRG065,PID510001,RIDWVMorgantown,112,20092.82,9266.25,8310.17
DRG065,PID510006,RIDWVMorgantown,29,12083.75,6603.93,5752.89
DRG065,PID510024,RIDWVMorgantown,14,19073.92,5549.14,4990
DRG065,PID510030,RIDWVMorgantown,15,9233.53,6153,5251.66
DRG065,PID510047,RIDWVMorgantown,17,15676.35,6270.94,5350
DRG066,PID510001,RIDWVMorgantown,85,16794.17,6660.36,5679.82
DRG066,PID510006,RIDWVMorgantown,25,10332.04,4797.56,3990.2
DRG066,PID510024,RIDWVMorgantown,20,14464.9,4034.8,3303.8
DRG066,PID510030,RIDWVMorgantown,13,9289.3,4295.46,3349.92
DRG069,PID510001,RIDWVMorgantown,93,13141.87,5927.49,4858.94
DRG069,PID510006,RIDWVMorgantown,48,8792.87,4398.62,3299.52
DRG069,PID510024,RIDWVMorgantown,24,10815.54,3645,2661.16
DRG069,PID510030,RIDWVMorgantown,26,7124.42,3953.19,3098.23
DRG074,PID510001,RIDWVMorgantown,24,18439.7,7088.04,6527.37
DRG074,PID510006,RIDWVMorgantown,19,9830,5691.78,4174
DRG074,PID510024,RIDWVMorgantown,23,13675.86,4344.17,3656.52
DRG101,PID510001,RIDWVMorgantown,109,11359.75,6343.18,5364.9
DRG101,PID510006,RIDWVMorgantown,17,7291.35,4481.11,3885.58
DRG101,PID510024,RIDWVMorgantown,25,10102.08,3997.88,2703.84
DRG101,PID510030,RIDWVMorgantown,12,8214.91,4152,3683
DRG149,PID510001,RIDWVMorgantown,20,10391.5,5192.35,4403.15
