drg,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID530012,RIDWYCasper,28,25716.85,7991.64,6192.96
DRG065,PID530010,RIDWYCasper,18,23665.38,8614.38,7927.94
DRG065,PID530012,RIDWYCasper,34,24314.26,8486.14,6826.05
DRG066,PID530012,RIDWYCasper,17,12454.7,5512.64,4517.58
DRG101,PID530012,RIDWYCasper,16,15110.31,5447.18,4319.18
DRG176,PID530012,RIDWYCasper,32,21296.56,7701.65,6822.28
DRG177,PID530012,RIDWYCasper,19,43612.05,17900.52,11411.63
DRG178,PID530012,RIDWYCasper,32,23669.53,10050.06,8969
DRG189,PID530010,RIDWYCasper,13,19099.23,9720.15,9371.84
DRG189,PID530012,RIDWYCasper,16,23563,9157.31,8524.56
DRG190,PID530012,RIDWYCasper,53,20741.64,8657.86,7121.83
DRG191,PID530010,RIDWYCasper,12,24074.58,7554.91,6522.58
DRG191,PID530012,RIDWYCasper,52,16582.34,7327.19,6163.48
DRG192,PID530008,RIDWYCasper,26,12379.8,5972.73,4812.88
DRG192,PID530012,RIDWYCasper,40,12474.35,5199.87,4050.97
DRG193,PID530012,RIDWYCasper,39,41094.15,13633.64,10097.87
DRG194,PID530008,RIDWYCasper,22,25437.27,8797.68,6935.68
DRG194,PID530010,RIDWYCasper,42,23499.33,8055.11,6873.04
DRG194,PID530012,RIDWYCasper,118,17573.93,7540.2,6138.95
DRG195,PID530008,RIDWYCasper,17,18151.58,6572.52,4598.94
DRG195,PID530010,RIDWYCasper,21,15281.61,5928.76,4315.8
DRG195,PID530012,RIDWYCasper,36,13800.66,5166.47,4079.16
DRG208,PID530012,RIDWYCasper,44,47757.84,16567.52,15389.97
DRG238,PID530012,RIDWYCasper,27,90592.85,33592.74,19932.55
DRG243,PID530012,RIDWYCasper,16,60869.93,20541.43,16716.68
DRG244,PID530012,RIDWYCasper,23,51122.3,18691.95,12779.3
DRG246,PID530012,RIDWYCasper,16,84776.25,37486,20181.62
DRG247,PID530012,RIDWYCasper,73,53847.86,16664.57,12156.6
DRG249,PID530012,RIDWYCasper,19,49498.63,15681.52,10801.94
DRG253,PID530012,RIDWYCasper,19,42969.94,20801.94,16103.36
DRG254,PID530012,RIDWYCasper,13,36332.46,11448.3,10415.69
DRG280,PID530012,RIDWYCasper,15,31671.33,13732.46,11667.2
DRG281,PID530012,RIDWYCasper,20,27002.05,8994.55,7391.35
DRG282,PID530012,RIDWYCasper,14,21363.28,5816.28,4772
DRG286,PID530012,RIDWYCasper,16,61228.56,19670.81,13880.5
DRG287,PID530012,RIDWYCasper,39,31939.94,10942.79,5857.89
DRG291,PID530008,RIDWYCasper,12,29540.16,11959,11398.33
DRG291,PID530012,RIDWYCasper,31,30593.38,10822.25,10245.22
DRG292,PID530008,RIDWYCasper,16,20298.81,8454,7615
DRG292,PID530010,RIDWYCasper,19,20944.21,7929.05,7101.68
DRG292,PID530012,RIDWYCasper,63,23497.39,7445.09,6751.44
DRG293,PID530008,RIDWYCasper,17,11349.23,5539.88,5014.7
DRG293,PID530010,RIDWYCasper,11,16669.9,5405,4690.45
DRG293,PID530012,RIDWYCasper,25,13387.04,5042.24,4145.6
DRG300,PID530012,RIDWYCasper,15,15799,7070.4,5978.93
DRG308,PID530012,RIDWYCasper,13,33399.84,9870.23,6994.53
DRG309,PID530010,RIDWYCasper,11,20057.72,10211.81,5299.09
DRG309,PID530012,RIDWYCasper,28,19162.96,6428.28,5183.6
DRG310,PID530008,RIDWYCasper,18,10638,5040.33,3664.33
DRG310,PID530010,RIDWYCasper,13,12592.46,4590.07,3694.23
DRG310,PID530012,RIDWYCasper,33,13347,4111,3291.6
DRG312,PID530010,RIDWYCasper,11,14059.72,5657,4742.45
DRG312,PID530012,RIDWYCasper,11,21396.45,6376.63,3731.09
DRG313,PID530008,RIDWYCasper,21,8548.52,4569.71,3545.52
DRG313,PID530010,RIDWYCasper,25,13418.08,4337,3616.36
DRG313,PID530012,RIDWYCasper,14,15558.64,5608.71,2616.92
DRG314,PID530012,RIDWYCasper,17,38942.94,12734,11978
DRG329,PID530012,RIDWYCasper,20,100458.3,45451.65,35567.65
DRG330,PID530012,RIDWYCasper,31,45937.29,19197.03,16832
DRG372,PID530012,RIDWYCasper,11,22417.54,11651.45,7628.9
DRG377,PID530012,RIDWYCasper,17,42446.11,12885.58,12227.29
DRG378,PID530008,RIDWYCasper,12,12299.25,8341.66,7686.66
DRG378,PID530010,RIDWYCasper,14,17995.14,7647,6769
DRG378,PID530012,RIDWYCasper,39,24035.97,8260.41,5977.05
DRG379,PID530012,RIDWYCasper,12,14832.33,5047.91,4201.58
DRG389,PID530010,RIDWYCasper,13,15607.76,6995.15,6129.3
DRG389,PID530012,RIDWYCasper,28,20929.1,6695.96,5717.85
DRG390,PID530010,RIDWYCasper,14,15757.78,5024,4300.85
DRG390,PID530012,RIDWYCasper,14,14337.21,4658.21,3932.78
DRG391,PID530012,RIDWYCasper,11,19044.72,8563.63,7754.9
DRG392,PID530008,RIDWYCasper,11,14872.09,5886,4971.45
DRG392,PID530010,RIDWYCasper,12,15905.66,6416.91,4531.5
DRG392,PID530012,RIDWYCasper,62,15257.87,5870.03,3955.2
DRG394,PID530012,RIDWYCasper,16,20013.75,8317.25,5765.81
DRG418,PID530012,RIDWYCasper,22,35907.27,12524.36,10510.81
DRG439,PID530012,RIDWYCasper,16,27665.25,12065.25,6040.25
DRG460,PID530012,RIDWYCasper,31,127811.74,42875.61,29356.61
DRG460,PID530033,RIDWYCasper,75,94837.66,25270.01,24127.18
DRG470,PID530008,RIDWYCasper,12,54994.5,19532,14984.33
DRG470,PID530010,RIDWYCasper,37,59143.1,18322.32,14633
DRG470,PID530012,RIDWYCasper,132,59337.44,18540.09,13023.32
DRG470,PID530033,RIDWYCasper,33,55273.03,11458.33,10455.48
DRG473,PID530012,RIDWYCasper,14,61162.85,20597.71,11817.85
DRG473,PID530033,RIDWYCasper,44,45372.36,11484,10435.72
DRG480,PID530012,RIDWYCasper,15,57556.26,20335.86,19583.33
DRG481,PID530010,RIDWYCasper,12,53161.41,14897,13969.66
DRG481,PID530012,RIDWYCasper,40,48116.05,14401.87,12446.62
DRG482,PID530012,RIDWYCasper,20,33812.6,12062.4,9181.2
DRG491,PID530012,RIDWYCasper,15,24864.86,8012.46,5605.86
DRG491,PID530033,RIDWYCasper,38,39487.86,6008.52,4928.28
DRG552,PID530012,RIDWYCasper,16,20109.12,5623.12,4780.12
DRG552,PID530033,RIDWYCasper,12,14886.41,4466.33,3722.33
DRG602,PID530012,RIDWYCasper,13,32564.69,11296,8955.53
DRG603,PID530010,RIDWYCasper,11,16656,6608,5684.72
DRG603,PID530012,RIDWYCasper,42,18545.11,7586.61,4332.71
DRG638,PID530012,RIDWYCasper,12,17652.16,6206.41,4385.33
DRG640,PID530012,RIDWYCasper,12,42057.08,11022,9377.91
DRG641,PID530008,RIDWYCasper,18,11176.72,5675,4733.44
DRG641,PID530010,RIDWYCasper,18,18205.5,5657,4375.33
DRG641,PID530012,RIDWYCasper,31,18836.8,5308.06,4159.77
DRG682,PID530012,RIDWYCasper,19,44949.73,13325,11339
DRG683,PID530012,RIDWYCasper,30,20497.86,8283.96,6121.26
DRG689,PID530012,RIDWYCasper,13,24151.07,8840.07,7889.61
DRG690,PID530008,RIDWYCasper,12,13463.41,6340.5,5308.16
DRG690,PID530010,RIDWYCasper,18,18910.66,6703.77,4693
DRG690,PID530012,RIDWYCasper,55,16395.87,5488.23,4588.25
DRG812,PID530012,RIDWYCasper,18,18402.77,7104.94,4301.66
DRG853,PID530012,RIDWYCasper,19,131640.84,49466.31,45445.26
DRG871,PID530012,RIDWYCasper,74,43684.97,15964.36,12995.94
DRG872,PID530012,RIDWYCasper,28,25880.14,8431.82,7870.39
DRG917,PID530012,RIDWYCasper,12,32190.16,14977.91,7168.25
