class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10001,RIDALDothan,91,32963.07,5777.24,4763.73
DRG039,PID10005,RIDALBirmingham,14,15131.85,5787.57,4976.71
DRG039,PID10006,RIDALBirmingham,24,37560.37,5434.95,4453.79
DRG039,PID10011,RIDALBirmingham,25,13998.28,5417.56,4129.16
DRG039,PID10016,RIDALBirmingham,18,31633.27,5658.33,4851.44
DRG039,PID10023,RIDALMontgomery,67,16920.79,6653.80,5374.14
DRG039,PID10029,RIDALBirmingham,51,11977.13,5834.74,4761.41
DRG039,PID10033,RIDALBirmingham,32,35841.09,8031.12,5858.50
DRG039,PID10039,RIDALHuntsville,135,28523.39,6113.38,5228.40
DRG039,PID10040,RIDALBirmingham,34,75233.38,5541.05,4386.94
DRG057,PID10001,RIDALDothan,38,20312.78,4894.76,3865.50
DRG057,PID10011,RIDALBirmingham,24,22074.08,6025.54,3914.37
DRG057,PID10023,RIDALMontgomery,17,21452.70,6030.29,5364.41
DRG057,PID10024,RIDALMontgomery,19,20397.52,5166.31,4223.15
DRG057,PID10029,RIDALBirmingham,28,10701.64,5218.53,4374.10
DRG057,PID10033,RIDALBirmingham,47,35213.76,6847.74,5795.82
DRG057,PID10035,RIDALBirmingham,11,16587.27,5038.63,3909.54
DRG057,PID10038,RIDALBirmingham,13,21577.61,4841.76,4063.00
DRG057,PID10039,RIDALHuntsville,64,26144.21,5607.42,4869.04
DRG057,PID10040,RIDALBirmingham,11,32279.00,4194.09,3476.63
DRG069,PID10047,RIDALMontgomery,32,5062.59,4277.31,3386.18
DRG069,PID10049,RIDALDothan,17,22034.35,3758.00,2674.82
DRG064,PID10001,RIDALDothan,84,38820.39,10260.21,9167.08
DRG064,PID10005,RIDALBirmingham,13,22946.38,10562.23,9870.53
DRG064,PID10006,RIDALBirmingham,32,45393.21,10439.46,8606.93
DRG064,PID10010,RIDALHuntsville,21,25082.19,9116.66,8112.57
DRG064,PID10011,RIDALBirmingham,13,24204.84,10174.69,9483.00
DRG064,PID10016,RIDALBirmingham,21,64537.85,10256.90,9351.19
DRG064,PID10019,RIDALBirmingham,13,23733.69,10071.23,9118.30
DRG064,PID10023,RIDALMontgomery,48,38000.68,12314.04,11369.52
DRG064,PID10024,RIDALMontgomery,36,43183.86,10746.80,9791.44
DRG064,PID10025,RIDALBirmingham,11,19270.90,10442.54,9833.81
DRG069,PID10054,RIDALHuntsville,20,23957.70,5708.65,2796.80
DRG069,PID10055,RIDALDothan,17,26806.52,4006.23,2688.11
DRG069,PID10056,RIDALBirmingham,49,12191.95,3857.10,2691.10
