class,providerId,providerRegionDescription,totalDischarges,averageCoveredPayments,averageTotalPayments,averageMedicarePayments
DRG039,PID10001,RIDALDothan,91,33000,5800,4800
DRG039,PID10005,RIDALBirmingham,14,15200,5800,5000
DRG039,PID10006,RIDALBirmingham,24,37600,5500,4500
DRG039,PID10011,RIDALBirmingham,25,14000,5500,4200
DRG039,PID10016,RIDALBirmingham,18,31700,5700,4900
DRG039,PID10023,RIDALMontgomery,67,17000,6700,5400
DRG039,PID10029,RIDALBirmingham,51,12000,5900,4800
DRG039,PID10033,RIDALBirmingham,32,35900,8100,5900
DRG039,PID10039,RIDALHuntsville,135,28600,6200,5300
DRG039,PID10040,RIDALBirmingham,34,75300,5600,4400
DRG057,PID10001,RIDALDothan,38,20400,4900,3900
DRG057,PID10011,RIDALBirmingham,24,22100,6100,4000
DRG057,PID10023,RIDALMontgomery,17,21500,6100,5400
DRG057,PID10024,RIDALMontgomery,19,20400,5200,4300
DRG057,PID10029,RIDALBirmingham,28,10800,5300,4400
DRG057,PID10033,RIDALBirmingham,47,35300,6900,5800
DRG057,PID10035,RIDALBirmingham,11,16600,5100,4000
DRG057,PID10038,RIDALBirmingham,13,21600,4900,4100
DRG057,PID10039,RIDALHuntsville,64,26200,5700,4900
DRG057,PID10040,RIDALBirmingham,11,32300,4200,3500
DRG069,PID10047,RIDALMontgomery,32,5100,4300,3400
DRG069,PID10049,RIDALDothan,17,22100,3800,2700
DRG064,PID10001,RIDALDothan,84,38900,10300,9200
DRG064,PID10005,RIDALBirmingham,13,23000,10600,9900
DRG064,PID10006,RIDALBirmingham,32,45400,10500,8700
DRG064,PID10010,RIDALHuntsville,21,25100,9200,8200
DRG064,PID10011,RIDALBirmingham,13,24300,10200,9500
DRG064,PID10016,RIDALBirmingham,21,64600,10300,9400
DRG064,PID10019,RIDALBirmingham,13,23800,10100,9200
DRG064,PID10023,RIDALMontgomery,48,38000,12400,11400
DRG064,PID10024,RIDALMontgomery,36,43200,10800,9800
DRG064,PID10025,RIDALBirmingham,11,19300,10500,9900
DRG069,PID10054,RIDALHuntsville,20,24000,5800,2800
DRG069,PID10055,RIDALDothan,17,26900,4100,2700
DRG069,PID10056,RIDALBirmingham,49,12200,3900,2700
DRG069,PID10061,RIDALHuntsville,11,9700,4200,3500
DRG069,PID10065,RIDALBirmingham,13,9000,4300,2900
DRG069,PID30030,RIDAZPhoenix,19,22000,5600,4600
DRG069,PID30036,RIDAZMesa,30,34300,5000,3600
DRG069,PID40039,RIDARJonesboro,16,7500,4200,3500
DRG065,PID10001,RIDALDothan,169,27400,6600,5500
DRG065,PID10005,RIDALBirmingham,23,17000,6400,5500
DRG065,PID10006,RIDALBirmingham,61,27400,6200,5000
DRG065,PID10010,RIDALHuntsville,45,14600,6200,5000
DRG065,PID10011,RIDALBirmingham,30,16800,6400,5300
DRG065,PID10012,RIDALBirmingham,14,26200,5600,4700
DRG065,PID10016,RIDALBirmingham,30,32900,6500,5600
DRG065,PID10019,RIDALBirmingham,44,15500,6500,5500
DRG065,PID10023,RIDALMontgomery,72,28600,7800,6600
DRG065,PID10024,RIDALMontgomery,82,21700,6500,5500
DRG066,PID10001,RIDALDothan,33,17700,4600,3700
DRG066,PID10005,RIDALBirmingham,11,17200,4700,3600
DRG066,PID10006,RIDALBirmingham,27,16400,4300,3300
DRG066,PID10010,RIDALHuntsville,12,11100,4100,3200
DRG066,PID10011,RIDALBirmingham,19,19100,4500,3600
DRG066,PID10012,RIDALBirmingham,16,16400,4400,3400
DRG066,PID10016,RIDALBirmingham,12,29800,5200,3600
DRG066,PID10019,RIDALBirmingham,17,12800,4500,3800
DRG066,PID10023,RIDALMontgomery,39,18300,5500,4700
DRG066,PID10024,RIDALMontgomery,43,16600,4900,3600
DRG074,PID10001,RIDALDothan,13,18500,4900,4100
DRG074,PID10011,RIDALBirmingham,14,25000,5400,3500
DRG074,PID10019,RIDALBirmingham,12,15100,4800,4200
DRG074,PID10023,RIDALMontgomery,14,20400,5800,5000
DRG074,PID10024,RIDALMontgomery,18,22300,6100,3700
DRG074,PID10025,RIDALBirmingham,12,8200,5200,4200
DRG074,PID10029,RIDALBirmingham,25,10800,5600,3700
DRG074,PID10033,RIDALBirmingham,72,30900,6900,5600
DRG074,PID10039,RIDALHuntsville,67,32600,6600,4300
DRG074,PID10040,RIDALBirmingham,14,57800,4900,4600
DRG101,PID10001,RIDALDothan,27,19700,4700,3300
DRG101,PID10006,RIDALBirmingham,24,18400,4200,3100
DRG101,PID10011,RIDALBirmingham,22,15500,4200,3100
